        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40170000e+00,        +7.071067811865e+00,        +2.107686135444e+00,        +4.983658785849e+00
 2.40172500e+00,        +7.071067811865e+00,        +2.111569347417e+00,        +4.987537911629e+00
 2.40175000e+00,        +7.071067811865e+00,        +2.115454993390e+00,        +4.991413407466e+00
 2.40177500e+00,        +7.071067811865e+00,        +2.119343073583e+00,        +4.995285276369e+00
 2.40180000e+00,        +7.071067811865e+00,        +2.123233588229e+00,        +4.999153521342e+00
 2.40182500e+00,        +7.071067811865e+00,        +2.127126537577e+00,        +5.003018145376e+00
 2.40185000e+00,        +7.071067811865e+00,        +2.131021921883e+00,        +5.006879151458e+00
 2.40187500e+00,        +7.071067811865e+00,        +2.134919741422e+00,        +5.010736542562e+00
 2.40190000e+00,        +7.071067811865e+00,        +2.138819996477e+00,        +5.014590321655e+00
 2.40192500e+00,        +7.071067811865e+00,        +2.142722687346e+00,        +5.018440491696e+00
 2.40195000e+00,        +7.071067811865e+00,        +2.146627814342e+00,        +5.022287055635e+00
 2.40197500e+00,        +7.071067811865e+00,        +2.150535377786e+00,        +5.026130016411e+00
 2.40200000e+00,        +7.071067811865e+00,        +2.154445378016e+00,        +5.029969376956e+00
 2.40202500e+00,        +7.071067811865e+00,        +2.158357815380e+00,        +5.033805140195e+00
 2.40205000e+00,        +7.071067811865e+00,        +2.162272690242e+00,        +5.037637309041e+00
 2.40207500e+00,        +7.071067811865e+00,        +2.166190002977e+00,        +5.041465886399e+00
 2.40210000e+00,        +7.071067811865e+00,        +2.170109753971e+00,        +5.045290875167e+00
 2.40212500e+00,        +7.071067811865e+00,        +2.174031943627e+00,        +5.049112278233e+00
 2.40215000e+00,        +7.071067811865e+00,        +2.177956572358e+00,        +5.052930098476e+00
 2.40217500e+00,        +7.071067811865e+00,        +2.181883640590e+00,        +5.056744338766e+00
 2.40220000e+00,        +7.071067811865e+00,        +2.185813148763e+00,        +5.060555001966e+00
 2.40222500e+00,        +7.071067811865e+00,        +2.189745097329e+00,        +5.064362090928e+00
 2.40225000e+00,        +7.071067811865e+00,        +2.193679486754e+00,        +5.068165608497e+00
 2.40227500e+00,        +7.071067811865e+00,        +2.197616317515e+00,        +5.071965557508e+00
 2.40230000e+00,        +7.071067811865e+00,        +2.201555590104e+00,        +5.075761940789e+00
 2.40232500e+00,        +7.071067811865e+00,        +2.205497305024e+00,        +5.079554761156e+00
 2.40235000e+00,        +7.071067811865e+00,        +2.209441462792e+00,        +5.083344021420e+00
 2.40237500e+00,        +7.071067811865e+00,        +2.213388063937e+00,        +5.087129724382e+00
 2.40240000e+00,        +7.071067811865e+00,        +2.217337109003e+00,        +5.090911872832e+00
 2.40242500e+00,        +7.071067811865e+00,        +2.221288598543e+00,        +5.094690469554e+00
 2.40245000e+00,        +7.071067811865e+00,        +2.225242533127e+00,        +5.098465517323e+00
 2.40247500e+00,        +7.071067811865e+00,        +2.229198913336e+00,        +5.102237018904e+00
 2.40250000e+00,        +7.071067811865e+00,        +2.233157739764e+00,        +5.106004977054e+00
 2.40252500e+00,        +7.071067811865e+00,        +2.237119013016e+00,        +5.109769394521e+00
 2.40255000e+00,        +7.071067811865e+00,        +2.241082733714e+00,        +5.113530274045e+00
 2.40257500e+00,        +7.071067811865e+00,        +2.245048902490e+00,        +5.117287618356e+00
 2.40260000e+00,        +7.071067811865e+00,        +2.249017519989e+00,        +5.121041430177e+00
 2.40262500e+00,        +7.071067811865e+00,        +2.252988586870e+00,        +5.124791712220e+00
 2.40265000e+00,        +7.071067811865e+00,        +2.256962103804e+00,        +5.128538467190e+00
 2.40267500e+00,        +7.071067811865e+00,        +2.260938071475e+00,        +5.132281697784e+00
 2.40270000e+00,        +7.071067811865e+00,        +2.264916490581e+00,        +5.136021406687e+00
 2.40272500e+00,        +7.071067811865e+00,        +2.268897361831e+00,        +5.139757596578e+00
 2.40275000e+00,        +7.071067811865e+00,        +2.272880685949e+00,        +5.143490270128e+00
 2.40277500e+00,        +7.071067811865e+00,        +2.276866463671e+00,        +5.147219429996e+00
 2.40280000e+00,        +7.071067811865e+00,        +2.280854695744e+00,        +5.150945078835e+00
 2.40282500e+00,        +7.071067811865e+00,        +2.284845382932e+00,        +5.154667219288e+00
 2.40285000e+00,        +7.071067811865e+00,        +2.288838526008e+00,        +5.158385853991e+00
 2.40287500e+00,        +7.071067811865e+00,        +2.292834125761e+00,        +5.162100985568e+00
 2.40290000e+00,        +7.071067811865e+00,        +2.296832182991e+00,        +5.165812616638e+00
 2.40292500e+00,        +7.071067811865e+00,        +2.300832698510e+00,        +5.169520749808e+00
 2.40295000e+00,        +7.071067811865e+00,        +2.304835673147e+00,        +5.173225387679e+00
 2.40297500e+00,        +7.071067811865e+00,        +2.308841107740e+00,        +5.176926532841e+00
 2.40300000e+00,        +7.071067811865e+00,        +2.312849003141e+00,        +5.180624187877e+00
 2.40302500e+00,        +7.071067811865e+00,        +2.316859360217e+00,        +5.184318355360e+00
 2.40305000e+00,        +7.071067811865e+00,        +2.320872179844e+00,        +5.188009037856e+00
 2.40307500e+00,        +7.071067811865e+00,        +2.324887462915e+00,        +5.191696237920e+00
 2.40310000e+00,        +7.071067811865e+00,        +2.328905210334e+00,        +5.195379958100e+00
 2.40312500e+00,        +7.071067811865e+00,        +2.332925423018e+00,        +5.199060200934e+00
 2.40315000e+00,        +7.071067811865e+00,        +2.336948101897e+00,        +5.202736968952e+00
 2.40317500e+00,        +7.071067811865e+00,        +2.340973247914e+00,        +5.206410264676e+00
 2.40320000e+00,        +7.071067811865e+00,        +2.345000862026e+00,        +5.210080090617e+00
 2.40322500e+00,        +7.071067811865e+00,        +2.349030945202e+00,        +5.213746449280e+00
 2.40325000e+00,        +7.071067811865e+00,        +2.353063498424e+00,        +5.217409343160e+00
 2.40327500e+00,        +7.071067811865e+00,        +2.357098522688e+00,        +5.221068774742e+00
 2.40330000e+00,        +7.071067811865e+00,        +2.361136019001e+00,        +5.224724746505e+00
 2.40332500e+00,        +7.071067811865e+00,        +2.365175988386e+00,        +5.228377260916e+00
 2.40335000e+00,        +7.071067811865e+00,        +2.369218431876e+00,        +5.232026320436e+00
 2.40337500e+00,        +7.071067811865e+00,        +2.373263350519e+00,        +5.235671927516e+00
 2.40340000e+00,        +7.071067811865e+00,        +2.377310745376e+00,        +5.239314084599e+00
 2.40342500e+00,        +7.071067811865e+00,        +2.381360617521e+00,        +5.242952794118e+00
 2.40345000e+00,        +7.071067811865e+00,        +2.385412968039e+00,        +5.246588058498e+00
 2.40347500e+00,        +7.071067811865e+00,        +2.389467798030e+00,        +5.250219880155e+00
 2.40350000e+00,        +7.071067811865e+00,        +2.393525108608e+00,        +5.253848261497e+00
 2.40352500e+00,        +7.071067811865e+00,        +2.397584900899e+00,        +5.257473204923e+00
 2.40355000e+00,        +7.071067811865e+00,        +2.401647176041e+00,        +5.261094712822e+00
 2.40357500e+00,        +7.071067811865e+00,        +2.405711935187e+00,        +5.264712787576e+00
 2.40360000e+00,        +7.071067811865e+00,        +2.409779179502e+00,        +5.268327431557e+00
 2.40362500e+00,        +7.071067811865e+00,        +2.413848910164e+00,        +5.271938647128e+00
 2.40365000e+00,        +7.071067811865e+00,        +2.417921128365e+00,        +5.275546436644e+00
 2.40367500e+00,        +7.071067811865e+00,        +2.421995835310e+00,        +5.279150802452e+00
 2.40370000e+00,        +7.071067811865e+00,        +2.426073032217e+00,        +5.282751746889e+00
 2.40372500e+00,        +7.071067811865e+00,        +2.430152720316e+00,        +5.286349272282e+00
 2.40375000e+00,        +7.071067811865e+00,        +2.434234900852e+00,        +5.289943380953e+00
 2.40377500e+00,        +7.071067811865e+00,        +2.438319575082e+00,        +5.293534075211e+00
 2.40380000e+00,        +7.071067811865e+00,        +2.442406744278e+00,        +5.297121357359e+00
 2.40382500e+00,        +7.071067811865e+00,        +2.446496409722e+00,        +5.300705229690e+00
 2.40385000e+00,        +7.071067811865e+00,        +2.450588572713e+00,        +5.304285694489e+00
 2.40387500e+00,        +7.071067811865e+00,        +2.454683234559e+00,        +5.307862754031e+00
 2.40390000e+00,        +7.071067811865e+00,        +2.458780396586e+00,        +5.311436410583e+00
 2.40392500e+00,        +7.071067811865e+00,        +2.462880060129e+00,        +5.315006666404e+00
 2.40395000e+00,        +7.071067811865e+00,        +2.466982226538e+00,        +5.318573523742e+00
 2.40397500e+00,        +7.071067811865e+00,        +2.471086897178e+00,        +5.322136984839e+00
 2.40400000e+00,        +7.071067811865e+00,        +2.475194073424e+00,        +5.325697051925e+00
 2.40402500e+00,        +7.071067811865e+00,        +2.479303756666e+00,        +5.329253727223e+00
 2.40405000e+00,        +7.071067811865e+00,        +2.483415948308e+00,        +5.332807012947e+00
 2.40407500e+00,        +7.071067811865e+00,        +2.487530649766e+00,        +5.336356911304e+00
 2.40410000e+00,        +7.071067811865e+00,        +2.491647862471e+00,        +5.339903424487e+00
 2.40412500e+00,        +7.071067811865e+00,        +2.495767587865e+00,        +5.343446554686e+00
 2.40415000e+00,        +7.071067811865e+00,        +2.499889827404e+00,        +5.346986304079e+00
 2.40417500e+00,        +7.071067811865e+00,        +2.504014582559e+00,        +5.350522674836e+00
 2.40420000e+00,        +7.071067811865e+00,        +2.508141854814e+00,        +5.354055669116e+00
 2.40422500e+00,        +7.071067811865e+00,        +2.512271645664e+00,        +5.357585289073e+00
 2.40425000e+00,        +7.071067811865e+00,        +2.516403956620e+00,        +5.361111536850e+00
 2.40427500e+00,        +7.071067811865e+00,        +2.520538789205e+00,        +5.364634414580e+00
 2.40430000e+00,        +7.071067811865e+00,        +2.524676144956e+00,        +5.368153924389e+00
 2.40432500e+00,        +7.071067811865e+00,        +2.528816025424e+00,        +5.371670068393e+00
 2.40435000e+00,        +7.071067811865e+00,        +2.532958432173e+00,        +5.375182848701e+00
 2.40437500e+00,        +7.071067811865e+00,        +2.537103366779e+00,        +5.378692267410e+00
 2.40440000e+00,        +7.071067811865e+00,        +2.541250830834e+00,        +5.382198326611e+00
 2.40442500e+00,        +7.071067811865e+00,        +2.545400825942e+00,        +5.385701028385e+00
 2.40445000e+00,        +7.071067811865e+00,        +2.549553353720e+00,        +5.389200374802e+00
 2.40447500e+00,        +7.071067811865e+00,        +2.553708415800e+00,        +5.392696367928e+00
 2.40450000e+00,        +7.071067811865e+00,        +2.557866013827e+00,        +5.396189009814e+00
 2.40452500e+00,        +7.071067811865e+00,        +2.562026149459e+00,        +5.399678302507e+00
 2.40455000e+00,        +7.071067811865e+00,        +2.566188824369e+00,        +5.403164248044e+00
 2.40457500e+00,        +7.071067811865e+00,        +2.570354040241e+00,        +5.406646848450e+00
 2.40460000e+00,        +7.071067811865e+00,        +2.574521798774e+00,        +5.410126105745e+00
 2.40462500e+00,        +7.071067811865e+00,        +2.578692101682e+00,        +5.413602021937e+00
 2.40465000e+00,        +7.071067811865e+00,        +2.582864950691e+00,        +5.417074599028e+00
 2.40467500e+00,        +7.071067811865e+00,        +2.587040347541e+00,        +5.420543839008e+00
 2.40470000e+00,        +7.071067811865e+00,        +2.591218293986e+00,        +5.424009743861e+00
 2.40472500e+00,        +7.071067811865e+00,        +2.595398791792e+00,        +5.427472315559e+00
 2.40475000e+00,        +7.071067811865e+00,        +2.599581842741e+00,        +5.430931556067e+00
 2.40477500e+00,        +7.071067811865e+00,        +2.603767448628e+00,        +5.434387467341e+00
 2.40480000e+00,        +7.071067811865e+00,        +2.607955611260e+00,        +5.437840051326e+00
 2.40482500e+00,        +7.071067811865e+00,        +2.612146332461e+00,        +5.441289309961e+00
 2.40485000e+00,        +7.071067811865e+00,        +2.616339614066e+00,        +5.444735245174e+00
 2.40487500e+00,        +7.071067811865e+00,        +2.620535457925e+00,        +5.448177858883e+00
 2.40490000e+00,        +7.071067811865e+00,        +2.624733865901e+00,        +5.451617153000e+00
 2.40492500e+00,        +7.071067811865e+00,        +2.628934839872e+00,        +5.455053129426e+00
