        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17],             E_elec[18] (J),                 p_elec[18],              E_mag[18] (J),                  p_mag[18]
 1.00e+00,        +2.935514708646e-10,        +2.935369988987e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.867857771452e-12,        +6.362965124824e-03,        +4.194100733580e-12,        +1.428815021383e-02,        +1.867857771452e-12,        +6.362965124824e-03,        +4.194100733580e-12,        +1.428815021383e-02,        +1.021609503295e-12,        +3.480171638336e-03,        +2.990416952237e-12,        +1.018752989727e-02,        +2.446829451924e-11,        +8.335265514828e-02,        +4.518295346036e-11,        +1.539259228986e-01,        +8.920114421701e-11,        +3.038688375647e-01,        +6.836125842480e-11,        +2.328880470989e-01,        +4.213805709830e-11,        +1.435457195094e-01,        +4.960196678983e-11,        +1.689802886039e-01,        +4.900174399827e-11,        +1.669272644213e-01,        +5.222794273207e-11,        +1.779262679935e-01,        +8.522619792584e-11,        +2.903279539865e-01,        +6.700507227736e-11,        +2.282678930722e-01,        +5.206044444780e-13,        +1.773469037456e-03,        +3.814640137754e-12,        +1.299543209907e-02,        +1.059613866621e-13,        +3.609635691826e-04,        +1.586473907284e-13,        +5.404681226682e-04
 2.00e+00,        +2.935514708646e-10,        +2.935369859257e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.869949230728e-12,        +6.370089801359e-03,        +4.188442856301e-12,        +1.426887600924e-02,        +1.869949230728e-12,        +6.370089801359e-03,        +4.188442856301e-12,        +1.426887600924e-02,        +1.022556690597e-12,        +3.483398286458e-03,        +2.988756984089e-12,        +1.018187529133e-02,        +9.333379374148e-11,        +3.179469462939e-01,        +6.953857860088e-11,        +2.368988643171e-01,        +2.625954055168e-11,        +8.945463796976e-02,        +4.408645864955e-11,        +1.501904726265e-01,        +7.183821731515e-11,        +2.447210266178e-01,        +6.126344484871e-11,        +2.087077533194e-01,        +6.616184036114e-11,        +2.253841214499e-01,        +5.991554716782e-11,        +2.041158356207e-01,        +3.243840801332e-11,        +1.105033060055e-01,        +4.758115436666e-11,        +1.620959424129e-01,        +5.210722445099e-13,        +1.775062625220e-03,        +3.816420510882e-12,        +1.300149791634e-02,        +1.060927159512e-13,        +3.614109499732e-04,        +1.581819408257e-13,        +5.388824863990e-04
 3.00e+00,        +2.935514708646e-10,        +2.935448517700e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.339300100868e-13,        +7.968960584591e-04,        +9.066315618651e-12,        +3.088562297715e-02,        +2.339300100868e-13,        +7.968960584591e-04,        +9.066315618651e-12,        +3.088562297715e-02,        +2.565868154146e-13,        +8.740777712981e-04,        +4.373383658603e-12,        +1.489851936504e-02,        +5.678750580824e-11,        +1.934499106443e-01,        +5.368169168642e-11,        +1.828738993811e-01,        +5.915698585518e-11,        +2.015216809541e-01,        +5.597531950291e-11,        +1.906874508798e-01,        +6.062626503280e-11,        +2.065268651329e-01,        +5.754375214162e-11,        +1.960305275145e-01,        +5.946832868107e-11,        +2.025822882302e-01,        +5.630123082043e-11,        +1.917977115966e-01,        +5.696718455600e-11,        +1.940619966516e-01,        +5.383579829651e-11,        +1.833988842655e-01,        +5.372268830749e-14,        +1.830094332325e-04,        +2.225018568706e-12,        +7.579824872725e-03,        +9.614174648481e-16,        +3.275123991089e-06,        +5.423414761300e-13,        +1.847559147639e-03
 4.00e+00,        +2.935514708646e-10,        +2.935394200731e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.677983872819e-15,        +5.716148748555e-06,        +2.785656894740e-16,        +9.489890298368e-07,        +1.677983872819e-15,        +5.716148748555e-06,        +2.785656894740e-16,        +9.489890298368e-07,        +3.358772410428e-15,        +1.144185174932e-05,        +8.503241400963e-16,        +2.896797097591e-06,        +5.972379876206e-11,        +2.034525617813e-01,        +5.762082633438e-11,        +1.962967233499e-01,        +5.380102543056e-11,        +1.832762931560e-01,        +6.357105603677e-11,        +2.165673558289e-01,        +5.462624005525e-11,        +1.860874343241e-01,        +6.276396402604e-11,        +2.138178375171e-01,        +6.111853240838e-11,        +2.082038023123e-01,        +5.636760785677e-11,        +1.920273871317e-01,        +6.427645383954e-11,        +2.189614436277e-01,        +5.321459897414e-11,        +1.812860397452e-01,        +3.832267069475e-16,        +1.305483858823e-06,        +2.378481234592e-16,        +8.102766006693e-07,        +3.857706071282e-19,        +1.314149801369e-09,        +1.070108729334e-19,        +3.645536701912e-10
