        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43505000e+00,        +1.532383234513e-11,        +5.077054696003e-10,        -5.080500539368e-12,        -2.955100999728e-10,        +7.867694799159e-08,        +3.257719832774e-06,        +4.175195550333e-11,        +1.600275931871e-09,        -6.500894617301e-12,        -3.547779715823e-10,        +7.817517575393e-08,        +3.237404788446e-06,        +8.080077220930e-11,        +3.221133741938e-09,        -4.248959350126e-12,        -2.597927629802e-10,        +7.622687918750e-08,        +3.157657308395e-06,        -1.502998457825e-10,        -5.702800642345e-09,        -6.516111661739e-11,        -2.647189294068e-09,        +2.223086459397e-08,        +9.377854812928e-07
 2.43505500e+00,        +1.537398935862e-11,        +5.088317688542e-10,        -5.085815198406e-12,        -2.953908439405e-10,        +7.888028307859e-08,        +3.261107799893e-06,        +4.187043080599e-11,        +1.602541225776e-09,        -6.509858523300e-12,        -3.547188774960e-10,        +7.837718232313e-08,        +3.240769581613e-06,        +8.101963952932e-11,        +3.225057301427e-09,        -4.252273776938e-12,        -2.596440490340e-10,        +7.642378348471e-08,        +3.160934924793e-06,        -1.507285308156e-10,        -5.711185394787e-09,        -6.533283906602e-11,        -2.650168830897e-09,        +2.228698211017e-08,        +9.386793541508e-07
 2.43506000e+00,        +1.542433571328e-11,        +5.099604906476e-10,        -5.091130181331e-12,        -2.952712850674e-10,        +7.908428810588e-08,        +3.264502816090e-06,        +4.198932060338e-11,        +1.604811312497e-09,        -6.518834719960e-12,        -3.546596054283e-10,        +7.857985437631e-08,        +3.244141375670e-06,        +8.123925097179e-11,        +3.228989102160e-09,        -4.255582246035e-12,        -2.594949715952e-10,        +7.662133629021e-08,        +3.164219360752e-06,        -1.511587245892e-10,        -5.719587638377e-09,        -6.550513549638e-11,        -2.653154535104e-09,        +2.234328133850e-08,        +9.395750857760e-07
 2.43506500e+00,        +1.547487226621e-11,        +5.110916425511e-10,        -5.096445456025e-12,        -2.951514224110e-10,        +7.928896594018e-08,        +3.267904903361e-06,        +4.210862671639e-11,        +1.607086206998e-09,        -6.527823226563e-12,        -3.546001548308e-10,        +7.878319476100e-08,        +3.247520192463e-06,        +8.145960976714e-11,        +3.232929169855e-09,        -4.258884699482e-12,        -2.593455295274e-10,        +7.681954037858e-08,        +3.167510637553e-06,        -1.515904337362e-10,        -5.728007427705e-09,        -6.567800837833e-11,        -2.656146425929e-09,        +2.239976305071e-08,        +9.404726819682e-07
 2.43507000e+00,        +1.552559987959e-11,        +5.122252321545e-10,        -5.101760990061e-12,        -2.950312550260e-10,        +7.949431946337e-08,        +3.271314083793e-06,        +4.222835097610e-11,        +1.609365924296e-09,        -6.536824061498e-12,        -3.545405251319e-10,        +7.898720633976e-08,        +3.250906053927e-06,        +8.168071916011e-11,        +3.236877530331e-09,        -4.262181077643e-12,        -2.591957217081e-10,        +7.701839853905e-08,        +3.170808776562e-06,        -1.520236649253e-10,        -5.736444817591e-09,        -6.585146019484e-11,        -2.659144522692e-09,        +2.245642802261e-08,        +9.413721485505e-07
 2.43507500e+00,        +1.557651942009e-11,        +5.133612670710e-10,        -5.107076750792e-12,        -2.949107819599e-10,        +7.970035157260e-08,        +3.274730379566e-06,        +4.234849522241e-11,        +1.611650479453e-09,        -6.545837244267e-12,        -3.544807157947e-10,        +7.919189199032e-08,        +3.254298982092e-06,        +8.190258241554e-11,        +3.240834209500e-09,        -4.265471321680e-12,        -2.590455469793e-10,        +7.721791357567e-08,        +3.174113799238e-06,        -1.524584248599e-10,        -5.744899863103e-09,        -6.602549344206e-11,        -2.662148844794e-09,        +2.251327703411e-08,        +9.422734913710e-07
 2.43508000e+00,        +1.562763175919e-11,        +5.144997549546e-10,        -5.112392705212e-12,        -2.947900022600e-10,        +7.990706518047e-08,        +3.278153812953e-06,        +4.246906130628e-11,        +1.613939887627e-09,        -6.554862793514e-12,        -3.544207262427e-10,        +7.939725460577e-08,        +3.257698999077e-06,        +8.212520281381e-11,        +3.244799233421e-09,        -4.268755371374e-12,        -2.588950042080e-10,        +7.741808830739e-08,        +3.177425727127e-06,        -1.528947202809e-10,        -5.753372619521e-09,        -6.620011062956e-11,        -2.665159411718e-09,        +2.257031086924e-08,        +9.431767163022e-07
 2.43508500e+00,        +1.567893777290e-11,        +5.156407034802e-10,        -5.117708820162e-12,        -2.946689149666e-10,        +8.011446321496e-08,        +3.281584406316e-06,        +4.259005108776e-11,        +1.616234164011e-09,        -6.563900728406e-12,        -3.543605559150e-10,        +7.960329709445e-08,        +3.261106127093e-06,        +8.234858365530e-11,        +3.248772628221e-09,        -4.272033167745e-12,        -2.587440922320e-10,        +7.761892556807e-08,        +3.180744581866e-06,        -1.533325579646e-10,        -5.761863142353e-09,        -6.637531428002e-11,        -2.668176243025e-09,        +2.262753031618e-08,        +9.440818292403e-07
 2.43509000e+00,        +1.573043834248e-11,        +5.167841203614e-10,        -5.123025062045e-12,        -2.945475191156e-10,        +8.032254861974e-08,        +3.285022182117e-06,        +4.271146643736e-11,        +1.618533323862e-09,        -6.572951067499e-12,        -3.543002042552e-10,        +7.981002238032e-08,        +3.264520388446e-06,        +8.257272825487e-11,        +3.252754420173e-09,        -4.275304649243e-12,        -2.585928099080e-10,        +7.782042820677e-08,        +3.184070385182e-06,        -1.537719447246e-10,        -5.770371487347e-09,        -6.655110692993e-11,        -2.671199358362e-09,        +2.268493616730e-08,        +9.449888361073e-07
 2.43509500e+00,        +1.578213435392e-11,        +5.179300133611e-10,        -5.128341397013e-12,        -2.944258137435e-10,        +8.053132435393e-08,        +3.288467162905e-06,        +4.283330923604e-11,        +1.620837382516e-09,        -6.582013829922e-12,        -3.542396706888e-10,        +8.001743340266e-08,        +3.267941805534e-06,        +8.279763994821e-11,        +3.256744635608e-09,        -4.278569755491e-12,        -2.584411560535e-10,        +7.802259908747e-08,        +3.187403158892e-06,        -1.542128874104e-10,        -5.778897710483e-09,        -6.672749112899e-11,        -2.674228777453e-09,        +2.274252921911e-08,        +9.458977428487e-07
 2.43510000e+00,        +1.583402669732e-11,        +5.190783902406e-10,        -5.133657791175e-12,        -2.943037978762e-10,        +8.074079339274e-08,        +3.291919371328e-06,        +4.295558137381e-11,        +1.623146355386e-09,        -6.591089034751e-12,        -3.541789546478e-10,        +8.022553311674e-08,        +3.271370400847e-06,        +8.302332208638e-11,        +3.260743301035e-09,        -4.281828424999e-12,        -2.582891295265e-10,        +7.822544108973e-08,        +3.190742924906e-06,        -1.546553929099e-10,        -5.787441867971e-09,        -6.690446944075e-11,        -2.677264520110e-09,        +2.280031027243e-08,        +9.468085554360e-07
 2.43510500e+00,        +1.588611626898e-11,        +5.202292588262e-10,        -5.138974210041e-12,        -2.941814705425e-10,        +8.095095872703e-08,        +3.295378830128e-06,        +4.307828475229e-11,        +1.625460257916e-09,        -6.600176700855e-12,        -3.541180555623e-10,        +8.043432449337e-08,        +3.274806196973e-06,        +8.324977804016e-11,        +3.264750443009e-09,        -4.285080595609e-12,        -2.581367291392e-10,        +7.842895710828e-08,        +3.194089705226e-06,        -1.550994681468e-10,        -5.796004016261e-09,        -6.708204444247e-11,        -2.680306606225e-09,        +2.285828013230e-08,        +9.477212798650e-07
 2.43511000e+00,        +1.593840396909e-11,        +5.213826269568e-10,        -5.144290618966e-12,        -2.940588307608e-10,        +8.116182336366e-08,        +3.298845562141e-06,        +4.320142128242e-11,        +1.627779105611e-09,        -6.609276846956e-12,        -3.540569728563e-10,        +8.064381051927e-08,        +3.278249216592e-06,        +8.347701119813e-11,        +3.268766088247e-09,        -4.288326205827e-12,        -2.579839537244e-10,        +7.863315005332e-08,        +3.197443521943e-06,        -1.555451200838e-10,        -5.804584212046e-09,        -6.726021872506e-11,        -2.683355055773e-09,        +2.291643960800e-08,        +9.486359221569e-07
 2.43511500e+00,        +1.599089070341e-11,        +5.225385025088e-10,        -5.149606982921e-12,        -2.939358775502e-10,        +8.137339032570e-08,        +3.302319590301e-06,        +4.332499288601e-11,        +1.630102914087e-09,        -6.618389492028e-12,        -3.539957059511e-10,        +8.085399419723e-08,        +3.281699482481e-06,        +8.370502496720e-11,        +3.272790263545e-09,        -4.291565192630e-12,        -2.578308020961e-10,        +7.883802285071e-08,        +3.200804397244e-06,        -1.559923557203e-10,        -5.813182512247e-09,        -6.743899489364e-11,        -2.686409888815e-09,        +2.297478951320e-08,        +9.495524883581e-07
