        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +9.986424323973e-02,        +6.405356773442e-01
 2.00e+00,        -1.315258328663e-03,        -3.149691780146e-02
 3.00e+00,        -4.976842417953e-02,        -2.147109550564e-01
 4.00e+00,        -5.623027549039e-02,        +1.338144197104e+00
 5.00e+00,        +1.362282865904e-03,        -5.642181351270e-03
 6.00e+00,        +7.115358428680e-03,        -1.065652850057e-02
 7.00e+00,        -5.783529086956e-04,        +3.114399820555e-03
 8.00e+00,        -9.682026329952e-05,        +4.777647167972e-04
