        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40025000e+00,        +5.287647475130e-10,        +1.145144858050e-09,        +4.135879125260e-10,        +5.608166076570e-10,        +1.942639953224e-07,        +1.425882706976e-07,        +5.358964779842e-10,        +1.586103205658e-09,        +2.057723794339e-10,        +7.761648316885e-10,        +1.781492489589e-07,        +1.779824260415e-07,        +2.444279496919e-10,        +2.165851550423e-09,        -5.619461573868e-10,        +1.296272212216e-09,        +8.784052288527e-08,        +2.933304177176e-07,        -7.997082892225e-10,        +2.434866634976e-09,        -1.384699014459e-10,        +2.530373345117e-10,        +1.764204519251e-08,        +1.567110341805e-07
 2.40027500e+00,        +5.294312521475e-10,        +1.145457242311e-09,        +4.140015628164e-10,        +5.609041097367e-10,        +1.943734431465e-07,        +1.426236684982e-07,        +5.366301165446e-10,        +1.586608612848e-09,        +2.061411008449e-10,        +7.762756170380e-10,        +1.782561998428e-07,        +1.780370383086e-07,        +2.451610785622e-10,        +2.166789043066e-09,        -5.616939123535e-10,        +1.296604703346e-09,        +8.792129539201e-08,        +2.934511154212e-07,        -7.998748409118e-10,        +2.435402442014e-09,        -1.384733834326e-10,        +2.531655136727e-10,        +1.766242950763e-08,        +1.567476937192e-07
 2.40030000e+00,        +5.300976362234e-10,        +1.145769633392e-09,        +4.144150356438e-10,        +5.609915112955e-10,        +1.944830027948e-07,        +1.426590701168e-07,        +5.373637783766e-10,        +1.587114179660e-09,        +2.065096728958e-10,        +7.763863243895e-10,        +1.783632627685e-07,        +1.780916685119e-07,        +2.458943903395e-10,        +2.167726861575e-09,        -5.614417374057e-10,        +1.296937131279e-09,        +8.800217237190e-08,        +2.935718925383e-07,        -8.000416832751e-10,        +2.435938206288e-09,        -1.384769165695e-10,        +2.532934241951e-10,        +1.768284209174e-08,        +1.567843795697e-07
 2.40032500e+00,        +5.307639002528e-10,        +1.146082031642e-09,        +4.148283311968e-10,        +5.610788124723e-10,        +1.945926744235e-07,        +1.426944755111e-07,        +5.380974642218e-10,        +1.587619906580e-09,        +2.068780957440e-10,        +7.764969538393e-10,        +1.784704378997e-07,        +1.781463166344e-07,        +2.466278859388e-10,        +2.168665006811e-09,        -5.611896324679e-10,        +1.297269496161e-09,        +8.808315400232e-08,        +2.936927491485e-07,        -8.002088167076e-10,        +2.436473928433e-09,        -1.384805011232e-10,        +2.534210661846e-10,        +1.770328299398e-08,        +1.568210917580e-07
 2.40035000e+00,        +5.314300447497e-10,        +1.146394437413e-09,        +4.152414496616e-10,        +5.611660134057e-10,        +1.947024581888e-07,        +1.427298846391e-07,        +5.388311748187e-10,        +1.588125794101e-09,        +2.072463695451e-10,        +7.766075054840e-10,        +1.785777254002e-07,        +1.782009826592e-07,        +2.473615662725e-10,        +2.169603479630e-09,        -5.609375974619e-10,        +1.297601798140e-09,        +8.816424046099e-08,        +2.938136853312e-07,        -8.003762416034e-10,        +2.437009609088e-09,        -1.384841373605e-10,        +2.535484397463e-10,        +1.772375226361e-08,        +1.568578303103e-07
 2.40037500e+00,        +5.320960702262e-10,        +1.146706851055e-09,        +4.156543912263e-10,        +5.612531142343e-10,        +1.948123542475e-07,        +1.427652974582e-07,        +5.395649109094e-10,        +1.588631842713e-09,        +2.076144944564e-10,        +7.767179794194e-10,        +1.786851254341e-07,        +1.782556665691e-07,        +2.480954322583e-10,        +2.170542280891e-09,        -5.606856323132e-10,        +1.297934037364e-09,        +8.824543192603e-08,        +2.939347011659e-07,        -8.005439583579e-10,        +2.437545248888e-09,        -1.384878255485e-10,        +2.536755449849e-10,        +1.774424995001e-08,        +1.568945952525e-07
 2.40040000e+00,        +5.327619771956e-10,        +1.147019272920e-09,        +4.160671560777e-10,        +5.613401150958e-10,        +1.949223627564e-07,        +1.428007139260e-07,        +5.402986732366e-10,        +1.589138052905e-09,        +2.079824706343e-10,        +7.768283757418e-10,        +1.787926381659e-07,        +1.783103683471e-07,        +2.488294848086e-10,        +2.171481411457e-09,        -5.604337369424e-10,        +1.298266213976e-09,        +8.832672857594e-08,        +2.940557967323e-07,        -8.007119673660e-10,        +2.438080848472e-09,        -1.384915659541e-10,        +2.538023820051e-10,        +1.776477610264e-08,        +1.569313866109e-07
 2.40042500e+00,        +5.334277661713e-10,        +1.147331703356e-09,        +4.164797444021e-10,        +5.614270161284e-10,        +1.950324838727e-07,        +1.428361339998e-07,        +5.410324625425e-10,        +1.589644425168e-09,        +2.083502982342e-10,        +7.769386945467e-10,        +1.789002637603e-07,        +1.783650879757e-07,        +2.495637248444e-10,        +2.172420872185e-09,        -5.601819112745e-10,        +1.298598328124e-09,        +8.840813058958e-08,        +2.941769721099e-07,        -8.008802690231e-10,        +2.438616408477e-09,        -1.384953588448e-10,        +2.539289509109e-10,        +1.778533077109e-08,        +1.569682044113e-07
 2.40045000e+00,        +5.340934376667e-10,        +1.147644142713e-09,        +4.168921563859e-10,        +5.615138174697e-10,        +1.951427177539e-07,        +1.428715576365e-07,        +5.417662795700e-10,        +1.590150959991e-09,        +2.087179774120e-10,        +7.770489359295e-10,        +1.790080023824e-07,        +1.784198254374e-07,        +2.502981532862e-10,        +2.173360663935e-09,        -5.599301552338e-10,        +1.298930379953e-09,        +8.848963814620e-08,        +2.942982273785e-07,        -8.010488637249e-10,        +2.439151929543e-09,        -1.384992044879e-10,        +2.540552518066e-10,        +1.780591400505e-08,        +1.570050486802e-07
 2.40047500e+00,        +5.347589921948e-10,        +1.147956591343e-09,        +4.173043922160e-10,        +5.616005192570e-10,        +1.952530645575e-07,        +1.429069847933e-07,        +5.425001250646e-10,        +1.590657657865e-09,        +2.090855083233e-10,        +7.771590999857e-10,        +1.791158541975e-07,        +1.784745807146e-07,        +2.510327710544e-10,        +2.174300787569e-09,        -5.596784687425e-10,        +1.299262369611e-09,        +8.857125142545e-08,        +2.944195626176e-07,        -8.012177518672e-10,        +2.439687412308e-09,        -1.385031031508e-10,        +2.541812847955e-10,        +1.782652585432e-08,        +1.570419194434e-07
