        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40025000e+00,        +4.862977778699e-10,        +1.107451740057e-09,        +4.823661136506e-10,        +6.014462005372e-10,        +1.840800261748e-07,        +2.306741770972e-07,        +3.853829153426e-10,        +1.489258900487e-09,        +3.362752460817e-10,        +7.644338923232e-10,        +1.662691279392e-07,        +2.548549250153e-07,        +7.399160491427e-11,        +1.940795726494e-09,        -1.838357366167e-10,        +1.185840948964e-09,        +8.217852951557e-08,        +3.298551926517e-07,        -7.013001191329e-10,        +2.125025306842e-09,        -7.495888317977e-11,        +2.198301754938e-10,        +1.621107045810e-08,        +1.650457707118e-07
 2.40027500e+00,        +4.869906955065e-10,        +1.107977001524e-09,        +4.828553053494e-10,        +6.016659720978e-10,        +1.842067190874e-07,        +2.307667648687e-07,        +3.860703104796e-10,        +1.489988334867e-09,        +3.367166214406e-10,        +7.646767543335e-10,        +1.663897086255e-07,        +2.549628140603e-07,        +7.459696367577e-11,        +1.941882850999e-09,        -1.835376031080e-10,        +1.186268243133e-09,        +8.226438984953e-08,        +3.300128561746e-07,        -7.015068636050e-10,        +2.125375074752e-09,        -7.493564472118e-11,        +2.199294785493e-10,        +1.623232861805e-08,        +1.650916953469e-07
 2.40030000e+00,        +4.876833949999e-10,        +1.108502140986e-09,        +4.833442991089e-10,        +6.018855140683e-10,        +1.843335687068e-07,        +2.308594175398e-07,        +3.867575685260e-10,        +1.490717861091e-09,        +3.371578388560e-10,        +7.649193971010e-10,        +1.665104403236e-07,        +2.550707806176e-07,        +7.520228267974e-11,        +1.942970294179e-09,        -1.832395058551e-10,        +1.186695330729e-09,        +8.235037519404e-08,        +3.301706506957e-07,        -7.017140624515e-10,        +2.125724605014e-09,        -7.491247839687e-11,        +2.200284399191e-10,        +1.625362002566e-08,        +1.651376600006e-07
 2.40032500e+00,        +4.883758767438e-10,        +1.109027159183e-09,        +4.838330950842e-10,        +6.021048267505e-10,        +1.844605753020e-07,        +2.309521351493e-07,        +3.874446900443e-10,        +1.491447480180e-09,        +3.375988984376e-10,        +7.651618208844e-10,        +1.666313233003e-07,        +2.551788247548e-07,        +7.580756257426e-11,        +1.944058057496e-09,        -1.829414448903e-10,        +1.187122212035e-09,        +8.243648579603e-08,        +3.303285763855e-07,        -7.019217164485e-10,        +2.126073898125e-09,        -7.488938454490e-11,        +2.201270596548e-10,        +1.627494474739e-08,        +1.651836647238e-07
 2.40035000e+00,        +4.890681411315e-10,        +1.109552056857e-09,        +4.843216934312e-10,        +6.023239104451e-10,        +1.845877391427e-07,        +2.310449177360e-07,        +3.881316755997e-10,        +1.492177193155e-09,        +3.380398002946e-10,        +7.654040259421e-10,        +1.667523578229e-07,        +2.552869465394e-07,        +7.641280400919e-11,        +1.945146142412e-09,        -1.826434202452e-10,        +1.187548887329e-09,        +8.252272190303e-08,        +3.304866334144e-07,        -7.021298263743e-10,        +2.126422954579e-09,        -7.486636350365e-11,        +2.202253378075e-10,        +1.629630284986e-08,        +1.652297095675e-07
 2.40037500e+00,        +4.897601885579e-10,        +1.110076834747e-09,        +4.848100943032e-10,        +6.025427654529e-10,        +1.847150604991e-07,        +2.311377653388e-07,        +3.888185257551e-10,        +1.492907001039e-09,        +3.384805445342e-10,        +7.656460125337e-10,        +1.668735441591e-07,        +2.553951460391e-07,        +7.701800763289e-11,        +1.946234550391e-09,        -1.823454319516e-10,        +1.187975356892e-09,        +8.260908376318e-08,        +3.306448219533e-07,        -7.023383930075e-10,        +2.126771774873e-09,        -7.484341561182e-11,        +2.203232744277e-10,        +1.631769439985e-08,        +1.652757945826e-07
 2.40040000e+00,        +4.904520194163e-10,        +1.110601493592e-09,        +4.852982978556e-10,        +6.027613920739e-10,        +1.848425396418e-07,        +2.312306779963e-07,        +3.895052410782e-10,        +1.493636904853e-09,        +3.389211312672e-10,        +7.658877809165e-10,        +1.669948825777e-07,        +2.555034233213e-07,        +7.762317409603e-11,        +1.947323282900e-09,        -1.820474800408e-10,        +1.188401621002e-09,        +8.269557162522e-08,        +3.308031421729e-07,        -7.025474171288e-10,        +2.127120359502e-09,        -7.482054120841e-11,        +2.204208695654e-10,        +1.633911946433e-08,        +1.653219198204e-07
 2.40042500e+00,        +4.911436341007e-10,        +1.111126034134e-09,        +4.857863042426e-10,        +6.029797906076e-10,        +1.849701768423e-07,        +2.313236557473e-07,        +3.901918221351e-10,        +1.494366905622e-09,        +3.393615606006e-10,        +7.661293313477e-10,        +1.671163733476e-07,        +2.556117784537e-07,        +7.822830405385e-11,        +1.948412341405e-09,        -1.817495645452e-10,        +1.188827679939e-09,        +8.278218573852e-08,        +3.309615942446e-07,        -7.027568995188e-10,        +2.127468708965e-09,        -7.479774063265e-11,        +2.205181232702e-10,        +1.636057811042e-08,        +1.653680853319e-07
 2.40045000e+00,        +4.918350330071e-10,        +1.111650457112e-09,        +4.862741136176e-10,        +6.031979613531e-10,        +1.850979723726e-07,        +2.314166986303e-07,        +3.908782694919e-10,        +1.495097004366e-09,        +3.398018326431e-10,        +7.663706640853e-10,        +1.672380167386e-07,        +2.557202115038e-07,        +7.883339816259e-11,        +1.949501727371e-09,        -1.814516854970e-10,        +1.189253533980e-09,        +8.286892635306e-08,        +3.311201783395e-07,        -7.029668409604e-10,        +2.127816823757e-09,        -7.477501422425e-11,        +2.206150355909e-10,        +1.638207040540e-08,        +1.654142911684e-07
 2.40047500e+00,        +4.925262165291e-10,        +1.112174763264e-09,        +4.867617261356e-10,        +6.034159046091e-10,        +1.852259265051e-07,        +2.315098066839e-07,        +3.915645837177e-10,        +1.495827202110e-09,        +3.402419475034e-10,        +7.666117793851e-10,        +1.673598130209e-07,        +2.558287225390e-07,        +7.943845707284e-11,        +1.950591442271e-09,        -1.811538429250e-10,        +1.189679183406e-09,        +8.295579371942e-08,        +3.312788946294e-07,        -7.031772422369e-10,        +2.128164704377e-09,        -7.475236232303e-11,        +2.207116065762e-10,        +1.640359641675e-08,        +1.654605373813e-07
