        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.081192387496e+03,        -2.258404667115e-03
 2.00e+00,        +9.228274323354e+04,        -2.816399848449e-05
 3.00e+00,        +3.546174681586e+03,        -7.335366718726e-04
 4.00e+00,        +2.073048399530e+02,        -1.263560261281e-02
 5.00e+00,        +4.654242498412e+06,        -5.804617561855e-07
 6.00e+00,        +5.133044932462e+06,        +5.263484592315e-07
 7.00e+00,        +1.369589647531e+05,        +2.044084701822e-05
 8.00e+00,        +1.947170660558e+04,        +1.479395877082e-04
