        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +8.807513474341e+03,        +2.770627940498e-04
 2.00e+00,        +2.043110914327e+06,        +1.265833784289e-06
 3.00e+00,        +1.066771618793e+10,        +2.436368099157e-10
 4.00e+00,        +1.293262522477e+03,        +2.020055369596e-03
 5.00e+00,        +1.832855666863e+07,        +1.473943279071e-07
 6.00e+00,        +1.655068992377e+09,        +1.632419940135e-09
 7.00e+00,        +3.571658822070e+09,        -7.670017861908e-10
 8.00e+00,        +5.244406365543e+08,        -5.224091777484e-09
