        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +2.447918013823e-02,        -2.381565207805e-01
 2.00e+00,        +8.397576459704e-04,        +1.616063016545e-02
 3.00e+00,        +1.584114453777e-05,        +2.239459061772e-04
 4.00e+00,        +2.953990143246e-01,        -5.750141243737e-01
 5.00e+00,        +1.532141552022e-04,        +5.519867403297e-03
 6.00e+00,        +1.199829665103e-05,        +5.810036422218e-04
 7.00e+00,        -1.138790652997e-05,        -3.981769687230e-04
 8.00e+00,        -3.000588144633e-05,        -1.039154005017e-03
