        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.134020474348e-12,        +1.773320227027e-02,        +2.934482548505e-14,        +8.483469008433e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.259534418059e-13,        +3.641262479514e-04,        +5.007316338091e-12,        +1.447594670183e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261558197110e-13,        +3.647113141963e-04,        +5.021614128841e-12,        +1.451728103002e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.348127036694e-12,        +1.257025739659e-02,        +2.248556395416e-12,        +6.500484558663e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.349686670003e-12,        +1.257476623269e-02,        +2.249039138160e-12,        +6.501880148188e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.433429107507e-12,        +4.143984913291e-03,        +2.273129132646e-14,        +6.571523336813e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.004062051221e-14,        +1.735749778515e-04,        +2.296948226478e-14,        +6.640383362725e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.015682818612e-14,        +1.739109294831e-04,        +2.317809026436e-14,        +6.700691082061e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667258e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.346063602074e-15,        +9.673332997976e-06,        +1.519736025478e-13,        +4.393494682568e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667273e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.712381748792e-15,        +7.841384681819e-06,        +1.520413999100e-13,        +4.395454676556e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059667207e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.691119913414e-13,        +4.888958491948e-04,        +6.494421461831e-12,        +1.877510678234e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.881383220489e-12,        +8.329961023244e-03,        +3.838319333415e-12,        +1.109642418084e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667201e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.942931471453e-12,        +8.507894499061e-03,        +3.871763453605e-12,        +1.119310976424e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059667213e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.316611336114e-11,        +3.806269514796e-02,        +3.353555987336e-13,        +9.694993177258e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.596928080732e-15,        +4.616653756719e-06,        +5.432823755874e-16,        +1.570607124064e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.205653407355e-15,        +9.267412868727e-06,        +1.034071978517e-15,        +2.989459789669e-06
 1.70e+01,        +3.459059667205e-10,        +3.459059667169e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.318322458806e-14,        +2.404792995528e-04,        +1.254164666469e-13,        +3.625738747361e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667151e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.254454115232e-14,        +2.386328918663e-04,        +1.238381032852e-13,        +3.580108908245e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667209e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.731411909181e-15,        +2.813311375182e-05,        +6.122167724726e-15,        +1.769893645595e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667093e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.790467366100e-15,        +2.541288156849e-05,        +5.850094022016e-15,        +1.691238251155e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059667388e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.390685018576e-12,        +2.425712715548e-02,        +2.061984781986e-12,        +5.961113655905e-03
