        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +1.341671792721e-03,        +6.320618295892e-03
 2.00e+00,        +1.592265980590e-03,        -3.688719468974e-03
 3.00e+00,        +1.655724330741e-06,        +1.310325662635e-04
 4.00e+00,        +4.705814143187e-04,        -1.553104766895e-03
 5.00e+00,        -1.141972884776e-05,        +1.623631962146e-04
 6.00e+00,        +3.941865510566e-03,        -4.319739219370e-03
 7.00e+00,        +1.083110956007e-05,        +8.501139626545e-04
 8.00e+00,        -7.220455283468e-06,        +6.255013784474e-05
