        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +4.220158736868e+03,        +5.658944934476e-04
 2.00e+00,        +1.120268975456e+04,        +2.187923875412e-04
 3.00e+00,        +1.119845016242e+07,        +2.327575141774e-07
 4.00e+00,        +7.302325525171e+04,        +3.569625100333e-05
 5.00e+00,        +7.614860830700e+06,        -3.590824623301e-07
 6.00e+00,        +5.912663009615e+03,        +4.635347633672e-04
 7.00e+00,        +2.807250538516e+05,        +9.797170592361e-06
 8.00e+00,        +5.198091012414e+07,        -5.373796921428e-08
