        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +9.890924723522e+02,        +2.467961097661e-03
 2.00e+00,        +3.744342248220e+04,        -6.941642542029e-05
 3.00e+00,        +7.931402805509e+02,        -3.278367321694e-03
 4.00e+00,        +9.090286755528e+01,        -2.885743850395e-02
 5.00e+00,        +3.492177293155e+06,        -7.736272630671e-07
 6.00e+00,        +7.096399842671e+06,        -3.807246696671e-07
 7.00e+00,        +7.976783880530e+07,        +3.434377314457e-08
 8.00e+00,        +3.884954006447e+04,        +7.206340279157e-05
