        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41005000e+00,        +7.545176872327e-11,        +8.784122334308e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.524895327373e-13,        +2.021019988234e-03,        +7.489311525971e-13,        +8.525964508395e-03,        +1.524895327373e-13,        +2.021019988234e-03,        +7.489311525971e-13,        +8.525964508395e-03,        +9.581512398408e-14,        +1.269885724422e-03,        +4.495516270142e-13,        +5.117775116341e-03,        +7.513862903148e-11,        +9.958498031645e-01,        +8.617370246674e-11,        +9.810166478463e-01,        +6.483503506646e-14,        +8.592911228397e-04,        +4.690380967244e-13,        +5.339612528988e-03
 2.41005500e+00,        +7.546107201964e-11,        +8.785016793897e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.525312668850e-13,        +2.021323880017e-03,        +7.491074713263e-13,        +8.527103463782e-03,        +1.525312668850e-13,        +2.021323880017e-03,        +7.491074713263e-13,        +8.527103463782e-03,        +9.583938850097e-14,        +1.270050715368e-03,        +4.496570270737e-13,        +5.118453813157e-03,        +7.514785211258e-11,        +9.958492518237e-01,        +8.618225502908e-11,        +9.810141181398e-01,        +6.484925167779e-14,        +8.593735808697e-04,        +4.691484114909e-13,        +5.340324583293e-03
 2.41006000e+00,        +7.547037865014e-11,        +8.785911583283e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.525730169525e-13,        +2.021627818509e-03,        +7.492838536319e-13,        +8.528242590758e-03,        +1.525730169525e-13,        +2.021627818509e-03,        +7.492838536319e-13,        +8.528242590758e-03,        +9.586366200983e-14,        +1.270215728666e-03,        +4.497624649668e-13,        +5.119132610241e-03,        +7.515707849795e-11,        +9.958487004068e-01,        +8.619081074861e-11,        +9.810115880588e-01,        +6.486347322896e-14,        +8.594560460554e-04,        +4.692587656270e-13,        +5.341036740226e-03
 2.41006500e+00,        +7.547968861638e-11,        +8.786806702625e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.526147829479e-13,        +2.021931803714e-03,        +7.494602995444e-13,        +8.529381889333e-03,        +1.526147829479e-13,        +2.021931803714e-03,        +7.494602995444e-13,        +8.529381889333e-03,        +9.588794451505e-14,        +1.270380764319e-03,        +4.498679407114e-13,        +5.119811507599e-03,        +7.516630818919e-11,        +9.958481489136e-01,        +8.619936962684e-11,        +9.810090576033e-01,        +6.487769972232e-14,        +8.595385183961e-04,        +4.693691591515e-13,        +5.341748999796e-03
 2.41007000e+00,        +7.548900191995e-11,        +8.787702152080e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.526565648789e-13,        +2.022235835636e-03,        +7.496368090943e-13,        +8.530521359521e-03,        +1.526565648789e-13,        +2.022235835636e-03,        +7.496368090943e-13,        +8.530521359521e-03,        +9.591223602103e-14,        +1.270545822327e-03,        +4.499734543258e-13,        +5.120490505238e-03,        +7.517554118789e-11,        +9.958475973441e-01,        +8.620793166530e-11,        +9.810065267732e-01,        +6.489193116020e-14,        +8.596209978907e-04,        +4.694795920832e-13,        +5.342461362008e-03
 2.41007500e+00,        +7.549831856246e-11,        +8.788597931808e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.526983627535e-13,        +2.022539914279e-03,        +7.498133823122e-13,        +8.531661001334e-03,        +1.526983627535e-13,        +2.022539914279e-03,        +7.498133823122e-13,        +8.531661001334e-03,        +9.593653653218e-14,        +1.270710902691e-03,        +4.500790058281e-13,        +5.121169603164e-03,        +7.518477749563e-11,        +9.958470456985e-01,        +8.621649686550e-11,        +9.810039955686e-01,        +6.490616754495e-14,        +8.597034845387e-04,        +4.695900644412e-13,        +5.343173826869e-03
 2.41008000e+00,        +7.550763854550e-11,        +8.789494041969e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.527401765797e-13,        +2.022844039649e-03,        +7.499900192285e-13,        +8.532800814783e-03,        +1.527401765797e-13,        +2.022844039649e-03,        +7.499900192285e-13,        +8.532800814783e-03,        +9.596084605289e-14,        +1.270876005413e-03,        +4.501845952365e-13,        +5.121848801386e-03,        +7.519401711399e-11,        +9.958464939766e-01,        +8.622506522898e-11,        +9.810014639894e-01,        +6.492040887891e-14,        +8.597859783390e-04,        +4.697005762442e-13,        +5.343886394386e-03
 2.41008500e+00,        +7.551696187069e-11,        +8.790390482720e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.527820063653e-13,        +2.023148211748e-03,        +7.501667198737e-13,        +8.533940799881e-03,        +1.527820063653e-13,        +2.023148211748e-03,        +7.501667198737e-13,        +8.533940799881e-03,        +9.598516458758e-14,        +1.271041130494e-03,        +4.502902225690e-13,        +5.122528099909e-03,        +7.520326004457e-11,        +9.958459421785e-01,        +8.623363675725e-11,        +9.809989320356e-01,        +6.493465516442e-14,        +8.598684792910e-04,        +4.698111275111e-13,        +5.344599064566e-03
 2.41009000e+00,        +7.552628853963e-11,        +8.791287254222e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.528238521183e-13,        +2.023452430581e-03,        +7.503434842786e-13,        +8.535080956640e-03,        +1.528238521183e-13,        +2.023452430581e-03,        +7.503434842786e-13,        +8.535080956640e-03,        +9.600949214065e-14,        +1.271206277934e-03,        +4.503958878440e-13,        +5.123207498740e-03,        +7.521250628896e-11,        +9.958453903041e-01,        +8.624221145183e-11,        +9.809963997072e-01,        +6.494890640384e-14,        +8.599509873937e-04,        +4.699217182610e-13,        +5.345311837414e-03
 2.41009500e+00,        +7.553561855392e-11,        +8.792184356632e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.528657138465e-13,        +2.023756696153e-03,        +7.505203124736e-13,        +8.536221285072e-03,        +1.528657138465e-13,        +2.023756696153e-03,        +7.505203124736e-13,        +8.536221285072e-03,        +9.603382871652e-14,        +1.271371447736e-03,        +4.505015910797e-13,        +5.123886997886e-03,        +7.522175584876e-11,        +9.958448383535e-01,        +8.625078931426e-11,        +9.809938670041e-01,        +6.496316259950e-14,        +8.600335026465e-04,        +4.700323485127e-13,        +5.346024712939e-03
