        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.138736577767e-12,        +1.774683633234e-02,        +2.937734107481e-14,        +8.492869132422e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.262454912401e-13,        +3.649705509188e-04,        +5.000208350648e-12,        +1.445539780089e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.265139144518e-13,        +3.657465514435e-04,        +5.029457065783e-12,        +1.453995463988e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.354004272648e-12,        +1.258724824532e-02,        +2.267096526083e-12,        +6.554083318007e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.349769110153e-12,        +1.257500456379e-02,        +2.255572529358e-12,        +6.520767914886e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.433669756265e-12,        +4.144680619006e-03,        +2.279006436030e-14,        +6.588514380476e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.917510080968e-14,        +1.710727957968e-04,        +2.240164320235e-14,        +6.476223412607e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.058227354796e-14,        +1.751408746208e-04,        +2.325324539360e-14,        +6.722418122490e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667223e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.655732690198e-15,        +1.056857366428e-05,        +1.540860115046e-13,        +4.454563561440e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667397e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.824707966743e-15,        +8.166115183047e-06,        +1.521357461066e-13,        +4.398182186350e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.659030318834e-13,        +4.796188786690e-04,        +6.482573956008e-12,        +1.874085612766e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.910057408302e-12,        +8.412856927252e-03,        +3.859494053146e-12,        +1.115763942940e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.919745299779e-12,        +8.440864225213e-03,        +3.841536985117e-12,        +1.110572628029e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.315875994938e-11,        +3.804143673536e-02,        +3.351969304139e-13,        +9.690406141064e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.805606764277e-15,        +5.219935294542e-06,        +4.531989996329e-16,        +1.310179769171e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059667207e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.272898482953e-14,        +3.679897444444e-05,        +9.021944695196e-16,        +2.608207305797e-06
 1.70e+01,        +3.459059667205e-10,        +3.459059667095e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.558745185025e-14,        +2.185202312839e-04,        +1.186870797475e-13,        +3.431194924924e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667023e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.516500944731e-14,        +1.883893766423e-04,        +1.173802091322e-13,        +3.393413830102e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667207e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.937519597724e-14,        +8.492248993490e-05,        +1.393025908626e-14,        +4.027180918077e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667219e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.363599163377e-14,        +3.942109401306e-05,        +6.794963228102e-15,        +1.964396073446e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059666985e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.537563658453e-12,        +2.468174729507e-02,        +2.090204721026e-12,        +6.042696345994e-03
 2.20e+01,        +3.459059667205e-10,        +3.459059667110e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.436320130799e-12,        +2.438905639814e-02,        +2.063436795186e-12,        +5.965311367150e-03
