        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.44840907e+00,        +6.045616520702e-10,        +6.045389657839e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.542978313381e-13,        +2.552226572918e-04,        +2.020448311251e-12,        +3.342130823000e-03,        +1.264291200923e-10,        +2.091252722686e-01,        +1.343605958277e-10,        +2.222529951456e-01,        +1.328540758343e-10,        +2.197527338682e-01,        +1.168748438711e-10,        +1.933288844658e-01,        +1.052341510054e-10,        +1.740668642231e-01,        +1.036468455990e-10,        +1.714477502118e-01,        +1.049214663731e-10,        +1.735496553805e-01,        +1.034811825960e-10,        +1.711737182430e-01,        +1.329663435844e-10,        +2.199384349455e-01,        +1.168807783363e-10,        +1.933387009797e-01
 2.44841397e+00,        +6.048695383797e-10,        +6.048466497192e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.542446773782e-13,        +2.550048689695e-04,        +2.020706841268e-12,        +3.340858120328e-03,        +1.265128908309e-10,        +2.091573187333e-01,        +1.344354466767e-10,        +2.222636873977e-01,        +1.329138513638e-10,        +2.197397007622e-01,        +1.169355662623e-10,        +1.933309315949e-01,        +1.052866440342e-10,        +1.740650460201e-01,        +1.036941844165e-10,        +1.714388009996e-01,        +1.049739277244e-10,        +1.735480480726e-01,        +1.035284280836e-10,        +1.711647541268e-01,        +1.330259852555e-10,        +2.199250860142e-01,        +1.169413812369e-10,        +1.933405455601e-01
 2.44841888e+00,        +6.051777625088e-10,        +6.051546728453e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541915791989e-13,        +2.547872521947e-04,        +2.020966352289e-12,        +3.339586461073e-03,        +1.265967407378e-10,        +2.091893466359e-01,        +1.345103788211e-10,        +2.222743785297e-01,        +1.329737087960e-10,        +2.197266935995e-01,        +1.169963640839e-10,        +1.933329929252e-01,        +1.053391841946e-10,        +1.740632103829e-01,        +1.037415683331e-10,        +1.714298393257e-01,        +1.050264360266e-10,        +1.735464231058e-01,        +1.035757184982e-10,        +1.711557774332e-01,        +1.330857086884e-10,        +2.199117630110e-01,        +1.170020594051e-10,        +1.933424042732e-01
 2.44842379e+00,        +6.054863242907e-10,        +6.054630350006e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541385368509e-13,        +2.545698072231e-04,        +2.021226844302e-12,        +3.338315846648e-03,        +1.266806697813e-10,        +2.092213559566e-01,        +1.345853922381e-10,        +2.222850685475e-01,        +1.330336481092e-10,        +2.197137123865e-01,        +1.170572373141e-10,        +1.933350684472e-01,        +1.053917714409e-10,        +1.740613573137e-01,        +1.037889973060e-10,        +1.714208651993e-01,        +1.050789912338e-10,        +1.735447804819e-01,        +1.036230537968e-10,        +1.711467881713e-01,        +1.331455138610e-10,        +2.198984659429e-01,        +1.170628128189e-10,        +1.933442771098e-01
 2.44842869e+00,        +6.057952235564e-10,        +6.057717360209e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.540855503847e-13,        +2.543525343104e-04,        +2.021488317288e-12,        +3.337046278464e-03,        +1.267646779294e-10,        +2.092533466758e-01,        +1.346604869047e-10,        +2.222957574568e-01,        +1.330936692808e-10,        +2.197007571296e-01,        +1.171181859306e-10,        +1.933371581512e-01,        +1.054444057270e-10,        +1.740594868146e-01,        +1.038364712921e-10,        +1.714118786296e-01,        +1.051315932998e-10,        +1.735431202027e-01,        +1.036704339362e-10,        +1.711377863503e-01,        +1.332054007507e-10,        +2.198851948168e-01,        +1.171236414559e-10,        +1.933461640605e-01
 2.44843360e+00,        +6.061044601345e-10,        +6.060807757401e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.540326198508e-13,        +2.541354337116e-04,        +2.021750771223e-12,        +3.335777757930e-03,        +1.268487651494e-10,        +2.092853187737e-01,        +1.347356627972e-10,        +2.223064452632e-01,        +1.331537722880e-10,        +2.196878278350e-01,        +1.171792099108e-10,        +1.933392620277e-01,        +1.054970870063e-10,        +1.740575988880e-01,        +1.038839902478e-10,        +1.714028796259e-01,        +1.051842421780e-10,        +1.735414422699e-01,        +1.037178588728e-10,        +1.711287719795e-01,        +1.332653693348e-10,        +2.198719496392e-01,        +1.171845452933e-10,        +1.933480651159e-01
 2.44843851e+00,        +6.064140338517e-10,        +6.063901539897e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.539797452999e-13,        +2.539185056815e-04,        +2.022014206080e-12,        +3.334510286449e-03,        +1.269329314083e-10,        +2.093172722307e-01,        +1.348109198915e-10,        +2.223171319727e-01,        +1.332139571076e-10,        +2.196749245090e-01,        +1.172403092314e-10,        +1.933413800670e-01,        +1.055498152320e-10,        +1.740556935360e-01,        +1.039315541292e-10,        +1.713938681975e-01,        +1.052369378211e-10,        +1.735397466854e-01,        +1.037653285625e-10,        +1.711197450680e-01,        +1.333254195898e-10,        +2.198587304171e-01,        +1.172455243077e-10,        +1.933499802666e-01
 2.44844341e+00,        +6.067239445323e-10,        +6.066998705989e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.539269267826e-13,        +2.537017504744e-04,        +2.022278621829e-12,        +3.333243865427e-03,        +1.270171766723e-10,        +2.093492070273e-01,        +1.348862581630e-10,        +2.223278175910e-01,        +1.332742237156e-10,        +2.196620471578e-01,        +1.173014838689e-10,        +1.933435122593e-01,        +1.056025903569e-10,        +1.740537707611e-01,        +1.039791628920e-10,        +1.713848443538e-01,        +1.052896801819e-10,        +1.735380334511e-01,        +1.038128429608e-10,        +1.711107056251e-01,        +1.333855514917e-10,        +2.198455371570e-01,        +1.173065784755e-10,        +1.933519095030e-01
 2.44844832e+00,        +6.070341919982e-10,        +6.070099253947e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.538741643493e-13,        +2.534851683442e-04,        +2.022544018434e-12,        +3.331978496264e-03,        +1.271015009074e-10,        +2.093811231440e-01,        +1.349616775866e-10,        +2.223385021239e-01,        +1.333345720879e-10,        +2.196491957875e-01,        +1.173627337991e-10,        +1.933456585949e-01,        +1.056554123331e-10,        +1.740518305654e-01,        +1.040268164916e-10,        +1.713758081039e-01,        +1.053424692123e-10,        +1.735363025689e-01,        +1.038604020230e-10,        +1.711016536600e-01,        +1.334457650163e-10,        +2.198323698655e-01,        +1.173677077725e-10,        +1.933538528158e-01
 2.44845323e+00,        +6.073447760692e-10,        +6.073203182019e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.538214580508e-13,        +2.532687595443e-04,        +2.022810395854e-12,        +3.330714180357e-03,        +1.271859040789e-10,        +2.094130205614e-01,        +1.350371781368e-10,        +2.223491855774e-01,        +1.333950021997e-10,        +2.196363704041e-01,        +1.174240589976e-10,        +1.933478190641e-01,        +1.057082811126e-10,        +1.740498729515e-01,        +1.040745148828e-10,        +1.713667594573e-01,        +1.053953048641e-10,        +1.735345540407e-01,        +1.039080057040e-10,        +1.710925891820e-01,        +1.335060601388e-10,        +2.198192285490e-01,        +1.174289121741e-10,        +1.933558101954e-01
 2.44845813e+00,        +6.076556965629e-10,        +6.076310488430e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.537688079375e-13,        +2.530525243279e-04,        +2.023077754046e-12,        +3.329450919102e-03,        +1.272703861515e-10,        +2.094448992603e-01,        +1.351127597875e-10,        +2.223598679573e-01,        +1.334555140259e-10,        +2.196235710136e-01,        +1.174854594395e-10,        +1.933499936569e-01,        +1.057611966469e-10,        +1.740478979216e-01,        +1.041222580204e-10,        +1.713576984234e-01,        +1.054481870887e-10,        +1.735327878685e-01,        +1.039556539582e-10,        +1.710835122006e-01,        +1.335664368339e-10,        +2.198061132141e-01,        +1.174901916551e-10,        +1.933577816322e-01
 2.44846304e+00,        +6.079669532944e-10,        +6.079421171383e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.537162140600e-13,        +2.528364629476e-04,        +2.023346092960e-12,        +3.328188713894e-03,        +1.273549470897e-10,        +2.094767592212e-01,        +1.351884225121e-10,        +2.223705492695e-01,        +1.335161075408e-10,        +2.196107976219e-01,        +1.175469350994e-10,        +1.933521823636e-01,        +1.058141588870e-10,        +1.740459054783e-01,        +1.041700458583e-10,        +1.713486250116e-01,        +1.055011158370e-10,        +1.735310040543e-01,        +1.040033467396e-10,        +1.710744227249e-01,        +1.336268950758e-10,        +2.197930238671e-01,        +1.175515461902e-10,        +1.933597671165e-01
 2.44846795e+00,        +6.082785460767e-10,        +6.082535229058e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.536636764689e-13,        +2.526205756557e-04,        +2.023615412545e-12,        +3.326927566121e-03,        +1.274395868572e-10,        +2.095086004251e-01,        +1.352641662837e-10,        +2.223812295201e-01,        +1.335767827182e-10,        +2.195980502349e-01,        +1.176084859514e-10,        +1.933543851741e-01,        +1.058671677837e-10,        +1.740438956240e-01,        +1.042178783504e-10,        +1.713395392312e-01,        +1.055540910595e-10,        +1.735292026001e-01,        +1.040510840019e-10,        +1.710653207644e-01,        +1.336874348384e-10,        +2.197799605143e-01,        +1.176129757533e-10,        +1.933617666387e-01
 2.44847285e+00,        +6.085904747204e-10,        +6.085652659610e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.536111952149e-13,        +2.524048627042e-04,        +2.023885712743e-12,        +3.325667477172e-03,        +1.275243054171e-10,        +2.095404228528e-01,        +1.353399910746e-10,        +2.223919087149e-01,        +1.336375395315e-10,        +2.195853288583e-01,        +1.176701119693e-10,        +1.933566020787e-01,        +1.059202232872e-10,        +1.740418683612e-01,        +1.042657554502e-10,        +1.713304410918e-01,        +1.056071127062e-10,        +1.735273835081e-01,        +1.040988656985e-10,        +1.710562063284e-01,        +1.337480560949e-10,        +2.197669231618e-01,        +1.176744803180e-10,        +1.933637801891e-01
