        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41005000e+00,        +4.634675062313e-11,        +9.972448408563e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.936977485735e-14,        +1.712520808692e-03,        +4.196444019504e-13,        +4.208037833418e-03,        +7.936977485735e-14,        +1.712520808692e-03,        +4.196444019504e-13,        +4.208037833418e-03,        +5.079170831636e-14,        +1.095906565907e-03,        +2.502748056074e-13,        +2.509662575867e-03,        +4.618191068887e-11,        +9.964433335231e-01,        +9.879636690217e-11,        +9.906931864129e-01,        +3.467845108219e-14,        +7.482391023306e-04,        +2.581979758934e-13,        +2.589113177780e-03
 2.41005500e+00,        +4.635208315026e-11,        +9.972952751838e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.939224460424e-14,        +1.712808555915e-03,        +4.197468918801e-13,        +4.208852707166e-03,        +7.939224460424e-14,        +1.712808555915e-03,        +4.197468918801e-13,        +4.208852707166e-03,        +5.080497122884e-14,        +1.096066622597e-03,        +2.503353696384e-13,        +2.510142942292e-03,        +4.618719965546e-11,        +9.964428029208e-01,        +9.880118514108e-11,        +9.906913990230e-01,        +3.468627896187e-14,        +7.483219006454e-04,        +2.582601157776e-13,        +2.589605327570e-03
 2.41006000e+00,        +4.635741762232e-11,        +9.973457288334e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.941472315636e-14,        +1.713096355008e-03,        +4.198494198017e-13,        +4.209667797873e-03,        +7.941472315636e-14,        +1.713096355008e-03,        +4.198494198017e-13,        +4.209667797873e-03,        +5.081823918206e-14,        +1.096226705208e-03,        +2.503959559794e-13,        +2.510623435188e-03,        +4.619249055035e-11,        +9.964422722312e-01,        +9.880600522921e-11,        +9.906896111621e-01,        +3.469410962459e-14,        +7.484047085462e-04,        +2.583222783492e-13,        +2.590097604884e-03
 2.41006500e+00,        +4.636275404026e-11,        +9.973962018147e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.943721051817e-14,        +1.713384205977e-03,        +4.199519857337e-13,        +4.210483105607e-03,        +7.943721051817e-14,        +1.713384205977e-03,        +4.199519857337e-13,        +4.210483105607e-03,        +5.083151217855e-14,        +1.096386813743e-03,        +2.504565646413e-13,        +2.511104054594e-03,        +4.619778337449e-11,        +9.964417414542e-01,        +9.881082716747e-11,        +9.906878228300e-01,        +3.470194307167e-14,        +7.484875260330e-04,        +2.583844636194e-13,        +2.590590009760e-03
 2.41007000e+00,        +4.636809240504e-11,        +9.974466941370e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.945970669413e-14,        +1.713672108829e-03,        +4.200545896950e-13,        +4.211298630434e-03,        +7.945970669413e-14,        +1.713672108829e-03,        +4.200545896950e-13,        +4.211298630434e-03,        +5.084479022082e-14,        +1.096546948205e-03,        +2.505171956351e-13,        +2.511584800548e-03,        +4.620307812882e-11,        +9.964412105899e-01,        +9.881565095678e-11,        +9.906860340268e-01,        +3.470977930447e-14,        +7.485703531055e-04,        +2.584466715992e-13,        +2.591082542239e-03
 2.41007500e+00,        +4.637343271761e-11,        +9.974972058100e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.948221168874e-14,        +1.713960063572e-03,        +4.201572317042e-13,        +4.212114372421e-03,        +7.948221168874e-14,        +1.713960063572e-03,        +4.201572317042e-13,        +4.212114372421e-03,        +5.085807331140e-14,        +1.096707108596e-03,        +2.505778489718e-13,        +2.512065673089e-03,        +4.620837481429e-11,        +9.964406796381e-01,        +9.882047659803e-11,        +9.906842447521e-01,        +3.471761832433e-14,        +7.486531897637e-04,        +2.585089022998e-13,        +2.591575202358e-03
 2.41008000e+00,        +4.637877497894e-11,        +9.975477368432e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.950472550648e-14,        +1.714248070213e-03,        +4.202599117801e-13,        +4.212930331636e-03,        +7.950472550648e-14,        +1.714248070213e-03,        +4.202599117801e-13,        +4.212930331636e-03,        +5.087136145283e-14,        +1.096867294920e-03,        +2.506385246623e-13,        +2.512546672257e-03,        +4.621367343184e-11,        +9.964401485989e-01,        +9.882530409214e-11,        +9.906824550060e-01,        +3.472546013261e-14,        +7.487360360074e-04,        +2.585711557324e-13,        +2.592067990156e-03
 2.41008500e+00,        +4.638411918997e-11,        +9.975982872460e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.952724815184e-14,        +1.714536128758e-03,        +4.203626299415e-13,        +4.213746508145e-03,        +7.952724815184e-14,        +1.714536128758e-03,        +4.203626299415e-13,        +4.213746508145e-03,        +5.088465464763e-14,        +1.097027507178e-03,        +2.506992227176e-13,        +2.513027798090e-03,        +4.621897398244e-11,        +9.964396174722e-01,        +9.883013344003e-11,        +9.906806647881e-01,        +3.473330473066e-14,        +7.488188918366e-04,        +2.586334319080e-13,        +2.592560905673e-03
 2.41009000e+00,        +4.638946535168e-11,        +9.976488570280e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.954977962927e-14,        +1.714824239215e-03,        +4.204653862069e-13,        +4.214562902016e-03,        +7.954977962927e-14,        +1.714824239215e-03,        +4.204653862069e-13,        +4.214562902016e-03,        +5.089795289832e-14,        +1.097187745374e-03,        +2.507599431487e-13,        +2.513509050626e-03,        +4.622427646703e-11,        +9.964390862582e-01,        +9.883496464261e-11,        +9.906788740984e-01,        +3.474115211981e-14,        +7.489017572511e-04,        +2.586957308378e-13,        +2.593053948947e-03
 2.41009500e+00,        +4.639481346501e-11,        +9.976994461988e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.957231994331e-14,        +1.715112401590e-03,        +4.205681805954e-13,        +4.215379513317e-03,        +7.957231994331e-14,        +1.715112401590e-03,        +4.205681805954e-13,        +4.215379513317e-03,        +5.091125620744e-14,        +1.097348009511e-03,        +2.508206859666e-13,        +2.513990429906e-03,        +4.622958088656e-11,        +9.964385549566e-01,        +9.883979770079e-11,        +9.906770829368e-01,        +3.474900230144e-14,        +7.489846322508e-04,        +2.587580525331e-13,        +2.593547120016e-03
