        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.10e+01,        +4.087207877788e-10,        +4.087207875962e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.582695122729e-12,        +8.765629813447e-03,        +4.739198152300e-12,        +1.159519724987e-02,        +3.582695122729e-12,        +8.765629813447e-03,        +4.739198152300e-12,        +1.159519724987e-02,        +1.705918329896e-12,        +4.173798791020e-03,        +4.063249931536e-12,        +9.941383102712e-03,        +3.741146616068e-10,        +9.153306432978e-01,        +3.435883574065e-10,        +8.406432161850e-01,        +2.893395288643e-11,        +7.079148834996e-02,        +5.370726836416e-11,        +1.314033198067e-01,        +3.835598329720e-13,        +9.384397477225e-04,        +2.622713741678e-12,        +6.416883655718e-03
 1.20e+01,        +4.087207877788e-10,        +4.087207876804e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.472498949348e-12,        +8.496017460281e-03,        +4.839576180782e-12,        +1.184078795759e-02,        +3.472498949348e-12,        +8.496017460281e-03,        +4.839576180782e-12,        +1.184078795759e-02,        +1.656711581325e-12,        +4.053406704191e-03,        +4.048324110607e-12,        +9.904864720933e-03,        +3.752299396968e-10,        +9.180593473995e-01,        +3.444602223547e-10,        +8.427763713944e-01,        +2.799041793615e-11,        +6.848298098137e-02,        +5.280919007364e-11,        +1.292060293124e-01,        +3.712196151492e-13,        +9.082474546171e-04,        +2.563474960634e-12,        +6.271946614661e-03
 1.30e+01,        +4.087207877788e-10,        +4.087207878088e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.965209377704e-13,        +7.254853353114e-04,        +7.676765687498e-12,        +1.878242046032e-02,        +2.965209377704e-13,        +7.254853353114e-04,        +7.676765687498e-12,        +1.878242046032e-02,        +2.469262194715e-13,        +6.041440192299e-04,        +3.609424881101e-12,        +8.831028390926e-03,        +4.069876347172e-10,        +9.957595671339e-01,        +3.692021239809e-10,        +9.033113435707e-01,        +1.161170065747e-12,        +2.840986072808e-03,        +2.737240285432e-11,        +6.697090940999e-02,        +2.853583855374e-14,        +6.981743871854e-05,        +8.600704050437e-13,        +2.104298168083e-03
 1.40e+01,        +4.087207877788e-10,        +4.087207868019e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651666576727e-11,        +4.041063303149e-02,        +4.341809904362e-13,        +1.062292411975e-03,        +1.651666576727e-11,        +4.041063303149e-02,        +4.341809904362e-13,        +1.062292411975e-03,        +9.764240143133e-12,        +2.388975661404e-02,        +5.864793983567e-13,        +1.434914536512e-03,        +3.520625641695e-10,        +8.613767018869e-01,        +3.797858332742e-10,        +9.292060632537e-01,        +2.577515952764e-11,        +6.306300119384e-02,        +2.780392539800e-11,        +6.802669767680e-02,        +4.602158171236e-12,        +1.125990727373e-02,        +1.103677409525e-13,        +2.700321209892e-04
 1.50e+01,        +4.087207877788e-10,        +4.087207877710e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.239060638993e-15,        +3.031557669789e-06,        +2.884226262494e-16,        +7.056715363620e-07,        +1.239060638993e-15,        +3.031557669789e-06,        +2.884226262494e-16,        +7.056715363620e-07,        +2.001102016852e-15,        +4.896012330880e-06,        +8.802734178574e-16,        +2.153728031936e-06,        +4.084963854890e-10,        +9.994509643343e-01,        +3.846931117719e-10,        +9.412124934235e-01,        +2.210170613564e-13,        +5.407531693152e-04,        +2.402637588855e-11,        +5.878432565073e-02,        +1.450658079918e-16,        +3.549264249078e-07,        +1.314144353124e-16,        +3.215261842419e-07
 1.60e+01,        +4.087207877788e-10,        +4.087207854094e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.824664062746e-16,        +2.403759328254e-06,        +2.837988736263e-16,        +6.943587988608e-07,        +9.824664062746e-16,        +2.403759328254e-06,        +2.837988736263e-16,        +6.943587988608e-07,        +1.855970376362e-15,        +4.540924836361e-06,        +8.718900094028e-16,        +2.133216710595e-06,        +4.084975217373e-10,        +9.994537443455e-01,        +3.846727896996e-10,        +9.411627776998e-01,        +2.203465686510e-13,        +5.391127029493e-04,        +2.404671035646e-11,        +5.883407748000e-02,        +8.103601805218e-17,        +1.982674247928e-07,        +1.296644818684e-16,        +3.172446484181e-07
 1.70e+01,        +4.087207877788e-10,        +4.087207872701e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.956525501596e-14,        +1.946689705908e-04,        +1.482815895959e-13,        +3.627943432637e-04,        +7.956525501596e-14,        +1.946689705908e-04,        +1.482815895959e-13,        +3.627943432637e-04,        +8.699158984206e-14,        +2.128386723730e-04,        +2.698621317569e-13,        +6.602603541634e-04,        +3.717565096447e-10,        +9.095610518491e-01,        +3.528984591989e-10,        +8.634218522526e-01,        +3.679006536462e-11,        +9.001270907839e-02,        +5.532877762734e-11,        +1.353705985861e-01,        +7.655924624580e-15,        +1.873142950763e-05,        +7.540672250709e-14,        +1.844944638386e-04
 1.80e+01,        +4.087207877788e-10,        +4.087207879846e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.930834162099e-14,        +1.940403913684e-04,        +1.483093485087e-13,        +3.628622591966e-04,        +7.930834162099e-14,        +1.940403913684e-04,        +1.483093485087e-13,        +3.628622591966e-04,        +8.672856032069e-14,        +2.121951290807e-04,        +2.701133313408e-13,        +6.608749524895e-04,        +3.718368280292e-10,        +9.097575634702e-01,        +3.530037781907e-10,        +8.636795303009e-01,        +3.671028694450e-11,        +8.981751856568e-02,        +5.522305601942e-11,        +1.351119337280e-01,        +7.635903100974e-15,        +1.868244368600e-05,        +7.553109459886e-14,        +1.847987594937e-04
 1.90e+01,        +4.087207877788e-10,        +4.087207879036e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.545676005524e-16,        +3.781740620350e-07,        +4.363641226646e-15,        +1.067633787121e-05,        +1.545676005524e-16,        +3.781740620350e-07,        +4.363641226646e-15,        +1.067633787121e-05,        +2.365205793312e-16,        +5.786849761583e-07,        +1.029401309532e-14,        +2.518592985720e-05,        +3.806944787509e-10,        +9.314292057905e-01,        +3.807011219768e-10,        +9.314454592081e-01,        +2.802589549507e-11,        +6.856978243602e-02,        +2.800398142725e-11,        +6.851616618496e-02,        +2.244467395045e-17,        +5.491444189180e-08,        +1.026845246968e-15,        +2.512339174709e-06
 2.00e+01,        +4.087207877788e-10,        +4.087207881854e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.378569231152e-16,        +3.372887487920e-07,        +4.347561065501e-15,        +1.063699520840e-05,        +1.378569231152e-16,        +3.372887487920e-07,        +4.347561065501e-15,        +1.063699520840e-05,        +2.483804891035e-16,        +6.077021197119e-07,        +1.031081543041e-14,        +2.522703940798e-05,        +3.807057209594e-10,        +9.314567116304e-01,        +3.807016037949e-10,        +9.314466374100e-01,        +2.801463860819e-11,        +6.854224068326e-02,        +2.800349513049e-11,        +6.851497633584e-02,        +4.197375496427e-17,        +1.026954248948e-07,        +1.030883554094e-15,        +2.522219529550e-06
 2.10e+01,        +4.087207877788e-10,        +4.087207882653e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.088117610217e-14,        +5.108909731666e-05,        +5.011258455864e-15,        +1.226083575815e-05,        +2.088117610217e-14,        +5.108909731666e-05,        +5.011258455864e-15,        +1.226083575815e-05,        +9.186669153169e-15,        +2.247663790994e-05,        +4.298889841302e-15,        +1.051791336464e-05,        +4.084545686145e-10,        +9.993486527422e-01,        +3.907246733698e-10,        +9.559696609220e-01,        +2.340631849281e-13,        +5.726725723938e-04,        +1.798440942387e-11,        +4.400169979169e-02,        +2.088134145731e-15,        +5.108950188413e-06,        +2.395323360347e-15,        +5.860537142026e-06
 2.20e+01,        +4.087207877788e-10,        +4.087207881558e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.008877548773e-14,        +4.915036398540e-05,        +4.894915211075e-15,        +1.197618362688e-05,        +2.008877548773e-14,        +4.915036398540e-05,        +4.894915211075e-15,        +1.197618362688e-05,        +8.846433171328e-15,        +2.164419681075e-05,        +4.125695472629e-15,        +1.009416597390e-05,        +4.084555433873e-10,        +9.993510376779e-01,        +3.906996215936e-10,        +9.559083680489e-01,        +2.342965543063e-13,        +5.732435474583e-04,        +1.800988424350e-11,        +4.406402797560e-02,        +2.012628564188e-15,        +4.924213850551e-06,        +2.261707953671e-15,        +5.533625935387e-06
 2.30e+01,        +4.087207877788e-10,        +4.087207874329e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.011647369104e-11,        +2.475155165466e-02,        +2.415661881957e-12,        +5.910298561347e-03,        +1.011647369104e-11,        +2.475155165466e-02,        +2.415661881957e-12,        +5.910298561347e-03,        +4.432917026167e-12,        +1.084583206609e-02,        +2.092106068674e-12,        +5.118668129932e-03,        +3.929363949008e-10,        +9.613809883179e-01,        +3.857719969741e-10,        +9.438521573542e-01,        +2.219474445888e-13,        +5.430294989276e-04,        +1.725713030511e-11,        +4.222229657929e-02,        +1.013054716165e-12,        +2.478598462463e-03,        +1.183892203097e-12,        +2.896579375208e-03
 2.40e+01,        +4.087207877788e-10,        +4.087207884464e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.013678787147e-11,        +2.480125350745e-02,        +2.425940636194e-12,        +5.935447143306e-03,        +1.013678787147e-11,        +2.480125350745e-02,        +2.425940636194e-12,        +5.935447143306e-03,        +4.441811732312e-12,        +1.086759437036e-02,        +2.098550341914e-12,        +5.134435050125e-03,        +3.929032710166e-10,        +9.612999455004e-01,        +3.857421280453e-10,        +9.437790759594e-01,        +2.234703883366e-13,        +5.467556214870e-04,        +1.726757006712e-11,        +4.224783900217e-02,        +1.015446770039e-12,        +2.484451000296e-03,        +1.186599355809e-12,        +2.903202844953e-03
 2.50e+01,        +4.087207877788e-10,        +4.087207868921e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.146101763414e-12,        +2.237738337979e-02,        +3.400747599629e-13,        +8.320466461930e-04,        +9.146101763414e-12,        +2.237738337979e-02,        +3.400747599629e-13,        +8.320466461930e-04,        +7.630246700229e-12,        +1.866860440766e-02,        +6.164946467312e-13,        +1.508351585000e-03,        +3.513375112829e-10,        +8.596027454151e-01,        +3.523560177225e-10,        +8.620946842509e-01,        +3.562058290036e-11,        +8.715138540895e-02,        +5.523538968467e-11,        +1.351421103504e-01,        +4.986345131932e-12,        +1.219988138854e-02,        +1.728100782013e-13,        +4.228071674928e-04
 2.60e+01,        +4.087207877788e-10,        +4.087207874698e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.817060125444e-13,        +2.157233101199e-03,        +1.027727897292e-11,        +2.514498720885e-02,        +8.817060125444e-13,        +2.157233101199e-03,        +1.027727897292e-11,        +2.514498720885e-02,        +1.172276782039e-12,        +2.868160409481e-03,        +5.846924625645e-12,        +1.430542513348e-02,        +3.784530627775e-10,        +9.259452273867e-01,        +3.628689461877e-10,        +8.878162239657e-01,        +2.798883915370e-11,        +6.847911824062e-02,        +2.685470052816e-11,        +6.570426890788e-02,        +2.249030530038e-13,        +5.502608620081e-04,        +2.872937155367e-12,        +7.029094784123e-03
 2.70e+01,        +4.087207877788e-10,        +4.087207880344e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.819147734999e-13,        +2.157743867868e-03,        +1.028792939082e-11,        +2.517104510465e-02,        +8.819147734999e-13,        +2.157743867868e-03,        +1.028792939082e-11,        +2.517104510465e-02,        +1.172660852782e-12,        +2.869100099252e-03,        +5.844100556377e-12,        +1.429851558195e-02,        +3.784073907149e-10,        +9.258334834677e-01,        +3.628132117861e-10,        +8.876798597178e-01,        +2.803409911766e-11,        +6.858985389516e-02,        +2.690999511544e-11,        +6.583955576337e-02,        +2.247223199296e-13,        +5.498186699797e-04,        +2.865551185654e-12,        +7.011023832272e-03
