        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.459059666908e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.013823186464e-12,        +8.712839547226e-03,        +3.975064147611e-12,        +1.149174784592e-02,        +3.013823186464e-12,        +8.712839547226e-03,        +3.975064147611e-12,        +1.149174784592e-02,        +1.326367851578e-12,        +3.834475201898e-03,        +2.594067924206e-12,        +7.499344255384e-03,        +3.411351905434e-10,        +9.862078812276e-01,        +3.363217202323e-10,        +9.722923355438e-01,        +4.305851390637e-13,        +1.244804023319e-03,        +3.015114386647e-12,        +8.716572354886e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059667019e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.014155224342e-12,        +8.713799455150e-03,        +3.974818132521e-12,        +1.149103662599e-02,        +3.014155224342e-12,        +8.713799455150e-03,        +3.974818132521e-12,        +1.149103662599e-02,        +1.326501917281e-12,        +3.834862780362e-03,        +2.594088211102e-12,        +7.499402903731e-03,        +3.411346864251e-10,        +9.862064238421e-01,        +3.363216268272e-10,        +9.722920654822e-01,        +4.306231538031e-13,        +1.244913922376e-03,        +3.015433531058e-12,        +8.717494988043e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059667163e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.543467925081e-13,        +4.462102633598e-04,        +6.474281799384e-12,        +1.871688384229e-02,        +1.543467925081e-13,        +4.462102633598e-04,        +6.474281799384e-12,        +1.871688384229e-02,        +1.574604957426e-13,        +4.552118520403e-04,        +2.775380289770e-12,        +8.023510886838e-03,        +3.455737501104e-10,        +9.990395753701e-01,        +3.357702084271e-10,        +9.706979374037e-01,        +2.040932183068e-14,        +5.900251453937e-05,        +8.860962000006e-13,        +2.561667867173e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059643048e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.384994437109e-11,        +4.003962262461e-02,        +3.605794103884e-13,        +1.042420332685e-03,        +1.384994437109e-11,        +4.003962262461e-02,        +3.605794103884e-13,        +1.042420332685e-03,        +6.814408370693e-12,        +1.970017584634e-02,        +4.424410485242e-13,        +1.279078981519e-03,        +3.200113317840e-10,        +9.251396696565e-01,        +3.449667750718e-10,        +9.972848423271e-01,        +5.230282194702e-12,        +1.512053187255e-02,        +1.361687741577e-13,        +3.936583586562e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059669202e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.012238231891e-16,        +2.316305297609e-06,        +2.262302894609e-16,        +6.540225121733e-07,        +8.012238231891e-16,        +2.316305297609e-06,        +2.262302894609e-16,        +6.540225121733e-07,        +1.484367238391e-15,        +4.291244965979e-06,        +6.512335705156e-16,        +1.882689611613e-06,        +3.459035752052e-10,        +9.999930862272e-01,        +3.459049192529e-10,        +9.999969712366e-01,        +1.059242081885e-16,        +3.062225528885e-07,        +1.702034709702e-16,        +4.920512718691e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059667735e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.020112043188e-16,        +2.318581584246e-06,        +2.262658198166e-16,        +6.541252292555e-07,        +8.020112043188e-16,        +2.318581584246e-06,        +2.262658198166e-16,        +6.541252292555e-07,        +1.485245931169e-15,        +4.293785230856e-06,        +6.513017089048e-16,        +1.882886597707e-06,        +3.459035734076e-10,        +9.999930810303e-01,        +3.459049189777e-10,        +9.999969708651e-01,        +1.060557792275e-16,        +3.066029193800e-07,        +1.702283203694e-16,        +4.921231106743e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059663953e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.617409424770e-14,        +1.913065995221e-04,        +1.232065575227e-13,        +3.561851181888e-04,        +6.617409424770e-14,        +1.913065995221e-04,        +1.232065575227e-13,        +3.561851181888e-04,        +6.922365925405e-14,        +2.001227672085e-04,        +1.937223295377e-13,        +5.600433307251e-04,        +3.457610678939e-10,        +9.995811034195e-01,        +3.454955701813e-10,        +9.988135613323e-01,        +9.501073128189e-15,        +2.746721375832e-05,        +9.346732686199e-14,        +2.702102187945e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059666972e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.617868947815e-14,        +1.913198841454e-04,        +1.232168069098e-13,        +3.562147484368e-04,        +6.617868947815e-14,        +1.913198841454e-04,        +1.232168069098e-13,        +3.562147484368e-04,        +6.923431390261e-14,        +2.001535693617e-04,        +1.937323212191e-13,        +5.600722157785e-04,        +3.457610450129e-10,        +9.995810372715e-01,        +3.454955492582e-10,        +9.988134999726e-01,        +9.508704247764e-15,        +2.748927501285e-05,        +9.346831082381e-14,        +2.702130631520e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059665709e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.164761357547e-17,        +1.204015471902e-07,        +3.571319901852e-15,        +1.032453975066e-05,        +4.164761357547e-17,        +1.204015471902e-07,        +3.571319901852e-15,        +1.032453975066e-05,        +1.488808288935e-16,        +4.304083861432e-07,        +7.954954854661e-15,        +2.299744908572e-05,        +3.459057605309e-10,        +9.999994039145e-01,        +3.458930911783e-10,        +9.999627777666e-01,        +1.566109392772e-17,        +4.527558190510e-08,        +1.349117860338e-15,        +3.900244548286e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059663866e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.149860627455e-17,        +1.199707731786e-07,        +3.571562924524e-15,        +1.032524232477e-05,        +4.149860627455e-17,        +1.199707731786e-07,        +3.571562924524e-15,        +1.032524232477e-05,        +1.488048716087e-16,        +4.301887967402e-07,        +7.954562132143e-15,        +2.299631375324e-05,        +3.459057608423e-10,        +9.999994048146e-01,        +3.458930915187e-10,        +9.999627792838e-01,        +1.557470070721e-17,        +4.502582263866e-08,        +1.348742763508e-15,        +3.899160160774e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059665306e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.139830079877e-16,        +3.295202134510e-07,        +2.594213460879e-17,        +7.499764999425e-08,        +1.139830079877e-16,        +3.295202134510e-07,        +2.594213460879e-17,        +7.499764999425e-08,        +7.421174401044e-17,        +2.145431161944e-07,        +2.746367727096e-17,        +7.939636759207e-08,        +3.459057637607e-10,        +9.999994132516e-01,        +3.459058938982e-10,        +9.999997900226e-01,        +1.476501115499e-17,        +4.268504326472e-08,        +1.922662512050e-17,        +5.558338676069e-08
 2.20e+01,        +3.459059667205e-10,        +3.459059667533e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009637451841e-16,        +8.700738759654e-07,        +7.327750023769e-17,        +2.118422556439e-07,        +3.009637451841e-16,        +8.700738759654e-07,        +7.327750023769e-17,        +2.118422556439e-07,        +1.502409207046e-16,        +4.343403559328e-07,        +5.848541758224e-17,        +1.690789497828e-07,        +3.459054762683e-10,        +9.999985821227e-01,        +3.459057869943e-10,        +9.999994803240e-01,        +3.924754520949e-17,        +1.134630477225e-07,        +4.799610705848e-17,        +1.387547821420e-07
 2.30e+01,        +3.459059667205e-10,        +3.459059667210e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477522131340e-12,        +2.450816969628e-02,        +2.038641517978e-12,        +5.893629234856e-03,        +8.477522131340e-12,        +2.450816969628e-02,        +2.038641517978e-12,        +5.893629234856e-03,        +3.447453940661e-12,        +9.966448319310e-03,        +1.393390938253e-12,        +4.028236203791e-03,        +3.328603575913e-10,        +9.622856776572e-01,        +3.411015096565e-10,        +9.861105111601e-01,        +1.120633057207e-12,        +3.239704327252e-03,        +1.372424608201e-12,        +3.967623401269e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059665025e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477805382305e-12,        +2.450898856323e-02,        +2.039217667612e-12,        +5.895294863603e-03,        +8.477805382305e-12,        +2.450898856323e-02,        +2.039217667612e-12,        +5.895294863603e-03,        +3.447546239724e-12,        +9.966715152126e-03,        +1.393529126429e-12,        +4.028635702701e-03,        +3.328599859235e-10,        +9.622846031808e-01,        +3.411009873731e-10,        +9.861090018826e-01,        +1.120629174955e-12,        +3.239693103821e-03,        +1.372232335441e-12,        +3.967067551091e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059663768e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.646511849494e-12,        +2.210575296515e-02,        +2.824665174491e-13,        +8.165991480512e-04,        +7.646511849494e-12,        +2.210575296515e-02,        +2.824665174491e-13,        +8.165991480512e-04,        +4.853236253020e-12,        +1.403050747876e-02,        +4.423801571057e-13,        +1.278902939257e-03,        +3.276919409531e-10,        +9.473439965777e-01,        +3.449669086044e-10,        +9.972852223910e-01,        +5.714277664918e-12,        +1.651974297840e-02,        +2.142110977882e-13,        +6.192755217030e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059659175e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.332946304823e-13,        +2.119924780236e-03,        +8.631525130640e-12,        +2.495338612546e-02,        +7.332946304823e-13,        +2.119924780236e-03,        +8.631525130640e-12,        +2.495338612546e-02,        +8.844280080872e-13,        +2.556845192560e-03,        +4.062511413521e-12,        +1.174455434079e-02,        +3.440112176422e-10,        +9.945223579221e-01,        +3.299508456725e-10,        +9.538743999322e-01,        +2.770264397350e-13,        +8.008721051025e-04,        +3.261083700808e-12,        +9.427659601529e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059663857e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.335101841784e-13,        +2.120547937154e-03,        +8.633373408215e-12,        +2.495872938655e-02,        +7.335101841784e-13,        +2.120547937154e-03,        +8.633373408215e-12,        +2.495872938655e-02,        +8.846606962349e-13,        +2.557517884477e-03,        +4.063234591417e-12,        +1.174664500261e-02,        +3.440107146453e-10,        +9.945209037787e-01,        +3.299478958112e-10,        +9.538658707126e-01,        +2.770811947740e-13,        +8.010303996806e-04,        +3.261462574877e-12,        +9.428754898203e-03
