        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m),           Re{E_x[9]} (V/m),           Im{E_x[9]} (V/m),           Re{E_y[9]} (V/m),           Im{E_y[9]} (V/m),           Re{E_z[9]} (V/m),           Im{E_z[9]} (V/m),          Re{E_x[10]} (V/m),          Im{E_x[10]} (V/m),          Re{E_y[10]} (V/m),          Im{E_y[10]} (V/m),          Re{E_z[10]} (V/m),          Im{E_z[10]} (V/m),          Re{E_x[11]} (V/m),          Im{E_x[11]} (V/m),          Re{E_y[11]} (V/m),          Im{E_y[11]} (V/m),          Re{E_z[11]} (V/m),          Im{E_z[11]} (V/m)
 1.00e+00,        -3.149826612470e-01,        -4.830779484222e-04,        +3.357136947724e+02,        +2.381031192132e-02,        +2.739985007615e-01,        +4.132070468356e-05,        -2.113750292249e+02,        -1.475546176449e-02,        +2.538778061183e+02,        +1.761902868621e-02,        -2.416644156113e+00,        -2.326372448808e-04,        -3.253288651699e+02,        -2.293429599116e-02,        +5.831990025971e+01,        +4.957251338964e-03,        -1.848395825550e+00,        -1.882978428663e-04,        -6.968287776102e-01,        -5.750560375739e-04,        +2.523091005987e+02,        +1.981411110193e-02,        +8.124836885357e-02,        +9.819853102571e-06,        -1.602898746955e+02,        -1.259897183224e-02,        +1.912219440138e+02,        +1.512113077895e-02,        -2.792677809275e-01,        -3.304338438803e-05,        -2.468760212385e+02,        -1.918973830109e-02,        +4.510931101646e+01,        +4.200025044304e-03,        -1.426934777818e-01,        -1.397281375175e-05,        -7.679368649268e-01,        -2.448177716731e-04,        +1.228065237890e+02,        +9.631813642360e-03,        -7.582949744411e-02,        -3.351414008035e-06,        -3.973231294580e-01,        -1.643335146204e-04,        +6.272647177480e+01,        +4.990133308043e-03,        -5.203414459639e-02,        +1.623418499753e-06,        -5.764468600358e+01,        -2.193058922023e-03,        +6.820345145021e+01,        -2.512516724078e-02,        -5.332933523809e+00,        +2.412720623125e-03,        -5.258501289985e+01,        +2.522065216297e-02,        +7.656932723679e+01,        -7.173818183677e-03,        +3.797887926399e+00,        +1.869183045467e-03,        -9.252484861568e-03,        +1.332883546228e-04,        +1.273495288290e-02,        -1.834556815122e-04,        +1.071715863866e-03,        -7.103198572344e-06
 2.00e+00,        -7.870873605816e+01,        -1.927679590622e-02,        +1.569081469115e+02,        +4.737735841138e-02,        +5.133310680998e+00,        -3.163574270751e-03,        +1.739020285885e+02,        +5.141522509869e-02,        +1.012307264974e+02,        +3.083232957952e-02,        +5.986441009691e+00,        -2.871386572361e-03,        +9.000035123995e+01,        +2.814534849742e-02,        -1.646231183542e+02,        -4.624177869232e-02,        +7.405472641446e+00,        -3.017174780052e-03,        -2.861789202884e+01,        -3.381815322190e-03,        +5.768109676806e+01,        +1.954843086038e-02,        -1.311845734212e+01,        +1.343728517102e-02,        +5.045351558392e+01,        +2.052371455470e-02,        +2.413343281236e+01,        +1.144593022076e-02,        -1.209891600988e+01,        +1.356180976666e-02,        +3.600907348888e+01,        +1.349538767997e-02,        -6.233013827331e+01,        -1.430728882529e-02,        -1.304006694755e+01,        +1.340175475629e-02,        -1.568459414778e+00,        +1.640524045912e-03,        +5.282080000808e+00,        +2.654216317336e-03,        -3.072857762945e+01,        +2.833506481921e-02,        +1.017163100000e+00,        +1.698713721141e-03,        +2.375864754760e+00,        +1.467723154364e-03,        -3.218242027360e+01,        +2.948852070592e-02,        +2.958218278797e+02,        +3.361442311126e-02,        -2.679995694311e+02,        +5.858398330698e-02,        +2.755648362640e+01,        -5.611449142871e-03,        -1.904966725178e+02,        +6.459347543684e-02,        +3.618321160920e+02,        +1.132792697338e-02,        +4.245564950547e+01,        +1.032891666149e-02,        -2.867181610073e-01,        -1.258132035056e-05,        +3.946336930812e-01,        +1.731670186617e-05,        -2.297229792013e-01,        -5.645116938537e-06
 3.00e+00,        -1.078572986527e+01,        -1.483163896911e-03,        -1.251438818783e+01,        +1.693278333209e-02,        +7.600973118471e+01,        +1.104286263886e-02,        -2.578227428737e+01,        +2.308962982648e-02,        -2.220079859953e+01,        +1.434318061411e-02,        +7.459965770829e+01,        +1.126014196261e-02,        -8.858122000107e+00,        +9.561224397114e-03,        -7.860038744626e-01,        -1.199024177658e-02,        +7.792377642249e+01,        +1.110212594282e-02,        -3.738134685180e+01,        +7.785717606427e-03,        -3.777197861835e+00,        +5.721146388038e-03,        -1.870059275405e+02,        +5.681873426407e-02,        -3.530482670910e+01,        +1.341904973998e-02,        -2.707502834933e+01,        +8.908638920386e-03,        -1.848111892854e+02,        +5.614642485534e-02,        -9.524195339505e+00,        +5.090281908553e-03,        -3.660378784354e+01,        +4.627575246432e-03,        -1.858664390101e+02,        +5.636758817901e-02,        -1.479396752196e+01,        +3.456156860263e-03,        -6.188916829189e-01,        +4.721653367785e-04,        -4.273362487081e+02,        +9.558922507279e-02,        -7.700160738640e+00,        +1.939698530331e-03,        -4.590393557200e-01,        +1.943216348378e-04,        -4.466811545081e+02,        +9.822694778338e-02,        -6.926600960100e+00,        +3.110500994111e-02,        +4.850814418477e+00,        -3.071897378215e-02,        +1.902553559076e+01,        -1.580003853641e-03,        +4.233778976762e+00,        -2.257485896649e-02,        -7.084435208061e+00,        +3.741878644897e-02,        +2.204090988272e+01,        -4.535108263827e-04,        +2.755059049310e-02,        -3.413171349220e-05,        -3.792013465301e-02,        +4.697827336537e-05,        +1.729061643640e-02,        -2.625896417149e-05
 4.00e+00,        -1.996598684474e+02,        -1.831513089920e-02,        -4.088454836883e+01,        -2.536587877695e-03,        -8.082068782568e-01,        +2.273623617017e-04,        -7.544445246865e+01,        -5.501871117792e-03,        +1.559488233163e+02,        +1.274210842676e-02,        -1.187892506184e+00,        +1.805685277267e-04,        +1.296982143876e+02,        +1.043583377508e-02,        +1.391647670116e+02,        +1.338148130817e-02,        +8.075403951068e-01,        +3.900622889211e-04,        -6.853083159926e+01,        -8.355020050079e-03,        -1.288107389236e+01,        +3.878114776075e-05,        -4.622114547656e-01,        -6.209746398248e-04,        -3.392220255340e+01,        -4.261414930277e-03,        +6.283482071512e+01,        +7.403285242402e-03,        -1.513904237866e-01,        -5.936093227035e-04,        +4.273023328521e+01,        +3.481276290902e-03,        +4.889389022548e+01,        +6.372760166139e-03,        +1.285885284647e-01,        -5.234152924655e-04,        -7.000883381697e+00,        -1.629419248226e-03,        +3.295694739476e+00,        +1.370592690075e-03,        -4.924025960755e-01,        -1.430573812065e-03,        -3.256995660186e+00,        -1.067094389131e-03,        +3.168979709102e+00,        +1.236137335481e-03,        -4.435480015649e-01,        -1.480909248190e-03,        -8.555956863434e+00,        -1.957531591219e-03,        +7.056202428129e+01,        -5.098760420734e-02,        -3.313394447991e+00,        +4.945767929557e-03,        -6.232216612269e+01,        +4.829991241611e-02,        +2.753560490011e+01,        -1.444437479497e-02,        -9.277112675300e+00,        +3.047373396201e-03,        -2.466915264370e-02,        +3.386508273074e-04,        +3.395417569213e-02,        -4.661128760585e-04,        +2.454191335975e-03,        -1.955028173634e-05
 5.00e+00,        +6.476118455581e-01,        -2.004189234821e-04,        -7.986913294657e+00,        +6.073724285466e-03,        +1.502606364122e+00,        -6.759293609829e-03,        +3.578338877314e+00,        -1.124303172009e-03,        -5.772065152651e+00,        +1.842252522998e-03,        -1.237385177443e-01,        +1.236379148953e-02,        +3.260980836062e+00,        +1.292520417214e-03,        -1.866858296041e+00,        +1.875041303108e-03,        -5.500086322081e+00,        +2.813526896136e-02,        +7.824047974209e-01,        +1.804679844012e-04,        -6.486239966751e+00,        +5.183263629134e-03,        -6.002420298755e+00,        -1.136312715702e-02,        +3.121327830293e+00,        -8.096431642243e-04,        -5.409594911071e+00,        +3.203924246032e-03,        +9.907795724669e+00,        -5.360673746715e-03,        +3.792207526353e+00,        +1.482860019684e-04,        -2.778588238700e+00,        +2.069703427043e-03,        +2.270515280221e+01,        +1.919405377520e-03,        +1.251608241553e+00,        +1.209165437754e-03,        -7.344830672853e+00,        +5.551308699291e-03,        -1.572226900287e+01,        -1.604674022452e-02,        +1.677215110117e+00,        +1.324070742107e-03,        -6.702692497200e+00,        +5.017196819695e-03,        -7.471755648525e+00,        -8.297645820138e-03,        +1.133013959583e+00,        +4.902075598815e-05,        -1.647320112827e+00,        +8.764451418179e-04,        -5.044727119076e-01,        +3.302926370240e-03,        +1.465154999906e+00,        -1.305374433460e-03,        -2.238267277182e+00,        +1.702697787933e-03,        +2.163548747321e-01,        +1.243438240874e-03,        +7.614621576006e-04,        -8.721799341437e-06,        -1.048062746844e-03,        +1.200452692753e-05,        -1.167240935647e-04,        +1.435234721259e-06
 6.00e+00,        +5.873080490802e-01,        -3.877319093698e-04,        +3.996592122597e+00,        +4.248900563391e-03,        +2.621366110881e+00,        -2.501538786077e-02,        +1.380469295982e+00,        -1.386195295487e-03,        -4.494185891096e+00,        +4.960477731883e-04,        +2.006859322661e+00,        -2.478285415131e-02,        +8.154448763640e+00,        +1.534931244053e-03,        +9.540364567731e-01,        +7.647069843912e-04,        +3.115642442549e+00,        -8.753913198085e-03,        +1.692795222287e+00,        -1.893995320102e-04,        +3.007598970388e+00,        +3.448322248493e-03,        -2.463793164341e+01,        -2.682285496748e-02,        +2.290769145173e+00,        -7.935841552246e-04,        -1.097932260666e+00,        +1.447079033779e-03,        -2.241145586024e+01,        -3.138362985788e-02,        +6.234855068075e+00,        +4.083205741277e-04,        -1.104451500875e+00,        +4.234013593005e-04,        -9.904045501269e+00,        -2.184049743746e-02,        +5.149828511617e+00,        +9.271834417995e-04,        +2.351038082970e+00,        +3.522120500850e-03,        -6.011681342046e+01,        -2.421136545198e-02,        +6.156507312638e+00,        +1.101024517199e-03,        +1.858285702394e+00,        +3.106133851426e-03,        -3.056480199547e+01,        -1.292241484920e-02,        +1.514005935822e+00,        -1.314028235049e-04,        -8.876396147283e-01,        +1.219091553077e-03,        +1.800857021855e-01,        -6.238950795707e-03,        +8.523939146542e-01,        -4.006650455658e-04,        -1.620625864681e+00,        -2.711935166415e-03,        -9.154250718055e-01,        -5.883084249351e-03,        +5.756884943721e-04,        -6.832734929068e-06,        -7.923672354771e-04,        +9.404452823742e-06,        +4.405894760759e-04,        -1.782559969201e-06
 7.00e+00,        -3.394328704737e+01,        -5.756147915183e-03,        +4.171931043711e+00,        +4.188296583965e-03,        +1.363197762885e+02,        +7.557169973105e-02,        -2.263907257865e+01,        -2.214108244072e-03,        -2.726584590130e+01,        -5.918618695278e-03,        +1.400573654912e+02,        +7.787529410955e-02,        -6.844917778411e+00,        -1.504545937299e-03,        -3.106280691703e+01,        -5.310874888267e-03,        +1.401531551212e+02,        +7.698315080600e-02,        -6.246896965845e+01,        -1.526732888179e-02,        -8.208365596752e-02,        +4.267551959939e-04,        +1.244503409708e+02,        +1.129184726612e-01,        -4.983393429096e+01,        -1.226615204165e-02,        -3.977329539400e+01,        -9.438462430373e-03,        +1.228337213719e+02,        +1.112197366606e-01,        -1.043897489920e+01,        -2.754096544514e-03,        -6.197870354579e+01,        -1.408355788461e-02,        +1.237698468294e+02,        +1.116576050286e-01,        -2.107096951721e+01,        -5.375899268327e-03,        -2.725378149943e-01,        -6.126925575708e-05,        +9.191953841145e+01,        +1.330153532493e-01,        -1.123822969649e+01,        -3.108231831772e-03,        -4.243286936632e-01,        -1.896539393692e-04,        +8.811437220631e+01,        +1.339109632231e-01,        +2.251622898120e+01,        +8.097434938123e-03,        -2.090821430872e+01,        -2.788018410545e-04,        +1.315991075962e+01,        -2.206190872202e-03,        -1.446568256747e+01,        +1.421897541150e-03,        +2.753887576223e+01,        +3.759135351630e-03,        +1.403049452188e+01,        +5.686295991422e-04,        -1.027761732087e-02,        -3.827814370477e-06,        +1.414592666597e-02,        +5.268534494444e-06,        -1.049404209465e-02,        -3.236394510743e-06
 8.00e+00,        -1.101935674867e+02,        +5.653342039914e-03,        -6.092635636260e+00,        +1.142341919630e-03,        -5.756338420495e+01,        +1.992875913274e-02,        -7.760763767665e+01,        +6.288436430165e-03,        -7.631902129351e+01,        +3.883538170511e-03,        -5.695858181722e+01,        +2.039222907247e-02,        -1.989347143008e+01,        +1.191126204480e-03,        -1.041223750912e+02,        +6.163145027901e-03,        -5.766824909611e+01,        +2.059433568806e-02,        -1.855044262646e+02,        -4.118604655745e-03,        -4.671287194514e+00,        -1.245610983611e-04,        +6.841342479177e+00,        +3.183744325551e-03,        -1.463617978908e+02,        -3.379481220730e-03,        -1.200367758308e+02,        -2.396118390226e-03,        +7.317399555559e+00,        +3.185378227967e-03,        -2.870837557266e+01,        -9.013599339477e-04,        -1.912245125350e+02,        -3.871927358556e-03,        +9.570156672345e+00,        +3.356467953277e-03,        -6.315920544354e+01,        -3.367040940208e-03,        -1.054541849297e+00,        -2.908554056570e-04,        +6.428451480833e+01,        -1.471215037932e-02,        -3.246599908409e+01,        -1.949012134180e-03,        -8.015308613336e-01,        -2.959136843314e-04,        +6.804749778351e+01,        -1.619377484016e-02,        +6.769623757851e+01,        +8.983609500773e-03,        -6.231162615743e+01,        +1.320868735225e-02,        -2.619104087591e+00,        +4.597253371067e-03,        -4.467941871900e+01,        +1.539827545353e-02,        +8.328827713317e+01,        +5.408727009668e-03,        -2.395449625507e+00,        +7.995691342625e-03,        -7.820841577922e-02,        +3.660933188055e-07,        +1.076446495072e-01,        -5.038842252093e-07,        -5.989175623696e-02,        +4.124555357468e-07
