        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059665980e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.008386157163e-12,        +8.697121317928e-03,        +3.979510744058e-12,        +1.150460277745e-02
 2.00e+00,        +3.459059667205e-10,        +3.459059667215e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009399916499e-12,        +8.700052054698e-03,        +3.979042856633e-12,        +1.150325012993e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667461e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645901009285e-13,        +4.758232489858e-04,        +6.465252292079e-12,        +1.869077990443e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667326e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385070634038e-11,        +4.004182544665e-02,        +3.605981873285e-13,        +1.042474608734e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059669089e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017308169295e-16,        +2.317770995773e-06,        +2.262535430772e-16,        +6.540897374481e-07
 6.00e+00,        +3.459059667205e-10,        +3.459059666421e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017087467424e-16,        +2.317707191765e-06,        +2.263322315497e-16,        +6.543172231078e-07
