        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.568936291196e-10,        +3.568936291361e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.362793921808e-12,        +2.343217485400e-02,        +5.832197370138e-14,        +1.634155640227e-04
 2.00e+00,        +3.568936291196e-10,        +3.568936290430e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.730082807073e-12,        +1.605543596059e-02,        +2.291434225423e-12,        +6.420496301847e-03
 3.00e+00,        +3.568936291196e-10,        +3.568936290269e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.731800049473e-12,        +1.606024759706e-02,        +2.292065042808e-12,        +6.422263824259e-03
 4.00e+00,        +3.568936291196e-10,        +3.568936291262e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.536817760908e-12,        +9.910005313440e-03,        +4.622185069202e-14,        +1.295115600836e-04
 5.00e+00,        +3.568936291196e-10,        +3.568936291884e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.124397995205e-13,        +3.150512935685e-04,        +2.686075367211e-14,        +7.526263142661e-05
 6.00e+00,        +3.568936291196e-10,        +3.568936291275e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.126669324155e-13,        +3.156877097903e-04,        +2.689964835823e-14,        +7.537161261185e-05
 7.00e+00,        +3.568936291196e-10,        +3.568936290493e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.426773038738e-13,        +6.799709607381e-04,        +6.802343951762e-12,        +1.905986377477e-02
 8.00e+00,        +3.568936291196e-10,        +3.568936289981e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.427866554595e-13,        +6.802773589946e-04,        +6.804114676023e-12,        +1.906482526775e-02
 9.00e+00,        +3.568936291196e-10,        +3.568936290397e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.278175739229e-12,        +6.383346614645e-03,        +5.407667703646e-12,        +1.515204325221e-02
 1.00e+01,        +3.568936291196e-10,        +3.568936290732e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.281996602754e-12,        +6.394052503496e-03,        +5.403071756239e-12,        +1.513916561153e-02
 1.10e+01,        +3.568936291196e-10,        +3.568936291835e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.971141230072e-13,        +8.325004952880e-04,        +1.223687029028e-11,        +3.428716370833e-02
 1.20e+01,        +3.568936291196e-10,        +3.568936291116e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.209030192895e-15,        +6.189603883778e-06,        +3.508948570480e-16,        +9.831917087493e-07
 1.30e+01,        +3.568936291196e-10,        +3.568936291580e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.197751484520e-15,        +6.158001446932e-06,        +3.552694605741e-16,        +9.954491522087e-07
 1.40e+01,        +3.568936291196e-10,        +3.568936291167e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.274410618056e-12,        +1.197670753776e-02,        +4.522505226137e-12,        +1.267185754290e-02
 1.50e+01,        +3.568936291196e-10,        +3.568936291559e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.279179833661e-12,        +1.199007066676e-02,        +4.527641715377e-12,        +1.268624975482e-02
 1.60e+01,        +3.568936291196e-10,        +3.568936291023e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.359289226897e-14,        +3.808667670112e-05,        +3.000115776411e-13,        +8.406190337320e-04
 1.70e+01,        +3.568936291196e-10,        +3.568936291296e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.507889617428e-14,        +7.026994635948e-05,        +2.988043401990e-13,        +8.372364083040e-04
 1.80e+01,        +3.568936291196e-10,        +3.568936292367e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.035804421518e-12,        +5.704233013460e-03,        +6.746369235615e-14,        +1.890302511155e-04
 1.90e+01,        +3.568936291196e-10,        +3.568936291451e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.872457436672e-14,        +2.486022924690e-04,        +7.159281896677e-14,        +2.005998794046e-04
 2.00e+01,        +3.568936291196e-10,        +3.568936289282e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477502012650e-14,        +2.375358179848e-04,        +7.149706598377e-14,        +2.003315839470e-04
 2.10e+01,        +3.568936291196e-10,        +3.568936280409e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.833819957680e-11,        +5.138281572030e-02,        +6.880925742815e-13,        +1.928004649617e-03
 2.20e+01,        +3.568936291196e-10,        +3.568936290764e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.410263399414e-14,        +1.796127158455e-04,        +2.392297390754e-13,        +6.703110383182e-04
 2.30e+01,        +3.568936291196e-10,        +3.568936290814e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.403377008160e-14,        +1.794197622400e-04,        +2.384500331539e-13,        +6.681263371600e-04
