        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +4.498342077179e-03,        +6.589059814082e-03
 2.00e+00,        +4.293507702343e-03,        -1.075607167466e-03
 3.00e+00,        -2.623031564332e-05,        -7.033131757871e-04
 4.00e+00,        +1.313229087057e-03,        -6.270388471831e-04
 5.00e+00,        -2.643279444077e-06,        -3.893671666082e-05
 6.00e+00,        +3.240260277358e-03,        -6.472411509069e-03
 7.00e+00,        +5.727676829830e-05,        +2.429693170159e-04
 8.00e+00,        -1.116780438727e-07,        -2.233011784312e-06
