        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +1.411410470980e-03,        +4.763477683596e-04
 2.00e+00,        +1.002745617602e-05,        +2.379277361480e-06
 3.00e+00,        -9.976981978260e-07,        +3.513165455141e-07
 4.00e+00,        -5.982116474133e-04,        +3.625228066005e-03
 5.00e+00,        -3.336723679518e-05,        -8.648651034176e-06
 6.00e+00,        -3.012338057228e-05,        -7.702884691242e-06
 7.00e+00,        +3.110605991639e-06,        +8.591032817255e-07
 8.00e+00,        +1.623727012899e-06,        +4.146339695562e-07
