        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +3.826827568243e-02,        +3.941848539011e-01
 2.00e+00,        +1.870934053901e-02,        -2.219037632481e-01
 3.00e+00,        -1.510708107637e-02,        -5.797509089364e-02
 4.00e+00,        -2.333973218766e-02,        +4.932688016190e-02
 5.00e+00,        +5.060186874201e-04,        +7.426700075117e-03
 6.00e+00,        +2.563799644628e-01,        +2.391636363601e-01
 7.00e+00,        -2.033387187841e-03,        -1.321871714937e-02
 8.00e+00,        +2.543305626213e-02,        -3.071547078190e-01
