        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40025000e+00,        -9.543109754841e-01,        +8.767821963938e-01,        -5.346836219970e-01,        +4.629318380817e-01,        -2.334603683940e-03,        +1.185477307546e-03,        -1.130938575948e+00,        +9.646694592807e-01,        -2.435391571302e+00,        +2.236964378012e+00,        -6.964565871472e-03,        +4.897185171764e-03,        -1.340581230177e+00,        +1.153231456556e+00,        -5.948493075262e+00,        +5.413031829362e+00,        -1.671983115265e-02,        +1.282872523368e-02,        -1.064841343648e-01,        +8.993086006271e-02,        -1.781135563469e+01,        +1.601012203468e+01,        -4.211127595069e-02,        +3.713659679488e-02
 2.40027500e+00,        -9.545462026839e-01,        +8.770175464482e-01,        -5.355453158348e-01,        +4.637156842014e-01,        -2.337093102699e-03,        +1.187547236465e-03,        -1.131173149837e+00,        +9.648925984152e-01,        -2.437621695147e+00,        +2.239036602859e+00,        -6.968455343373e-03,        +4.900513639159e-03,        -1.340782402894e+00,        +1.153430298605e+00,        -5.953225280961e+00,        +5.417429480531e+00,        -1.672668925664e-02,        +1.283474628350e-02,        -1.056240611036e-01,        +8.916545442867e-02,        -1.782500136819e+01,        +1.602274766939e+01,        -4.216449202440e-02,        +3.718507562027e-02
 2.40030000e+00,        -9.547811916925e-01,        +8.772526946524e-01,        -5.364088869214e-01,        +4.645012708814e-01,        -2.339580822909e-03,        +1.189616156592e-03,        -1.131407486307e+00,        +9.651155448490e-01,        -2.439855486005e+00,        +2.241112247899e+00,        -6.972342275138e-03,        +4.903840456167e-03,        -1.340983350724e+00,        +1.153628957883e+00,        -5.957964402731e+00,        +5.421833601201e+00,        -1.673354395862e-02,        +1.284076510811e-02,        -1.047638308697e-01,        +8.839988084712e-02,        -1.783866536639e+01,        +1.603539041108e+01,        -4.221776305332e-02,        +3.723360648486e-02
 2.40032500e+00,        -9.550159429344e-01,        +8.774876413699e-01,        -5.372743376762e-01,        +4.652886004826e-01,        -2.342066855808e-03,        +1.191684076919e-03,        -1.131641585796e+00,        +9.653382989506e-01,        -2.442092949749e+00,        +2.243191318787e+00,        -6.976226680219e-03,        +4.907165633642e-03,        -1.341184074085e+00,        +1.153827434741e+00,        -5.962710452742e+00,        +5.426244203003e+00,        -1.674039527703e-02,        +1.284678172269e-02,        -1.039034436668e-01,        +8.763413929458e-02,        -1.785234766402e+01,        +1.604805029265e+01,        -4.227108916251e-02,        +3.728218950610e-02
 2.40035000e+00,        -9.552504568338e-01,        +8.777223869635e-01,        -5.381416705276e-01,        +4.660776753754e-01,        -2.344551212634e-03,        +1.193751006431e-03,        -1.131875448742e+00,        +9.655608610875e-01,        -2.444334092267e+00,        +2.245273821195e+00,        -6.980108572062e-03,        +4.910489182427e-03,        -1.341384573392e+00,        +1.154025729532e+00,        -5.967463443199e+00,        +5.430661297599e+00,        -1.674724323029e-02,        +1.285279614239e-02,        -1.030428994983e-01,        +8.686822974750e-02,        -1.786604829588e+01,        +1.606072734710e+01,        -4.232447047731e-02,        +3.733082480172e-02
 2.40037500e+00,        -9.554847338132e-01,        +8.779569317952e-01,        -5.390108879136e-01,        +4.668684979377e-01,        -2.347033904602e-03,        +1.195816954107e-03,        -1.132109075583e+00,        +9.657832316264e-01,        -2.446578919466e+00,        +2.247359760813e+00,        -6.983987964090e-03,        +4.913811113360e-03,        -1.341584849063e+00,        +1.154223842605e+00,        -5.972223386344e+00,        +5.435084896685e+00,        -1.675408783680e-02,        +1.285880838238e-02,        -1.021821983677e-01,        +8.610215218216e-02,        -1.787976729687e+01,        +1.607342160751e+01,        -4.237790712335e-02,        +3.737951248971e-02
 2.40040000e+00,        -9.557187742946e-01,        +8.781912762260e-01,        -5.398819922811e-01,        +4.676610705572e-01,        -2.349514942922e-03,        +1.197881928922e-03,        -1.132342466754e+00,        +9.660054109331e-01,        -2.448827437271e+00,        +2.249449143347e+00,        -6.987864869714e-03,        +4.917131437264e-03,        -1.341784901513e+00,        +1.154421774312e+00,        -5.976990294452e+00,        +5.439515011990e+00,        -1.676092911494e-02,        +1.286481845779e-02,        -1.013213402782e-01,        +8.533590657483e-02,        -1.789350470200e+01,        +1.608613310706e+01,        -4.243139922653e-02,        +3.742825268836e-02
 2.40042500e+00,        -9.559525786985e-01,        +8.784254206162e-01,        -5.407549860866e-01,        +4.684553956298e-01,        -2.351994338795e-03,        +1.199945939843e-03,        -1.132575622690e+00,        +9.662273993726e-01,        -2.451079651627e+00,        +2.251541974523e+00,        -6.991739302331e-03,        +4.920450164959e-03,        -1.341984731154e+00,        +1.154619525001e+00,        -5.981764179833e+00,        +5.443951655277e+00,        -1.676776708308e-02,        +1.287082638375e-02,        -1.004603252332e-01,        +8.456949290162e-02,        -1.790726054634e+01,        +1.609886187899e+01,        -4.248494691304e-02,        +3.747704551620e-02
 2.40045000e+00,        -9.561861474448e-01,        +8.786593653251e-01,        -5.416298717958e-01,        +4.692514755601e-01,        -2.354472103406e-03,        +1.202008995835e-03,        -1.132808543825e+00,        +9.664491973093e-01,        -2.453335568496e+00,        +2.253638260081e+00,        -6.995611275322e-03,        +4.923767307255e-03,        -1.342184338401e+00,        +1.154817095020e+00,        -5.986545054831e+00,        +5.448394838341e+00,        -1.677460175957e-02,        +1.287683217540e-02,        -9.959915323555e-02,        +8.380291113861e-02,        -1.792103486509e+01,        +1.611160795665e+01,        -4.253855030938e-02,        +3.752589109207e-02
 2.40047500e+00,        -9.564194809518e-01,        +8.788931107113e-01,        -5.425066518839e-01,        +4.700493127616e-01,        -2.356948247926e-03,        +1.204071105859e-03,        -1.133041230590e+00,        +9.666708051065e-01,        -2.455595193858e+00,        +2.255738005782e+00,        -6.999480802047e-03,        +4.927082874959e-03,        -1.342383723666e+00,        +1.155014484718e+00,        -5.991332931827e+00,        +5.452844573011e+00,        -1.678143316272e-02,        +1.288283584784e-02,        -9.873782428832e-02,        +8.303616126177e-02,        -1.793482769351e+01,        +1.612437137349e+01,        -4.259220954229e-02,        +3.757478953506e-02
