        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.286318921852e+00,        +3.844841988303e-05,        +1.672785157804e+04,        +6.622850540278e-14,        +4.482252414950e-09
 2.00e+00,        +1.627798895122e+00,        +3.992253622097e-05,        +2.038696748375e+04,        +8.256180977284e-14,        +5.587903469374e-09
 3.00e+00,        +1.628195052296e+00,        +3.975435072982e-05,        +2.047819952899e+04,        +8.863428658319e-14,        +5.998897867789e-09
 4.00e+00,        +1.792272853774e+00,        +7.323043116633e-05,        +1.223721359225e+04,        +1.265106411302e-13,        +8.562628690461e-09
 5.00e+00,        +2.037121889772e+00,        +5.477536530880e-05,        +1.859523783204e+04,        +9.365202699332e-14,        +6.338908918677e-09
 6.00e+00,        +2.049030068365e+00,        +5.602926138466e-05,        +1.828535678048e+04,        +8.713471867137e-14,        +5.897792105427e-09
 7.00e+00,        +2.089818568845e+00,        +5.125844154747e-05,        +2.038511615241e+04,        +7.304427966135e-14,        +4.944103426603e-09
 8.00e+00,        +2.090461712313e+00,        +5.058615069718e-05,        +2.066239162413e+04,        +9.649445141917e-14,        +6.531361586882e-09
 9.00e+00,        +2.362270771823e+00,        +1.822927977137e-04,        +6.479331077489e+03,        +9.788177783958e-14,        +6.625604872530e-09
 1.00e+01,        +2.364326781621e+00,        +9.173729159797e-05,        +1.288639953402e+04,        +1.438913326719e-13,        +9.739989698967e-09
 1.10e+01,        +2.440003498160e+00,        +9.864539234575e-05,        +1.236754926982e+04,        +4.506656069848e-14,        +3.050597966043e-09
 1.20e+01,        +2.494440200395e+00,        +3.487463834794e-04,        +3.576295472784e+03,        +6.171655416168e-14,        +4.177699317006e-09
