        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m)
 2.41780000e+00,        +2.545241617100e+00,        -7.112656302336e-02,        -4.625004048822e-01,        +6.134237371499e-02,        -2.804636823648e-02,        +1.046191169073e-03,        +2.880858794210e+00,        -8.781832174648e-02,        +7.312223567758e+00,        -8.381745547977e-03,        -1.641554472683e-02,        -4.268089568809e-03,        +3.118526337137e+00,        +2.438528633878e-01,        +1.276670262722e+01,        -2.034654454974e-01,        -1.207807978460e-02,        +3.934771449803e-03,        +3.373492097159e+00,        +1.979700107156e-01,        +1.934613402004e+01,        -3.212934644875e-01,        -4.981295005635e-03,        +4.493584972066e-03,        +3.686567288934e+00,        +1.931873633315e-01,        +2.848454286648e+01,        -4.168544257771e-01,        +7.324717152776e-03,        +6.487446890258e-03,        +3.886506196902e+00,        +1.957506745830e-01,        +3.493092098334e+01,        -4.564911792723e-01,        +1.335321240047e-02,        +8.037622214276e-03,        +4.022428341018e+00,        +2.025437750140e-01,        +4.120287357300e+01,        -4.781587795115e-01,        +2.681492803855e-02,        +9.327608032643e-03,        -4.491997684586e+00,        -3.106118467451e-02,        +1.131425898304e+02,        -4.025890728847e-01,        -5.275174560579e-02,        +4.254772497697e-03
 2.41782500e+00,        +2.545787338714e+00,        -7.117884212942e-02,        -4.602820410732e-01,        +6.131892993092e-02,        -2.805072392298e-02,        +1.046917107431e-03,        +2.881333109684e+00,        -8.787209534394e-02,        +7.323503814951e+00,        -8.680063390472e-03,        -1.641427816840e-02,        -4.268556796764e-03,        +3.118992646648e+00,        +2.438494196767e-01,        +1.278429476380e+01,        -2.039865492192e-01,        -1.207725928211e-02,        +3.935745858044e-03,        +3.373909816564e+00,        +1.979524464927e-01,        +1.937136198569e+01,        -3.220488688303e-01,        -4.980063205477e-03,        +4.494587733595e-03,        +3.686908977909e+00,        +1.931612394059e-01,        +2.852036080045e+01,        -4.179016639739e-01,        +7.328797002342e-03,        +6.488475765799e-03,        +3.886791200912e+00,        +1.957192627495e-01,        +3.497420797917e+01,        -4.577212098986e-01,        +1.335898931172e-02,        +8.038922565229e-03,        +4.022611253015e+00,        +2.025099233040e-01,        +4.125344391244e+01,        -4.795461039225e-01,        +2.682666690370e-02,        +9.328922636860e-03,        -4.495203199501e+00,        -3.104631757343e-02,        +1.132832856187e+02,        -4.057545122005e-01,        -5.297102385125e-02,        +4.259549250909e-03
 2.41785000e+00,        +2.546332041984e+00,        -7.123113571677e-02,        -4.580552450062e-01,        +6.129517575038e-02,        -2.805508749019e-02,        +1.047643223173e-03,        +2.881806321371e+00,        -8.792588180015e-02,        +7.334813017104e+00,        -8.979656404360e-03,        -1.641301323865e-02,        -4.269022205591e-03,        +3.119457892590e+00,        +2.438458382943e-01,        +1.280193015919e+01,        -2.045095319177e-01,        -1.207644728163e-02,        +3.936719013969e-03,        +3.374326450594e+00,        +1.979347620396e-01,        +1.939665050991e+01,        -3.228069123681e-01,        -4.978845075080e-03,        +4.495589218879e-03,        +3.687249555301e+00,        +1.931349989465e-01,        +2.855626329039e+01,        -4.189525699650e-01,        +7.332862092766e-03,        +6.489502162714e-03,        +3.887075083287e+00,        +1.956877340069e-01,        +3.501759645719e+01,        -4.589555920484e-01,        +1.336474979110e-02,        +8.040220174198e-03,        +4.022792941545e+00,        +2.024759591406e-01,        +4.130413224495e+01,        -4.809384004681e-01,        +2.683839657740e-02,        +9.330233783842e-03,        -4.498407386489e+00,        -3.103134436069e-02,        +1.134243032510e+02,        -4.089325286399e-01,        -5.319083739903e-02,        +4.264343915252e-03
 2.41787500e+00,        +2.546875726295e+00,        -7.128344382269e-02,        -4.558199922395e-01,        +6.127110969942e-02,        -2.805945891312e-02,        +1.048369517923e-03,        +2.882278428347e+00,        -8.797968114465e-02,        +7.346151268526e+00,        -9.280530512935e-03,        -1.641174988379e-02,        -4.269485794501e-03,        +3.119922074103e+00,        +2.438421191095e-01,        +1.281960895641e+01,        -2.050344025658e-01,        -1.207564374807e-02,        +3.937690917045e-03,        +3.374741998298e+00,        +1.979169572269e-01,        +1.942199979463e+01,        -3.235676077207e-01,        -4.977640590823e-03,        +4.496589427909e-03,        +3.687589020022e+00,        +1.931086418172e-01,        +2.859225061992e+01,        -4.200071612763e-01,        +7.336912450042e-03,        +6.490526078822e-03,        +3.887357842858e+00,        +1.956560882099e-01,        +3.506108675866e+01,        -4.601943465516e-01,        +1.337049386420e-02,        +8.041515039495e-03,        +4.022973405048e+00,        +2.024418823951e-01,        +4.135493896802e+01,        -4.823356930422e-01,        +2.685011711553e-02,        +9.331541470050e-03,        -4.501610239120e+00,        -3.101626488715e-02,        +1.135656438208e+02,        -4.121231833883e-01,        -5.341118808448e-02,        +4.269156586309e-03
 2.41790000e+00,        +2.547418391032e+00,        -7.133576649202e-02,        -4.535762582220e-01,        +6.124673030676e-02,        -2.806383816524e-02,        +1.049095993264e-03,        +2.882749429688e+00,        -8.803349341447e-02,        +7.357518663952e+00,        -9.582691662304e-03,        -1.641048804823e-02,        -4.269947562658e-03,        +3.120385190322e+00,        +2.438382619767e-01,        +1.283733129915e+01,        -2.055611701726e-01,        -1.207484864483e-02,        +3.938661566590e-03,        +3.375156458714e+00,        +1.978990319122e-01,        +1.944741004270e+01,        -3.243309675639e-01,        -4.976449727648e-03,        +4.497588360507e-03,        +3.687927370972e+00,        +1.930821678696e-01,        +2.862832307399e+01,        -4.210654555173e-01,        +7.340948101564e-03,        +6.491547511697e-03,        +3.887639478453e+00,        +1.956243252009e-01,        +3.510467922643e+01,        -4.614374943408e-01,        +1.337622155800e-02,        +8.042807159143e-03,        +4.023152641953e+00,        +2.024076929265e-01,        +4.140586448094e+01,        -4.837380056591e-01,        +2.686182857540e-02,        +9.332845691603e-03,        -4.504811750903e+00,        -3.100107900727e-02,        +1.137073084267e+02,        -4.153265379830e-01,        -5.363207775180e-02,        +4.273987360168e-03
 2.41792500e+00,        +2.547960035568e+00,        -7.138810376638e-02,        -4.513240182811e-01,        +6.122203608772e-02,        -2.806822522088e-02,        +1.049822651208e-03,        +2.883219324457e+00,        -8.808731864338e-02,        +7.368915298561e+00,        -9.886145836742e-03,        -1.640922767710e-02,        -4.270407508926e-03,        +3.120847240368e+00,        +2.438342667603e-01,        +1.285509733175e+01,        -2.060898438068e-01,        -1.207406193614e-02,        +3.939630962417e-03,        +3.375569830871e+00,        +1.978809859619e-01,        +1.947288145792e+01,        -3.250970046552e-01,        -4.975272461380e-03,        +4.498586017004e-03,        +3.688264607044e+00,        +1.930555769632e-01,        +2.866448093884e+01,        -4.221274704074e-01,        +7.344969073825e-03,        +6.492566459458e-03,        +3.887919988883e+00,        +1.955924448301e-01,        +3.514837420489e+01,        -4.626850564776e-01,        +1.338193289851e-02,        +8.044096531749e-03,        +4.023330650675e+00,        +2.023733906017e-01,        +4.145690918486e+01,        -4.851453624800e-01,        +2.687353101357e-02,        +9.334146445221e-03,        -4.508011915341e+00,        -3.098578657243e-02,        +1.138492981723e+02,        -4.185426543155e-01,        -5.385350825334e-02,        +4.278836333466e-03
 2.41795000e+00,        +2.548500659266e+00,        -7.144045568092e-02,        -4.490632476177e-01,        +6.119702553852e-02,        -2.807262005484e-02,        +1.050549493723e-03,        +2.883688111705e+00,        -8.814115685849e-02,        +7.380341267974e+00,        -1.019089906813e-02,        -1.640796871614e-02,        -4.270865632001e-03,        +3.121308223363e+00,        +2.438301333200e-01,        +1.287290719922e+01,        -2.066204325980e-01,        -1.207328358659e-02,        +3.940599104225e-03,        +3.375982113795e+00,        +1.978628192394e-01,        +1.949841424500e+01,        -3.258657318339e-01,        -4.974108768261e-03,        +4.499582397628e-03,        +3.688600727122e+00,        +1.930288689554e-01,        +2.870072450201e+01,        -4.231932237789e-01,        +7.348975392998e-03,        +6.493582920069e-03,        +3.888199372956e+00,        +1.955604469458e-01,        +3.519217204001e+01,        -4.639370541576e-01,        +1.338762791155e-02,        +8.045383155730e-03,        +4.023507429622e+00,        +2.023389752859e-01,        +4.150807348271e+01,        -4.865577878203e-01,        +2.688522448648e-02,        +9.335443727404e-03,        -4.511210725896e+00,        -3.097038743366e-02,        +1.139916141662e+02,        -4.217715946881e-01,        -5.407548144960e-02,        +4.283703603380e-03
 2.41797500e+00,        +2.549040261483e+00,        -7.149282228464e-02,        -4.467939213150e-01,        +6.117169716843e-02,        -2.807702264061e-02,        +1.051276522523e-03,        +2.884155790474e+00,        -8.819500810092e-02,        +7.391796668259e+00,        -1.049695739631e-02,        -1.640671110934e-02,        -4.271321931108e-03,        +3.121768138403e+00,        +2.438258615137e-01,        +1.289076104725e+01,        -2.071529457056e-01,        -1.207251355959e-02,        +3.941565991490e-03,        +3.376393306490e+00,        +1.978445316041e-01,        +1.952400860962e+01,        -3.266371619893e-01,        -4.972958623435e-03,        +4.500577502366e-03,        +3.688935730073e+00,        +1.930020436989e-01,        +2.873705405239e+01,        -4.242627335383e-01,        +7.352967086222e-03,        +6.494596891279e-03,        +3.888477629461e+00,        +1.955283313913e-01,        +3.523607307937e+01,        -4.651935086672e-01,        +1.339330662372e-02,        +8.046667029323e-03,        +4.023682977181e+00,        +2.023044468392e-01,        +4.155935777931e+01,        -4.879753061010e-01,        +2.689690905148e-02,        +9.336737534471e-03,        -4.514408176002e+00,        -3.095488144347e-02,        +1.141342575221e+02,        -4.250134216817e-01,        -5.429799921010e-02,        +4.288589267735e-03
 2.41800000e+00,        +2.549578841570e+00,        -7.154520360914e-02,        -4.445160143435e-01,        +6.114604945021e-02,        -2.808143295316e-02,        +1.052003739868e-03,        +2.884622359803e+00,        -8.824887239401e-02,        +7.403281595917e+00,        -1.080432693021e-02,        -1.640545480217e-02,        -4.271776404534e-03,        +3.122226984591e+00,        +2.438214511970e-01,        +1.290865902217e+01,        -2.076873923691e-01,        -1.207175181991e-02,        +3.942531624129e-03,        +3.376803407960e+00,        +1.978261229167e-01,        +1.954966475839e+01,        -3.274113081133e-01,        -4.971822003461e-03,        +4.501571331670e-03,        +3.689269614761e+00,        +1.929751010486e-01,        +2.877346988016e+01,        -4.253360177293e-01,        +7.356944179294e-03,        +6.495608371216e-03,        +3.888754757184e+00,        +1.954960980125e-01,        +3.528007767210e+01,        -4.664544414540e-01,        +1.339896906042e-02,        +8.047948151091e-03,        +4.023857291737e+00,        +2.022698051247e-01,        +4.161076248132e+01,        -4.893979419275e-01,        +2.690858476485e-02,        +9.338027863026e-03,        -4.517604259060e+00,        -3.093926844997e-02,        +1.142772293586e+02,        -4.282681983601e-01,        -5.452106341239e-02,        +4.293493424773e-03
 2.41802500e+00,        +2.550116398870e+00,        -7.159759970050e-02,        -4.422295015441e-01,        +6.112008086982e-02,        -2.808585096628e-02,        +1.052731147216e-03,        +2.885087818718e+00,        -8.830274977581e-02,        +7.414796147906e+00,        -1.111301378863e-02,        -1.640419973883e-02,        -4.272229051710e-03,        +3.122684761015e+00,        +2.438169022273e-01,        +1.292660127101e+01,        -2.082237818637e-01,        -1.207099833108e-02,        +3.943496001343e-03,        +3.377212417200e+00,        +1.978075930366e-01,        +1.957538289887e+01,        -3.281881832562e-01,        -4.970698883730e-03,        +4.502563885266e-03,        +3.689602380041e+00,        +1.929480408573e-01,        +2.880997227685e+01,        -4.264130944818e-01,        +7.360906699177e-03,        +6.496617357350e-03,        +3.889030754901e+00,        +1.954637466528e-01,        +3.532418616898e+01,        -4.677198740700e-01,        +1.340461524808e-02,        +8.049226518996e-03,        +4.024030371658e+00,        +2.022350500028e-01,        +4.166228799726e+01,        -4.908257200265e-01,        +2.692025168409e-02,        +9.339314709099e-03,        -4.520798968439e+00,        -3.092354830656e-02,        +1.144205307997e+02,        -4.315359880996e-01,        -5.474467594287e-02,        +4.298416173613e-03
 2.41805000e+00,        +2.550652932718e+00,        -7.165001059956e-02,        -4.399343576395e-01,        +6.109378989676e-02,        -2.809027665408e-02,        +1.053458746407e-03,        +2.885552166235e+00,        -8.835664027896e-02,        +7.426340421630e+00,        -1.142302413228e-02,        -1.640294586374e-02,        -4.272679871638e-03,        +3.123141466757e+00,        +2.438122144645e-01,        +1.294458794148e+01,        -2.087621235223e-01,        -1.207025305701e-02,        +3.944459122698e-03,        +3.377620333196e+00,        +1.977889418263e-01,        +1.960116323958e+01,        -3.289678005466e-01,        -4.969589240040e-03,        +4.503555163256e-03,        +3.689934024756e+00,        +1.929208629809e-01,        +2.884656153533e+01,        -4.274939820320e-01,        +7.364854672429e-03,        +6.497623847511e-03,        +3.889305621376e+00,        +1.954312771585e-01,        +3.536839892235e+01,        -4.689898281925e-01,        +1.341024521280e-02,        +8.050502131355e-03,        +4.024202215305e+00,        +2.022001813372e-01,        +4.171393473751e+01,        -4.922586652677e-01,        +2.693190986644e-02,        +9.340598069059e-03,        -4.523992297481e+00,        -3.090772086339e-02,        +1.145641629744e+02,        -4.348168546404e-01,        -5.496883869640e-02,        +4.303357613823e-03
 2.41807500e+00,        +2.551188442432e+00,        -7.170243635357e-02,        -4.376305572164e-01,        +6.106717500114e-02,        -2.809470999174e-02,        +1.054186539213e-03,        +2.886015401355e+00,        -8.841054394249e-02,        +7.437914514965e+00,        -1.173436414787e-02,        -1.640169312228e-02,        -4.273128863231e-03,        +3.123597100883e+00,        +2.438073877516e-01,        +1.296261918198e+01,        -2.093024267168e-01,        -1.206951596258e-02,        +3.945420987563e-03,        +3.378027154916e+00,        +1.977701691331e-01,        +1.962700599001e+01,        -3.297501731718e-01,        -4.968493049301e-03,        +4.504545165526e-03,        +3.690264547735e+00,        +1.928935672607e-01,        +2.888323794982e+01,        -4.285786987029e-01,        +7.368788124496e-03,        +6.498627839218e-03,        +3.889579355358e+00,        +1.953986893619e-01,        +3.541271628623e+01,        -4.702643256057e-01,        +1.341585897956e-02,        +8.051774986124e-03,        +4.024372821018e+00,        +2.021651989776e-01,        +4.176570311439e+01,        -4.936968026464e-01,        +2.694355936817e-02,        +9.341877938856e-03,        -4.527184239498e+00,        -3.089178597691e-02,        +1.147081270168e+02,        -4.381108620880e-01,        -5.519355357643e-02,        +4.308317845501e-03
 2.41810000e+00,        +2.551722927342e+00,        -7.175487699433e-02,        -4.353180747646e-01,        +6.104023461944e-02,        -2.809915095232e-02,        +1.054914527976e-03,        +2.886477523085e+00,        -8.846446078970e-02,        +7.449518526205e+00,        -1.204704008735e-02,        -1.640044145743e-02,        -4.273576024835e-03,        +3.124051662463e+00,        +2.438024219489e-01,        +1.298069514156e+01,        -2.098447009069e-01,        -1.206878701057e-02,        +3.946381595956e-03,        +3.378432881332e+00,        +1.977512748212e-01,        +1.965291136058e+01,        -3.305353144332e-01,        -4.967410286300e-03,        +4.505533892647e-03,        +3.690593947807e+00,        +1.928661535548e-01,        +2.892000181587e+01,        -4.296672629678e-01,        +7.372707082907e-03,        +6.499629330719e-03,        +3.889851955599e+00,        +1.953659831116e-01,        +3.545713861620e+01,        -4.715433882682e-01,        +1.342145657536e-02,        +8.053045082024e-03,        +4.024542187137e+00,        +2.021301027902e-01,        +4.181759354204e+01,        -4.951401573556e-01,        +2.695520024770e-02,        +9.343154315228e-03,        -4.530374787761e+00,        -3.087574348965e-02,        +1.148524240664e+02,        -4.414180750191e-01,        -5.541882249544e-02,        +4.313296969334e-03
 2.41812500e+00,        +2.552256386752e+00,        -7.180733256668e-02,        -4.329968846250e-01,        +6.101296719910e-02,        -2.810359951082e-02,        +1.055642714650e-03,        +2.886938530410e+00,        -8.851839085710e-02,        +7.461152554140e+00,        -1.236105821520e-02,        -1.639919081407e-02,        -4.274021355386e-03,        +3.124505150541e+00,        +2.437973169118e-01,        +1.299881597001e+01,        -2.103889555864e-01,        -1.206806616569e-02,        +3.947340947513e-03,        +3.378837511394e+00,        +1.977322587485e-01,        +1.967887956275e+01,        -3.313232376880e-01,        -4.966340927892e-03,        +4.506521344798e-03,        +3.690922223780e+00,        +1.928386217143e-01,        +2.895685343045e+01,        -4.307596933829e-01,        +7.376611573169e-03,        +6.500628319877e-03,        +3.890123420825e+00,        +1.953331582492e-01,        +3.550166626956e+01,        -4.728270382395e-01,        +1.342703802517e-02,        +8.054312417411e-03,        +4.024710311979e+00,        +2.020948926341e-01,        +4.186960643660e+01,        -4.965887547054e-01,        +2.696683256157e-02,        +9.344427194543e-03,        -4.533563935516e+00,        -3.085959325582e-02,        +1.149970552678e+02,        -4.447385583286e-01,        -5.564464737442e-02,        +4.318295086750e-03
 2.41815000e+00,        +2.552788819967e+00,        -7.185980311460e-02,        -4.306669610254e-01,        +6.098537117766e-02,        -2.810805564119e-02,        +1.056371100994e-03,        +2.887398422308e+00,        -8.857233418017e-02,        +7.472816697996e+00,        -1.267642483213e-02,        -1.639794113596e-02,        -4.274464853772e-03,        +3.124957564166e+00,        +2.437920724830e-01,        +1.301698181778e+01,        -2.109352002954e-01,        -1.206735339152e-02,        +3.948299041552e-03,        +3.379241044051e+00,        +1.977131207624e-01,        +1.970491080889e+01,        -3.321139563580e-01,        -4.965284949818e-03,        +4.507507521824e-03,        +3.691249374460e+00,        +1.928109715808e-01,        +2.899379309185e+01,        -4.318560085965e-01,        +7.380501621884e-03,        +6.501624804143e-03,        +3.890393749763e+00,        +1.953002146072e-01,        +3.554629960518e+01,        -4.741152976909e-01,        +1.343260335508e-02,        +8.055576990171e-03,        +4.024877193855e+00,        +2.020595683596e-01,        +4.192174221603e+01,        -4.980426201364e-01,        +2.697845636755e-02,        +9.345696572649e-03,        -4.536751675977e+00,        -3.084333512488e-02,        +1.151420217708e+02,        -4.480723772779e-01,        -5.587103014316e-02,        +4.323312299623e-03
 2.41817500e+00,        +2.553320226276e+00,        -7.191228867895e-02,        -4.283282780576e-01,        +6.095744497790e-02,        -2.811251931835e-02,        +1.057099688434e-03,        +2.887857197746e+00,        -8.862629079133e-02,        +7.484511057486e+00,        -1.299314628208e-02,        -1.639669236772e-02,        -4.274906519337e-03,        +3.125408902372e+00,        +2.437866885147e-01,        +1.303519283604e+01,        -2.114834446412e-01,        -1.206664865257e-02,        +3.949255877135e-03,        +3.379643478239e+00,        +1.976938607186e-01,        +1.973100531241e+01,        -3.329074839576e-01,        -4.964242328868e-03,        +4.508492423340e-03,        +3.691575398638e+00,        +1.927832030036e-01,        +2.903082109976e+01,        -4.329562273826e-01,        +7.384377254635e-03,        +6.502618780778e-03,        +3.890662941124e+00,        +1.952671520252e-01,        +3.559103898365e+01,        -4.754081889410e-01,        +1.343815259015e-02,        +8.056838798057e-03,        +4.025042831062e+00,        +2.020241298241e-01,        +4.197400130032e+01,        -4.995017792570e-01,        +2.699007172258e-02,        +9.346962445286e-03,        -4.539938002326e+00,        -3.082696895235e-02,        +1.152873247308e+02,        -4.514195975398e-01,        -5.609797274033e-02,        +4.328348710655e-03
 2.41820000e+00,        +2.553850604971e+00,        -7.196478930149e-02,        -4.259808097031e-01,        +6.092918701419e-02,        -2.811699051570e-02,        +1.057828478982e-03,        +2.888314855689e+00,        -8.868026072363e-02,        +7.496235732763e+00,        -1.331122894696e-02,        -1.639544445226e-02,        -4.275346350821e-03,        +3.125859164188e+00,        +2.437811648564e-01,        +1.305344917665e+01,        -2.120336982884e-01,        -1.206595191187e-02,        +3.950211453873e-03,        +3.380044812889e+00,        +1.976744784705e-01,        +1.975716328766e+01,        -3.337038340823e-01,        -4.963213040350e-03,        +4.509476049506e-03,        +3.691900295102e+00,        +1.927553158300e-01,        +2.906793775526e+01,        -4.340603686286e-01,        +7.388238498457e-03,        +6.503610247567e-03,        +3.890930993614e+00,        +1.952339703412e-01,        +3.563588476719e+01,        -4.767057344448e-01,        +1.344368575685e-02,        +8.058097839325e-03,        +4.025207221889e+00,        +2.019885768837e-01,        +4.202638411132e+01,        -5.009662578330e-01,        +2.700167868506e-02,        +9.348224808670e-03,        -4.543122907711e+00,        -3.081049458377e-02,        +1.154329653081e+02,        -4.547802852067e-01,        -5.632547711365e-02,        +4.333404423047e-03
 2.41822500e+00,        +2.554379955331e+00,        -7.201730502259e-02,        -4.236245298072e-01,        +6.090059568951e-02,        -2.812146920790e-02,        +1.058557475438e-03,        +2.888771395088e+00,        -8.873424400873e-02,        +7.507990824461e+00,        -1.363067924707e-02,        -1.639419733353e-02,        -4.275784346154e-03,        +3.126308348626e+00,        +2.437755013562e-01,        +1.307175099218e+01,        -2.125859709573e-01,        -1.206526313368e-02,        +3.951165772118e-03,        +3.380445046915e+00,        +1.976549738707e-01,        +1.978338495003e+01,        -3.345030204053e-01,        -4.962197060941e-03,        +4.510458401227e-03,        +3.692224062620e+00,        +1.927273099062e-01,        +2.910514336081e+01,        -4.351684513300e-01,        +7.392085378986e-03,        +6.504599202985e-03,        +3.891197905922e+00,        +1.952006693917e-01,        +3.568083731972e+01,        -4.780079567853e-01,        +1.344920288026e-02,        +8.059354112902e-03,        +4.025370364605e+00,        +2.019529093931e-01,        +4.207889107287e+01,        -5.024360817777e-01,        +2.701327731219e-02,        +9.349483659654e-03,        -4.546306385246e+00,        -3.079391186775e-02,        +1.155789446687e+02,        -4.581545067525e-01,        -5.655354521970e-02,        +4.338479540442e-03
 2.41825000e+00,        +2.554908276625e+00,        -7.206983588526e-02,        -4.212594120850e-01,        +6.087166940155e-02,        -2.812595536884e-02,        +1.059286678823e-03,        +2.889226814881e+00,        -8.878824068097e-02,        +7.519776433692e+00,        -1.395150363464e-02,        -1.639295095478e-02,        -4.276220505015e-03,        +3.126756454700e+00,        +2.437696978582e-01,        +1.309009843591e+01,        -2.131402724179e-01,        -1.206458228138e-02,        +3.952118830449e-03,        +3.380844179228e+00,        +1.976353467674e-01,        +1.980967051587e+01,        -3.353050566709e-01,        -4.961194366443e-03,        +4.511439477633e-03,        +3.692546699959e+00,        +1.926991850744e-01,        +2.914243822028e+01,        -4.362804945828e-01,        +7.395917922803e-03,        +6.505585643760e-03,        +3.891463676732e+00,        +1.951672490095e-01,        +3.572589700682e+01,        -4.793148786663e-01,        +1.345470398637e-02,        +8.060607615993e-03,        +4.025532257475e+00,        +2.019171272033e-01,        +4.213152261078e+01,        -5.039112771438e-01,        +2.702486766222e-02,        +9.350738993383e-03,        -4.549488428015e+00,        -3.077722066003e-02,        +1.157252639838e+02,        -4.615423290248e-01,        -5.678217902412e-02,        +4.343574167433e-03
 2.41827500e+00,        +2.555435568113e+00,        -7.212238193607e-02,        -4.188854301241e-01,        +6.084240654344e-02,        -2.813044897367e-02,        +1.060016090989e-03,        +2.889681113999e+00,        -8.884225077816e-02,        +7.531592662036e+00,        -1.427370859506e-02,        -1.639170526029e-02,        -4.276654826396e-03,        +3.127203481403e+00,        +2.437637542087e-01,        +1.310849166186e+01,        -2.136966124965e-01,        -1.206390931967e-02,        +3.953070628287e-03,        +3.381242208724e+00,        +1.976155970105e-01,        +1.983602020258e+01,        -3.361099567051e-01,        -4.960204934090e-03,        +4.512419278699e-03,        +3.692868205870e+00,        +1.926709411780e-01,        +2.917982263897e+01,        -4.373965175974e-01,        +7.399736155042e-03,        +6.506569567459e-03,        +3.891728304714e+00,        +1.951337090285e-01,        +3.577106419580e+01,        -4.806265229283e-01,        +1.346018909978e-02,        +8.061858346651e-03,        +4.025692898744e+00,        +2.018812301664e-01,        +4.218427915280e+01,        -5.053918701414e-01,        +2.703644979213e-02,        +9.351990805836e-03,        -4.552669029067e+00,        -3.076042080950e-02,        +1.158719244301e+02,        -4.649438192747e-01,        -5.701138050141e-02,        +4.348688409155e-03
 2.41830000e+00,        +2.555961829050e+00,        -7.217494321215e-02,        -4.165025573851e-01,        +6.081280548412e-02,        -2.813494999547e-02,        +1.060745714397e-03,        +2.890134291365e+00,        -8.889627432842e-02,        +7.543439611552e+00,        -1.459730066872e-02,        -1.639046019213e-02,        -4.277087308446e-03,        +3.127649427726e+00,        +2.437576702513e-01,        +1.312693082473e+01,        -2.142550010891e-01,        -1.206324421110e-02,        +3.954021165582e-03,        +3.381639134294e+00,        +1.975957244489e-01,        +1.986243422854e+01,        -3.369177344259e-01,        -4.959228739030e-03,        +4.513397804942e-03,        +3.693188579094e+00,        +1.926425780600e-01,        +2.921729692359e+01,        -4.385165397093e-01,        +7.403540102862e-03,        +6.507550972124e-03,        +3.891991788528e+00,        +1.951000492821e-01,        +3.581633925567e+01,        -4.819429125595e-01,        +1.346565824701e-02,        +8.063106303365e-03,        +4.025852286649e+00,        +2.018452181344e-01,        +4.223716112872e+01,        -5.068778871501e-01,        +2.704802376096e-02,        +9.353239093388e-03,        -4.555848181424e+00,        -3.074351216524e-02,        +1.160189271897e+02,        -4.683590451983e-01,        -5.724115163563e-02,        +4.353822371190e-03
 2.41832500e+00,        +2.556487058678e+00,        -7.222751976211e-02,        -4.141107671931e-01,        +6.078286460009e-02,        -2.813945840950e-02,        +1.061475550540e-03,        +2.890586345886e+00,        -8.895031137147e-02,        +7.555317384780e+00,        -1.492228641518e-02,        -1.638921569450e-02,        -4.277517950457e-03,        +3.128094292649e+00,        +2.437514458254e-01,        +1.314541607997e+01,        -2.148154481336e-01,        -1.206258692039e-02,        +3.954970441335e-03,        +3.382034954814e+00,        +1.975757289264e-01,        +1.988891281317e+01,        -3.377284038174e-01,        -4.958265758631e-03,        +4.514375055914e-03,        +3.693507818362e+00,        +1.926140955579e-01,        +2.925486138225e+01,        -4.396405803508e-01,        +7.407329791289e-03,        +6.508529854856e-03,        +3.892254126824e+00,        +1.950662695982e-01,        +3.586172255712e+01,        -4.832640706659e-01,        +1.347111145252e-02,        +8.064351483711e-03,        +4.026010419413e+00,        +2.018090909540e-01,        +4.229016897027e+01,        -5.083693546865e-01,        +2.705958962584e-02,        +9.354483851504e-03,        -4.559025878066e+00,        -3.072649457829e-02,        +1.161662734503e+02,        -4.717880748606e-01,        -5.747149441948e-02,        +4.358976160000e-03
