        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m)
 2.40025000e+00,        +1.891551843825e+00,        -3.701805321206e-02,        -6.672272884917e-01,        +4.344136955712e-02,        -2.876695972500e-02,        +4.758120311493e-04,        +2.266189782533e+00,        -5.240821134767e-02,        +3.562434548091e+00,        +5.514977671068e-02,        -2.058075830242e-02,        -3.501264857249e-03,        +2.518822335165e+00,        +2.122746919754e-01,        +6.547568148542e+00,        -4.371696057778e-02,        -1.707451894072e-02,        +2.866458514138e-03,        +2.805691143967e+00,        +1.813047136722e-01,        +1.014010367096e+01,        -8.034620169062e-02,        -1.125939901247e-02,        +3.379912727804e-03,        +3.170758606470e+00,        +1.839473025025e-01,        +1.513728531849e+01,        -8.589815527120e-02,        -1.378326308065e-03,        +5.103173116796e-03,        +3.411135077471e+00,        +1.905548445986e-01,        +1.866289576037e+01,        -7.312483668513e-02,        +2.991442567662e-03,        +6.364567741225e-03,        +3.607050558433e+00,        +1.997853267836e-01,        +2.208791212986e+01,        -5.210899494374e-02,        +1.300688447304e-02,        +7.506613322421e-03,        -2.118047022963e+00,        -2.202539919432e-02,        +5.865128341231e+01,        +4.267551431202e-01,        +2.831263742276e-02,        +2.645094422333e-03
 2.40027500e+00,        +1.892960714968e+00,        -3.706220637134e-02,        -6.683992076848e-01,        +4.348431510677e-02,        -2.875704713958e-02,        +4.768906916983e-04,        +2.267550846566e+00,        -5.245457617976e-02,        +3.564083774854e+00,        +5.514839700228e-02,        -2.056560785575e-02,        -3.503019144619e-03,        +2.520146445417e+00,        +2.123777834016e-01,        +6.551185608698e+00,        -4.383553917042e-02,        -1.705688846840e-02,        +2.868766140220e-03,        +2.806970135415e+00,        +1.813773857483e-01,        +1.014609903713e+01,        -8.053540431841e-02,        -1.123858132715e-02,        +3.382347598314e-03,        +3.171960177118e+00,        +1.840064220680e-01,        +1.514657446326e+01,        -8.614786056776e-02,        -1.353165169564e-03,        +5.106370770653e-03,        +3.412274400017e+00,        +1.906071484082e-01,        +1.867450805642e+01,        -7.340422323437e-02,        +3.019808795205e-03,        +6.368380100586e-03,        +3.608108909136e+00,        +1.998332152359e-01,        +2.210178617015e+01,        -5.241022112361e-02,        +1.304008408968e-02,        +7.510838100241e-03,        -2.121445181774e+00,        -2.205871049709e-02,        +5.869362980122e+01,        +4.264018498089e-01,        +2.825362420823e-02,        +2.646755922138e-03
 2.40030000e+00,        +1.894367761338e+00,        -3.710638209342e-02,        -6.695672099616e-01,        +4.352726740793e-02,        -2.874717399006e-02,        +4.779678737911e-04,        +2.268910076791e+00,        -5.250096223145e-02,        +3.565740467728e+00,        +5.514693675118e-02,        -2.055050035150e-02,        -3.504771333018e-03,        +2.521468781809e+00,        +2.124806515877e-01,        +6.554812989112e+00,        -4.395414643192e-02,        -1.703930452761e-02,        +2.871070371283e-03,        +2.808247357637e+00,        +1.814498701196e-01,        +1.015210730663e+01,        -8.072465718885e-02,        -1.121781467670e-02,        +3.384778798403e-03,        +3.173160001690e+00,        +1.840653661829e-01,        +1.515588065815e+01,        -8.639767737670e-02,        -1.328058695690e-03,        +5.109563427279e-03,        +3.413412000638e+00,        +1.906592816933e-01,        +1.868614032691e+01,        -7.368376509324e-02,        +3.048117130954e-03,        +6.372186626081e-03,        +3.609165550175e+00,        +1.998809364190e-01,        +2.211568304359e+01,        -5.271163781280e-02,        +1.307322389425e-02,        +7.515056323956e-03,        -2.124843553188e+00,        -2.209197966651e-02,        +5.873603336069e+01,        +4.260477224696e-01,        +2.819452605379e-02,        +2.648416533477e-03
 2.40032500e+00,        +1.895772985939e+00,        -3.715058028894e-02,        -6.707312975282e-01,        +4.357022623960e-02,        -2.873734019064e-02,        +4.790435820546e-04,        +2.270267476176e+00,        -5.254736941577e-02,        +3.567404631230e+00,        +5.514539550354e-02,        -2.053543569222e-02,        -3.506521423555e-03,        +2.522789347200e+00,        +2.125832969368e-01,        +6.558450299036e+00,        -4.407278315514e-02,        -1.702176701870e-02,        +2.873371215077e-03,        +2.809522813473e+00,        +1.815221671303e-01,        +1.015812849438e+01,        -8.091396135835e-02,        -1.119709895578e-02,        +3.387206336421e-03,        +3.174358082966e+00,        +1.841241351688e-01,        +1.516520392596e+01,        -8.664760704092e-02,        -1.303006774624e-03,        +5.112751096977e-03,        +3.414547882057e+00,        +1.907112447649e-01,        +1.869779260020e+01,        -7.396346377752e-02,        +3.076367691965e-03,        +6.375987329586e-03,        +3.610220484178e+00,        +1.999284906385e-01,        +2.212960278392e+01,        -5.301324667992e-02,        +1.310630401250e-02,        +7.519268006601e-03,        -2.128242136489e+00,        -2.212520664191e-02,        +5.877849419281e+01,        +4.256927580376e-01,        +2.813534276753e-02,        +2.650076263280e-03
 2.40035000e+00,        +1.897176391767e+00,        -3.719480086867e-02,        -6.718914725733e-01,        +4.361319138074e-02,        -2.872754565570e-02,        +4.801178211026e-04,        +2.271623047684e+00,        -5.259379764589e-02,        +3.569076269912e+00,        +5.514377280476e-02,        -2.052041378067e-02,        -3.508269417338e-03,        +2.524108144446e+00,        +2.126857198509e-01,        +6.562097547764e+00,        -4.419145013376e-02,        -1.700427584224e-02,        +2.875668679329e-03,        +2.810796505759e+00,        +1.815942771237e-01,        +1.016416261540e+01,        -8.110331788460e-02,        -1.117643405929e-02,        +3.389630220698e-03,        +3.175554423716e+00,        +1.841827293464e-01,        +1.517454428957e+01,        -8.689765090523e-02,        -1.278009294815e-03,        +5.115933790020e-03,        +3.415682046991e+00,        +1.907630379330e-01,        +1.870946490472e+01,        -7.424332080543e-02,        +3.104560595011e-03,        +6.379782222945e-03,        +3.611273713766e+00,        +1.999758781992e-01,        +2.214354542502e+01,        -5.331504939646e-02,        +1.313932456985e-02,        +7.523473161172e-03,        -2.131640930959e+00,        -2.215839136254e-02,        +5.882101239996e+01,        +4.253369534388e-01,        +2.807607415714e-02,        +2.651735118484e-03
 2.40037500e+00,        +1.898577981809e+00,        -3.723904374383e-02,        -6.730477372683e-01,        +4.365616261075e-02,        -2.871779029983e-02,        +4.811905955412e-04,        +2.272976794268e+00,        -5.264024683545e-02,        +3.570755388357e+00,        +5.514206819995e-02,        -2.050543451984e-02,        -3.510015315473e-03,        +2.525425176393e+00,        +2.127879207309e-01,        +6.565754744639e+00,        -4.431014816186e-02,        -1.698683089905e-02,        +2.877962771753e-03,        +2.812068437321e+00,        +1.816662004420e-01,        +1.017020968474e+01,        -8.129272782606e-02,        -1.115581988239e-02,        +3.392050459544e-03,        +3.176749026704e+00,        +1.842411490355e-01,        +1.518390177195e+01,        -8.714781031596e-02,        -1.253066144964e-03,        +5.119111516660e-03,        +3.416814498147e+00,        +1.908146615069e-01,        +1.872115726903e+01,        -7.452333769717e-02,        +3.132695956590e-03,        +6.383571317974e-03,        +3.612325241553e+00,        +2.000230994050e-01,        +2.215751100085e+01,        -5.361704763631e-02,        +1.317228569148e-02,        +7.527671800638e-03,        -2.135039935880e+00,        -2.219153376763e-02,        +5.886358808481e+01,        +4.249803055906e-01,        +2.801672002987e-02,        +2.653393106034e-03
 2.40040000e+00,        +1.899977759047e+00,        -3.728330882607e-02,        -6.742000937676e-01,        +4.369913970940e-02,        -2.870807403783e-02,        +4.822619099540e-04,        +2.274328718875e+00,        -5.268671689847e-02,        +3.572441991188e+00,        +5.514028123381e-02,        -2.049049781293e-02,        -3.511759119071e-03,        +2.526740445879e+00,        +2.128898999763e-01,        +6.569421899049e+00,        -4.442887803397e-02,        -1.696943209016e-02,        +2.880253500026e-03,        +2.813338610979e+00,        +1.817379374263e-01,        +1.017626971751e+01,        -8.148219224208e-02,        -1.113525632049e-02,        +3.394467061235e-03,        +3.177941894689e+00,        +1.842993945549e-01,        +1.519327639615e+01,        -8.739808662100e-02,        -1.228177214070e-03,        +5.122284287106e-03,        +3.417945238226e+00,        +1.908661157946e-01,        +1.873286972176e+01,        -7.480351597501e-02,        +3.160773892915e-03,        +6.387354626444e-03,        +3.613375070145e+00,        +2.000701545586e-01,        +2.217149954549e+01,        -5.391924307589e-02,        +1.320518750226e-02,        +7.531863937915e-03,        -2.138439150531e+00,        -2.222463379648e-02,        +5.890622135027e+01,        +4.246228114014e-01,        +2.795728019260e-02,        +2.655050232884e-03
 2.40042500e+00,        +1.901375726452e+00,        -3.732759602751e-02,        -6.753485442080e-01,        +4.374212245695e-02,        -2.869839678473e-02,        +4.833317689125e-04,        +2.275678824442e+00,        -5.273320774946e-02,        +3.574136083057e+00,        +5.513841145081e-02,        -2.047560356340e-02,        -3.513500829243e-03,        +2.528053955736e+00,        +2.129916579855e-01,        +6.573099020429e+00,        -4.454764054485e-02,        -1.695207931688e-02,        +2.882540871806e-03,        +2.814607029545e+00,        +1.818094884165e-01,        +1.018234272890e+01,        -8.167171219263e-02,        -1.111474326929e-02,        +3.396880034024e-03,        +3.179133030418e+00,        +1.843574662221e-01,        +1.520266818529e+01,        -8.764848116953e-02,        -1.203342391397e-03,        +5.125452111537e-03,        +3.419074269924e+00,        +1.909174011033e-01,        +1.874460229165e+01,        -7.508385716296e-02,        +3.188794519897e-03,        +6.391132160093e-03,        +3.614423202141e+00,        +2.001170439619e-01,        +2.218551109314e+01,        -5.422163739375e-02,        +1.323803012675e-02,        +7.536049585883e-03,        -2.141838574194e+00,        -2.225769138843e-02,        +5.894891229955e+01,        +4.242644677711e-01,        +2.789775445180e-02,        +2.656706505997e-03
 2.40045000e+00,        +1.902771886990e+00,        -3.737190526058e-02,        -6.764930907091e-01,        +4.378511063387e-02,        -2.868875845572e-02,        +4.844001769722e-04,        +2.277027113900e+00,        -5.277971930323e-02,        +3.575837668654e+00,        +5.513645839492e-02,        -2.046075167489e-02,        -3.515240447103e-03,        +2.529365708789e+00,        +2.130931951556e-01,        +6.576786118260e+00,        -4.466643648991e-02,        -1.693477248072e-02,        +2.884824894727e-03,        +2.815873695823e+00,        +1.818808537516e-01,        +1.018842873414e+01,        -8.186128873876e-02,        -1.109428062469e-02,        +3.399289386137e-03,        +3.180322436634e+00,        +1.844153643539e-01,        +1.521207716259e+01,        -8.789899531251e-02,        -1.178561566457e-03,        +5.128615000103e-03,        +3.420201595926e+00,        +1.909685177389e-01,        +1.875635500753e+01,        -7.536436278730e-02,        +3.216757953194e-03,        +6.394903930623e-03,        +3.615469640132e+00,        +2.001637679156e-01,        +2.219954567808e+01,        -5.452423227117e-02,        +1.327081368925e-02,        +7.540228757385e-03,        -2.145238206146e+00,        -2.229070648269e-02,        +5.899166103614e+01,        +4.239052715909e-01,        +2.783814261349e-02,        +2.658361932341e-03
 2.40047500e+00,        +1.904166243618e+00,        -3.741623643802e-02,        -6.776337353738e-01,        +4.382810402085e-02,        -2.867915896623e-02,        +4.854671386931e-04,        +2.278373590173e+00,        -5.282625147489e-02,        +3.577546752702e+00,        +5.513442160952e-02,        -2.044594205127e-02,        -3.516977973744e-03,        +2.530675707853e+00,        +2.131945118826e-01,        +6.580483202069e+00,        -4.478526666511e-02,        -1.691751148343e-02,        +2.887105576415e-03,        +2.817138612611e+00,        +1.819520337696e-01,        +1.019452774855e+01,        -8.205092294243e-02,        -1.107386828290e-02,        +3.401695125796e-03,        +3.181510116073e+00,        +1.844730892661e-01,        +1.522150335133e+01,        -8.814963040251e-02,        -1.153834629061e-03,        +5.131772962937e-03,        +3.421327218912e+00,        +1.910194660068e-01,        +1.876812789832e+01,        -7.564503437642e-02,        +3.244664308158e-03,        +6.398669949719e-03,        +3.616514386704e+00,        +2.002103267198e-01,        +2.221360333474e+01,        -5.482702939197e-02,        +1.330353831376e-02,        +7.544401465239e-03,        -2.148638045667e+00,        -2.232367901863e-02,        +5.903446766380e+01,        +4.235452197428e-01,        +2.777844448332e-02,        +2.660016518890e-03
