        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²),         Re{B_x[7]} (Wb/m²),         Im{B_x[7]} (Wb/m²),         Re{B_y[7]} (Wb/m²),         Im{B_y[7]} (Wb/m²),         Re{B_z[7]} (Wb/m²),         Im{B_z[7]} (Wb/m²),         Re{B_x[8]} (Wb/m²),         Im{B_x[8]} (Wb/m²),         Re{B_y[8]} (Wb/m²),         Im{B_y[8]} (Wb/m²),         Re{B_z[8]} (Wb/m²),         Im{B_z[8]} (Wb/m²)
 2.40025000e+00,        +5.258603565174e-11,        -1.772795668971e-10,        +4.507376100873e-11,        -1.474897719463e-10,        -6.266520117819e-10,        +3.951324416141e-07,        +4.695270653951e-11,        -1.099814378945e-10,        +4.535509312409e-11,        -1.679958573441e-10,        -6.172420725403e-10,        +3.958509323190e-07,        +4.466098304492e-11,        -3.820098002941e-11,        +4.456381347783e-11,        -1.766881765684e-10,        -7.534318344852e-10,        +3.957929676038e-07,        +3.938735316157e-11,        +2.387647907905e-11,        +4.425595204328e-11,        -1.762796214488e-10,        -1.030484252104e-09,        +3.953816898873e-07,        +3.528311010110e-11,        +1.104852837149e-10,        +4.141131599084e-11,        -1.845431234854e-10,        -1.625364827674e-09,        +3.938560448782e-07,        +3.103678350253e-11,        +1.789393129523e-10,        +4.259403285130e-11,        -1.736025734791e-10,        -2.198745090623e-09,        +3.920674304297e-07,        +2.761998119558e-11,        +2.344409228292e-10,        +4.092667384167e-11,        -1.635286106818e-10,        -2.852079000619e-09,        +3.899418508103e-07,        -2.392484586729e-11,        +1.261807691424e-09,        +8.395934016041e-12,        -8.387415670097e-11,        -2.029937896042e-09,        +1.804816271218e-07
 2.40027500e+00,        +5.263978756363e-11,        -1.776674552165e-10,        +4.510989722520e-11,        -1.477625849104e-10,        -6.226780374594e-10,        +3.953818517505e-07,        +4.700325108862e-11,        -1.103155791842e-10,        +4.539084093824e-11,        -1.682713101487e-10,        -6.132423939225e-10,        +3.960996886273e-07,        +4.471088864909e-11,        -3.849652986566e-11,        +4.459903477341e-11,        -1.769700468147e-10,        -7.495000133135e-10,        +3.960409614842e-07,        +3.943445367174e-11,        +2.362357658081e-11,        +4.429106641585e-11,        -1.765543635409e-10,        -1.026713728240e-09,        +3.956284774226e-07,        +3.532850523811e-11,        +1.102898580941e-10,        +4.144471119854e-11,        -1.848186258196e-10,        -1.621968234739e-09,        +3.941005121572e-07,        +3.108046656277e-11,        +1.787892575939e-10,        +4.262842068952e-11,        -1.738659742007e-10,        -2.195719347367e-09,        +3.923097774741e-07,        +2.766238132171e-11,        +2.343278242858e-10,        +4.096054595030e-11,        -1.637785936537e-10,        -2.849480886322e-09,        +3.901818414019e-07,        -2.390889313723e-11,        +1.261298814780e-09,        +8.404139553970e-12,        -8.406532535656e-11,        -2.028855177470e-09,        +1.805491892797e-07
 2.40030000e+00,        +5.269346247327e-11,        -1.780548740704e-10,        +4.514598293375e-11,        -1.480350956184e-10,        -6.186961497809e-10,        +3.956315769528e-07,        +4.705371624159e-11,        -1.106492015789e-10,        +4.542653828865e-11,        -1.685464770139e-10,        -6.092348464645e-10,        +3.963487597321e-07,        +4.476071461920e-11,        -3.879149861081e-11,        +4.463420544690e-11,        -1.772516455815e-10,        -7.455605731272e-10,        +3.962892695559e-07,        +3.948147251207e-11,        +2.337130361175e-11,        +4.432613103359e-11,        -1.768288396474e-10,        -1.022935970844e-09,        +3.958755780838e-07,        +3.537381892642e-11,        +1.100951246041e-10,        +4.147805563671e-11,        -1.850938832576e-10,        -1.618565122968e-09,        +3.943452902683e-07,        +3.112406769238e-11,        +1.786399417736e-10,        +4.266275981802e-11,        -1.741291320153e-10,        -2.192687726665e-09,        +3.925524331255e-07,        +2.770470049111e-11,        +2.342154878604e-10,        +4.099436939802e-11,        -1.640283369278e-10,        -2.846877609832e-09,        +3.904221380797e-07,        -2.389296907433e-11,        +1.260789107527e-09,        +8.412338357149e-12,        -8.425694435087e-11,        -2.027770762082e-09,        +1.806168341314e-07
 2.40032500e+00,        +5.274706051699e-11,        -1.784418241227e-10,        +4.518201822525e-11,        -1.483073045376e-10,        -6.147063281390e-10,        +3.958816178173e-07,        +4.710410212850e-11,        -1.109823056154e-10,        +4.546218526460e-11,        -1.688213584062e-10,        -6.052194095175e-10,        +3.965981462284e-07,        +4.481046108633e-11,        -3.908588670945e-11,        +4.466932558591e-11,        -1.775329733406e-10,        -7.416134934863e-10,        +3.965378924119e-07,        +3.952840980862e-11,        +2.311965982819e-11,        +4.436114598372e-11,        -1.771030502143e-10,        -1.019150959925e-09,        +3.961229924611e-07,        +3.541905129007e-11,        +1.099010830392e-10,        +4.151134938751e-11,        -1.853688962344e-10,        -1.615155473381e-09,        +3.945903797963e-07,        +3.116758701265e-11,        +1.784913653956e-10,        +4.269705032107e-11,        -1.743920473205e-10,        -2.189650210526e-09,        +3.927953979637e-07,        +2.774693882193e-11,        +2.341039135423e-10,        +4.102814426742e-11,        -1.642778408614e-10,        -2.844269154295e-09,        +3.906627414179e-07,        -2.387707370923e-11,        +1.260278568311e-09,        +8.420530408579e-12,        -8.444901390392e-11,        -2.026684645325e-09,        +1.806845618360e-07
 2.40035000e+00,        +5.280058183077e-11,        -1.788283060360e-10,        +4.521800319035e-11,        -1.485792121348e-10,        -6.107085518586e-10,        +3.961319749422e-07,        +4.715440887907e-11,        -1.113148918279e-10,        +4.549778195515e-11,        -1.690959547902e-10,        -6.011960623657e-10,        +3.968478487128e-07,        +4.486012818130e-11,        -3.937969460160e-11,        +4.470439527789e-11,        -1.778140305627e-10,        -7.376587538846e-10,        +3.967868306469e-07,        +3.957526568711e-11,        +2.286864489502e-11,        +4.439611135323e-11,        -1.773769956855e-10,        -1.015358675431e-09,        +3.963707211465e-07,        +3.546420245273e-11,        +1.097077331967e-10,        +4.154459253286e-11,        -1.856436651819e-10,        -1.611739266939e-09,        +3.948357813277e-07,        +3.121102464453e-11,        +1.783435283675e-10,        +4.273129228267e-11,        -1.746547205119e-10,        -2.186606780905e-09,        +3.930386725702e-07,        +2.778909643207e-11,        +2.339931013266e-10,        +4.106187064083e-11,        -1.645271058126e-10,        -2.841655502804e-09,        +3.909036519924e-07,        -2.386120707272e-11,        +1.259767195774e-09,        +8.428715691222e-12,        -8.464153423770e-11,        -2.025596822626e-09,        +1.807523725530e-07
 2.40037500e+00,        +5.285402655021e-11,        -1.792143204705e-10,        +4.525393791946e-11,        -1.488508188746e-10,        -6.067028001995e-10,        +3.963826489269e-07,        +4.720463662268e-11,        -1.116469607486e-10,        +4.553332844912e-11,        -1.693702666295e-10,        -5.971647842278e-10,        +3.970978677831e-07,        +4.490971603441e-11,        -3.967292272437e-11,        +4.473941460998e-11,        -1.780948177176e-10,        -7.336963337520e-10,        +3.970360848573e-07,        +3.962204027291e-11,        +2.261825847355e-11,        +4.443102722889e-11,        -1.776506765054e-10,        -1.011559097245e-09,        +3.966187647333e-07,        +3.550927253764e-11,        +1.095150748797e-10,        +4.157778515437e-11,        -1.859181905346e-10,        -1.608316484543e-09,        +3.950814954504e-07,        +3.125438070856e-11,        +1.781964306002e-10,        +4.276548578665e-11,        -1.749171519853e-10,        -2.183557419699e-09,        +3.932822575278e-07,        +2.783117343907e-11,        +2.338830512160e-10,        +4.109554860035e-11,        -1.647761321390e-10,        -2.839036638399e-09,        +3.911448703804e-07,        -2.384536919583e-11,        +1.259254988554e-09,        +8.436894188008e-12,        -8.483450557636e-11,        -2.024507289401e-09,        +1.808202664419e-07
 2.40040000e+00,        +5.290739481051e-11,        -1.795998680848e-10,        +4.528982250269e-11,        -1.491221252211e-10,        -6.026890523529e-10,        +3.966336403726e-07,        +4.725478548826e-11,        -1.119785129070e-10,        +4.556882483505e-11,        -1.696442943866e-10,        -5.931255542550e-10,        +3.973482040390e-07,        +4.495922477570e-11,        -3.996557151410e-11,        +4.477438366910e-11,        -1.783753352731e-10,        -7.297262124520e-10,        +3.972856556407e-07,        +3.966873369096e-11,        +2.236850023180e-11,        +4.446589369720e-11,        -1.779240931154e-10,        -1.007752205187e-09,        +3.968671238165e-07,        +3.555426166774e-11,        +1.093231078925e-10,        +4.161092733347e-11,        -1.861924727218e-10,        -1.604887107034e-09,        +3.953275227537e-07,        +3.129765532492e-11,        +1.780500720042e-10,        +4.279963091655e-11,        -1.751793421332e-10,        -2.180502108748e-09,        +3.935261534207e-07,        +2.787316996005e-11,        +2.337737632118e-10,        +4.112917822786e-11,        -1.650249201960e-10,        -2.836412544068e-09,        +3.913863971607e-07,        -2.382956010977e-11,        +1.258741945283e-09,        +8.445065881847e-12,        -8.502792814599e-11,        -2.023416041048e-09,        +1.808882436632e-07
 2.40042500e+00,        +5.296068674647e-11,        -1.799849495350e-10,        +4.532565702992e-11,        -1.493931316360e-10,        -5.986672874453e-10,        +3.968849498818e-07,        +4.730485560434e-11,        -1.123095488308e-10,        +4.560427120122e-11,        -1.699180385224e-10,        -5.890783515334e-10,        +3.975988580815e-07,        +4.500865453471e-11,        -4.025764140287e-11,        +4.480930254186e-11,        -1.786555836972e-10,        -7.257483692843e-10,        +3.975355435964e-07,        +3.971534606574e-11,        +2.211936983982e-11,        +4.450071084437e-11,        -1.781972459578e-10,        -1.003937979016e-09,        +3.971157989924e-07,        +3.559916996542e-11,        +1.091318320447e-10,        +4.164401915129e-11,        -1.864665121747e-10,        -1.601451115196e-09,        +3.955738638285e-07,        +3.134084861333e-11,        +1.779044524999e-10,        +4.283372775563e-11,        -1.754412913509e-10,        -2.177440829839e-09,        +3.937703608350e-07,        +2.791508611174e-11,        +2.336652373223e-10,        +4.116275960493e-11,        -1.652734703403e-10,        -2.833783202748e-09,        +3.916282329134e-07,        -2.381377984592e-11,        +1.258228064593e-09,        +8.453230755630e-12,        -8.522180217487e-11,        -2.022323072948e-09,        +1.809563043772e-07
 2.40045000e+00,        +5.301390249252e-11,        -1.803695654755e-10,        +4.536144159078e-11,        -1.496638385813e-10,        -5.946374845373e-10,        +3.971365780587e-07,        +4.735484709909e-11,        -1.126400690455e-10,        +4.563966763570e-11,        -1.701914994972e-10,        -5.850231550839e-10,        +3.978498305132e-07,        +4.505800544065e-11,        -4.054913282027e-11,        +4.484417131466e-11,        -1.789355634556e-10,        -7.217627834847e-10,        +3.977857493252e-07,        +3.976187752141e-11,        +2.187086696984e-11,        +4.453547875645e-11,        -1.784701354717e-10,        -1.000116398426e-09,        +3.973647908589e-07,        +3.564399755293e-11,        +1.089412471437e-10,        +4.167706068876e-11,        -1.867403093225e-10,        -1.598008489751e-09,        +3.958205192672e-07,        +3.138396069322e-11,        +1.777595720061e-10,        +4.286777638703e-11,        -1.757030000289e-10,        -2.174373564703e-09,        +3.940148803578e-07,        +2.795692201053e-11,        +2.335574735515e-10,        +4.119629281298e-11,        -1.655217829230e-10,        -2.831148597321e-09,        +3.918703782202e-07,        -2.379802843586e-11,        +1.257713345108e-09,        +8.461388792219e-12,        -8.541612789319e-11,        -2.021228380470e-09,        +1.810244487451e-07
 2.40047500e+00,        +5.306704218269e-11,        -1.807537165584e-10,        +4.539717627461e-11,        -1.499342465161e-10,        -5.905996226206e-10,        +3.973885255089e-07,        +4.740476010026e-11,        -1.129700740737e-10,        +4.567501422623e-11,        -1.704646777697e-10,        -5.809599438586e-10,        +3.981011219381e-07,        +4.510727762232e-11,        -4.084004619479e-11,        +4.487899007361e-11,        -1.792152750140e-10,        -7.177694342213e-10,        +3.980362734294e-07,        +3.980832818172e-11,        +2.162299129746e-11,        +4.457019751913e-11,        -1.787427620972e-10,        -9.962874430490e-10,        +3.976141000155e-07,        +3.568874455185e-11,        +1.087513530081e-10,        +4.171005202648e-11,        -1.870138645927e-10,        -1.594559211363e-09,        +3.960674896637e-07,        +3.142699168357e-11,        +1.776154304464e-10,        +4.290177689347e-11,        -1.759644685588e-10,        -2.171300295011e-09,        +3.942597125780e-07,        +2.799867777240e-11,        +2.334504719173e-10,        +4.122977793311e-11,        -1.657698582988e-10,        -2.828508710619e-09,        +3.921128336644e-07,        -2.378230591140e-11,        +1.257197785451e-09,        +8.469539974408e-12,        -8.561090553339e-11,        -2.020131958964e-09,        +1.810926769282e-07
