        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²),         Re{B_x[7]} (Wb/m²),         Im{B_x[7]} (Wb/m²),         Re{B_y[7]} (Wb/m²),         Im{B_y[7]} (Wb/m²),         Re{B_z[7]} (Wb/m²),         Im{B_z[7]} (Wb/m²),         Re{B_x[8]} (Wb/m²),         Im{B_x[8]} (Wb/m²),         Re{B_y[8]} (Wb/m²),         Im{B_y[8]} (Wb/m²),         Re{B_z[8]} (Wb/m²),         Im{B_z[8]} (Wb/m²)
 2.40000000e+00,        +5.204425112597e-11,        -1.733747154499e-10,        +4.470960072223e-11,        -1.447449144136e-10,        -6.659610078647e-10,        +3.926555387015e-07,        +4.644286534628e-11,        -1.066113660803e-10,        +4.499481963974e-11,        -1.652254992378e-10,        -6.568105692291e-10,        +3.933805532173e-07,        +4.415751799208e-11,        -3.521342244261e-11,        +4.420879683258e-11,        -1.738544380856e-10,        -7.923354521176e-10,        +3.933301798741e-07,        +3.891182818260e-11,        +2.644020524034e-11,        +4.390205242440e-11,        -1.735174724667e-10,        -1.067796000454e-09,        +3.929309076334e-07,        +3.482465147871e-11,        +1.124776541983e-10,        +4.107455333028e-11,        -1.817745346007e-10,        -1.658976355400e-09,        +3.914283402284e-07,        +3.059541974549e-11,        +1.804805647615e-10,        +4.224745671930e-11,        -1.709551183073e-10,        -2.228683182533e-09,        +3.896608068404e-07,        +2.719150101925e-11,        +2.356138288822e-10,        +4.058525806668e-11,        -1.610155179066e-10,        -2.877779894682e-09,        +3.875586543224e-07,        -2.408594326089e-11,        +1.266851069479e-09,        +8.313511950523e-12,        -8.198719184759e-11,        -2.040672747862e-09,        +1.798105190057e-07
 2.40002500e+00,        +5.209878064742e-11,        -1.737673354203e-10,        +4.474624707518e-11,        -1.450207759446e-10,        -6.620650479117e-10,        +3.929018306603e-07,        +4.649421110183e-11,        -1.069507263374e-10,        +4.503107706121e-11,        -1.655038373369e-10,        -6.528884574898e-10,        +3.936261939561e-07,        +4.420822723764e-11,        -3.551480810501e-11,        +4.424452922839e-11,        -1.741390493365e-10,        -7.884787107685e-10,        +3.935750641416e-07,        +3.895975241668e-11,        +2.618098806283e-11,        +4.393766920012e-11,        -1.737948991750e-10,        -1.064096725942e-09,        +3.931745960548e-07,        +3.487086801250e-11,        +1.122752953625e-10,        +4.110846080880e-11,        -1.820525100047e-10,        -1.655643919615e-09,        +3.916697310322e-07,        +3.063992887077e-11,        +1.803231079809e-10,        +4.228233634368e-11,        -1.712209701594e-10,        -2.225715236260e-09,        +3.899000993873e-07,        +2.723471730195e-11,        +2.354931079825e-10,        +4.061962137921e-11,        -1.612679178156e-10,        -2.875232486486e-09,        +3.877956153206e-07,        -2.406970550164e-11,        +1.266350425310e-09,        +8.321783905736e-12,        -8.217386876341e-11,        -2.039606750337e-09,        +1.798772628840e-07
 2.40005000e+00,        +5.215323178121e-11,        -1.741594791680e-10,        +4.478284199678e-11,        -1.452963304714e-10,        -6.581613771253e-10,        +3.931484318017e-07,        +4.654547613796e-11,        -1.072895622073e-10,        +4.506728311144e-11,        -1.657818847688e-10,        -6.489586798614e-10,        +3.938721436235e-07,        +4.425885551572e-11,        -3.581560810705e-11,        +4.428021011103e-11,        -1.744233843247e-10,        -7.846145513380e-10,        +3.938202567499e-07,        +3.900759369752e-11,        +2.592240398160e-11,        +4.397323533449e-11,        -1.740720553795e-10,        -1.060390414432e-09,        +3.934185917796e-07,        +3.491700183528e-11,        +1.120736308711e-10,        +4.114231668201e-11,        -1.823302361129e-10,        -1.652305151625e-09,        +3.919114268999e-07,        +3.068435483062e-11,        +1.801663918860e-10,        +4.231716640210e-11,        -1.714865750779e-10,        -2.222741589452e-09,        +3.901396948225e-07,        +2.727785142419e-11,        +2.353731494645e-10,        +4.065393519172e-11,        -1.615200743818e-10,        -2.872680081852e-09,        +3.880328767414e-07,        -2.405349611376e-11,        +1.265848963858e-09,        +8.330049294958e-12,        -8.236099393089e-11,        -2.038539100697e-09,        +1.799440878875e-07
 2.40007500e+00,        +5.220760466768e-11,        -1.745511473782e-10,        +4.481938558057e-11,        -1.455715784747e-10,        -6.542499755412e-10,        +3.933953427073e-07,        +4.659666058879e-11,        -1.076278742491e-10,        +4.510343788232e-11,        -1.660596420116e-10,        -6.450212163355e-10,        +3.941184027996e-07,        +4.430940296154e-11,        -3.611582291665e-11,        +4.431583957081e-11,        -1.747074435345e-10,        -7.807429540139e-10,        +3.940657582775e-07,        +3.905535215528e-11,        +2.566445262895e-11,        +4.400875091732e-11,        -1.743489415360e-10,        -1.056677046543e-09,        +3.936628953836e-07,        +3.496305307513e-11,        +1.118726604876e-10,        +4.117612103462e-11,        -1.826077133699e-10,        -1.648960033024e-09,        +3.921534284018e-07,        +3.072869775035e-11,        +1.800104163467e-10,        +4.235194698129e-11,        -1.717519334705e-10,        -2.219762224659e-09,        +3.903795937114e-07,        +2.732090350798e-11,        +2.352539532901e-10,        +4.068819958924e-11,        -1.617719879765e-10,        -2.870122664431e-09,        +3.882704391447e-07,        -2.403731512598e-11,        +1.265346683808e-09,        +8.338308101427e-12,        -8.254856754956e-11,        -2.037469794539e-09,        +1.800109941715e-07
 2.40010000e+00,        +5.226189944676e-11,        -1.749423407335e-10,        +4.485587791979e-11,        -1.458465204340e-10,        -6.503308231318e-10,        +3.936425639602e-07,        +4.664776458808e-11,        -1.079656630214e-10,        +4.513954146554e-11,        -1.663371095424e-10,        -6.410760468407e-10,        +3.943649720661e-07,        +4.435986970977e-11,        -3.641545299988e-11,        +4.435141769777e-11,        -1.749912274477e-10,        -7.768638989223e-10,        +3.943115693042e-07,        +3.910302791971e-11,        +2.540713363604e-11,        +4.404421603813e-11,        -1.746255581009e-10,        -1.052956602835e-09,        +3.939075074439e-07,        +3.500902185966e-11,        +1.116723839818e-10,        +4.120987395114e-11,        -1.828849422210e-10,        -1.645608545349e-09,        +3.923957361095e-07,        +3.077295775479e-11,        +1.798551812380e-10,        +4.238667816775e-11,        -1.720170457430e-10,        -2.216777124380e-09,        +3.906197966207e-07,        +2.736387367516e-11,        +2.351355194193e-10,        +4.072241465654e-11,        -1.620236589665e-10,        -2.867560217823e-09,        +3.885083030919e-07,        -2.402116256723e-11,        +1.264843583840e-09,        +8.346560308343e-12,        -8.273658982098e-11,        -2.036398827447e-09,        +1.800779818914e-07
 2.40012500e+00,        +5.231611625794e-11,        -1.753330599150e-10,        +4.489231910743e-11,        -1.461211568274e-10,        -6.464038998087e-10,        +3.938900961451e-07,        +4.669878826913e-11,        -1.083029290783e-10,        +4.517559395249e-11,        -1.666142878375e-10,        -6.371231512448e-10,        +3.946118520061e-07,        +4.441025589477e-11,        -3.671449882068e-11,        +4.438694458161e-11,        -1.752747365459e-10,        -7.729773661298e-10,        +3.945576904114e-07,        +3.915062112017e-11,        +2.515044664128e-11,        +4.407963078623e-11,        -1.749019055285e-10,        -1.049229063809e-09,        +3.941524285389e-07,        +3.505490831602e-11,        +1.114728011199e-10,        +4.124357551581e-11,        -1.831619231066e-10,        -1.642250670083e-09,        +3.926383505963e-07,        +3.081713496837e-11,        +1.797006864351e-10,        +4.242136004772e-11,        -1.722819123005e-10,        -2.213786271061e-09,        +3.908603041189e-07,        +2.740676204693e-11,        +2.350178478144e-10,        +4.075658047813e-11,        -1.622750877182e-10,        -2.864992725583e-09,        +3.887464691457e-07,        -2.400503846660e-11,        +1.264339662632e-09,        +8.354805898900e-12,        -8.292506094869e-11,        -2.035326194991e-09,        +1.801450512030e-07
 2.40015000e+00,        +5.237025524043e-11,        -1.757233056012e-10,        +4.492870923626e-11,        -1.463954881315e-10,        -6.424691854130e-10,        +3.941379398481e-07,        +4.674973176491e-11,        -1.086396729723e-10,        +4.521159543432e-11,        -1.668911773712e-10,        -6.331625093458e-10,        +3.948590432040e-07,        +4.446056165047e-11,        -3.701296083995e-11,        +4.442242031188e-11,        -1.755579713090e-10,        -7.690833356343e-10,        +3.948041221818e-07,        +3.919813188558e-11,        +2.489439128176e-11,        +4.411499525065e-11,        -1.751779842729e-10,        -1.045494409900e-09,        +3.943976592487e-07,        +3.510071257111e-11,        +1.112739116807e-10,        +4.127722581253e-11,        -1.834386564700e-10,        -1.638886388646e-09,        +3.928812724367e-07,        +3.086122951521e-11,        +1.795469318202e-10,        +4.245599270719e-11,        -1.725465335477e-10,        -2.210789647089e-09,        +3.911011167754e-07,        +2.744956874438e-11,        +2.349009384489e-10,        +4.079069713830e-11,        -1.625262745987e-10,        -2.862420171206e-09,        +3.889849378702e-07,        -2.398894285340e-11,        +1.263834918858e-09,        +8.363044856248e-12,        -8.311398113839e-11,        -2.034251892720e-09,        +1.802122022628e-07
 2.40017500e+00,        +5.242431653291e-11,        -1.761130784690e-10,        +4.496504839873e-11,        -1.466695148219e-10,        -6.385266597290e-10,        +3.943860956567e-07,        +4.680059520792e-11,        -1.089758952543e-10,        +4.524754600192e-11,        -1.671677786171e-10,        -6.291941008849e-10,        +3.951065462461e-07,        +4.451078711041e-11,        -3.731083951578e-11,        +4.445784497782e-11,        -1.758409322155e-10,        -7.651817873781e-10,        +3.950508651997e-07,        +3.924556034452e-11,        +2.463896720002e-11,        +4.415030952019e-11,        -1.754537947864e-10,        -1.041752621490e-09,        +3.946432001547e-07,        +3.514643475138e-11,        +1.110757154379e-10,        +4.131082492512e-11,        -1.837151427515e-10,        -1.635515682406e-09,        +3.931245022069e-07,        +3.090524151899e-11,        +1.793939172766e-10,        +4.249057623192e-11,        -1.728109098878e-10,        -2.207787234805e-09,        +3.913422351614e-07,        +2.749229388795e-11,        +2.347847912916e-10,        +4.082476472110e-11,        -1.627772199727e-10,        -2.859842538147e-09,        +3.892237098312e-07,        -2.397287575710e-11,        +1.263329351185e-09,        +8.371277163539e-12,        -8.330335059774e-11,        -2.033175916176e-09,        +1.802794352273e-07
 2.40020000e+00,        +5.247830027373e-11,        -1.765023791927e-10,        +4.500133668704e-11,        -1.469432373730e-10,        -6.345763024724e-10,        +3.946345641599e-07,        +4.685137873027e-11,        -1.093115964715e-10,        +4.528344574587e-11,        -1.674440920476e-10,        -6.252179055352e-10,        +3.953543617197e-07,        +4.456093240771e-11,        -3.760813530435e-11,        +4.449321866834e-11,        -1.761236197435e-10,        -7.612727012367e-10,        +3.952979200510e-07,        +3.929290662508e-11,        +2.438417403987e-11,        +4.418557368333e-11,        -1.757293375202e-10,        -1.038003678893e-09,        +3.948890518400e-07,        +3.519207498277e-11,        +1.108782121734e-10,        +4.134437293693e-11,        -1.839913823872e-10,        -1.632138532674e-09,        +3.933680404842e-07,        +3.094917110293e-11,        +1.792416426885e-10,        +4.252511070739e-11,        -1.730750417220e-10,        -2.204779016490e-09,        +3.915836598495e-07,        +2.753493759789e-11,        +2.346694063157e-10,        +4.085878331026e-11,        -1.630279242022e-10,        -2.857259809806e-09,        +3.894627855956e-07,        -2.395683720737e-11,        +1.262822958282e-09,        +8.379502803883e-12,        -8.349316953639e-11,        -2.032098260879e-09,        +1.803467502536e-07
 2.40022500e+00,        +5.253220660083e-11,        -1.768912084452e-10,        +4.503757419315e-11,        -1.472166562573e-10,        -6.306180932935e-10,        +3.948833459484e-07,        +4.690208246370e-11,        -1.096467771702e-10,        +4.531929475656e-11,        -1.677201181335e-10,        -6.212339029046e-10,        +3.956024902138e-07,        +4.461099767511e-11,        -3.790484865908e-11,        +4.452854147220e-11,        -1.764060343693e-10,        -7.573560570217e-10,        +3.955452873228e-07,        +3.934017085497e-11,        +2.413001144920e-11,        +4.422078782836e-11,        -1.760046129247e-10,        -1.034247562366e-09,        +3.951352148889e-07,        +3.523763339094e-11,        +1.106814016715e-10,        +4.137786993119e-11,        -1.842673758205e-10,        -1.628754920698e-09,        +3.936118878479e-07,        +3.099301838994e-11,        +1.790901079495e-10,        +4.255959621884e-11,        -1.733389294525e-10,        -2.201764974370e-09,        +3.918253914138e-07,        +2.757749999395e-11,        +2.345547835009e-10,        +4.089275298933e-11,        -1.632783876517e-10,        -2.854671969530e-09,        +3.897021657320e-07,        -2.394082723409e-11,        +1.262315738809e-09,        +8.387721760356e-12,        -8.368343816619e-11,        -2.031018922337e-09,        +1.804141474992e-07
