        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        -6.963606454676e-04,        -1.042305244976e-03
 2.00e+00,        +3.826618733140e-03,        +2.265034618327e-02
 3.00e+00,        -3.431107887288e-04,        +1.767230118077e-02
 4.00e+00,        -7.263075477306e-03,        +4.676315654693e-03
 5.00e+00,        +3.363296932254e-03,        +4.679096788830e-02
 6.00e+00,        -7.574992351029e-07,        +2.454191953634e-06
 7.00e+00,        +5.089835875151e-06,        -1.497512669818e-05
 8.00e+00,        +1.210965383644e-05,        -3.835245535876e-05
