        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m)
 1.00e+00,        -2.812832126781e-01,        +2.674330889643e-01,        -7.181439455584e-02,        +8.304765784295e-02,        -1.235530985696e-02,        -1.563446026694e-02,        -3.715561457420e-01,        +1.845005106867e-01,        -1.023156914648e-01,        +4.675955574793e-02,        +5.435647251962e-03,        +6.654378744982e-02,        -5.533634695380e-01,        -1.161691854618e-01,        -1.572656279936e-01,        -3.955575363771e-02,        -5.169710563424e-02,        +1.544474404908e-01,        -5.295302866798e-01,        -8.539800365627e-01,        -1.628484714586e-01,        -2.590131083051e-01,        -2.045926159691e-01,        +1.204607665790e-01,        -5.609941169709e-02,        -1.830808693959e+00,        +1.461674580402e-01,        -5.508919973014e-01,        -5.438580860077e-01,        -1.603060660260e-02,        -2.780354884371e+02,        +9.479496155562e+00,        -3.044392934853e+01,        +1.362555237569e+00,        +1.680647354413e+00,        -2.088662075231e-01,        -2.074900804034e+00,        -2.860949119884e-01,        -3.430927675645e+01,        +9.156248777620e-01,        -3.664449817098e+00,        -1.681391511375e+00
 2.00e+00,        +8.345441974901e-02,        -6.822432365087e-02,        -2.959292079978e-01,        +2.499957498303e-01,        +4.724536893354e-03,        +5.618945082596e-03,        +1.028989128616e-01,        -5.094355680789e-02,        -3.829730079328e-01,        +1.410713847993e-01,        -2.042868575795e-03,        -1.785753985812e-02,        +1.434172681100e-01,        +6.103078873999e-02,        -5.491143783565e-01,        -2.609743741682e-01,        +1.743179976629e-02,        -5.735677562708e-02,        +1.698629170553e-01,        +2.383762751748e-01,        -3.979224122940e-01,        -1.084967828762e+00,        +5.790525776568e-02,        -3.656097002002e-02,        +1.121313098311e-04,        +4.980615780034e-01,        +6.664857955717e-01,        -2.095093488729e+00,        +1.509423142339e-01,        +2.594550500400e-03,        +7.743724001865e+01,        +3.906206624851e-01,        -1.038605338042e+02,        -6.486391624137e+00,        -3.305137865855e-01,        +3.817032345587e-02,        +7.839672084545e-01,        +1.150222252433e-01,        -1.172719278159e+02,        -9.339760626178e+00,        +1.222622497843e+00,        +5.205707998551e-01
 3.00e+00,        +1.857561539622e-03,        -4.061752128528e-03,        +2.329285838669e-01,        +1.120289332134e-01,        -2.897746994928e-03,        +7.286349817697e-04,        -6.750734332098e-03,        +5.269413836154e-03,        +2.284072193144e+00,        +2.273722454940e+00,        +1.036061967321e-02,        -1.232421913362e-02,        +1.180334057545e-01,        -4.148751332200e-02,        +2.577348059736e+00,        +6.756027982173e+00,        -3.929930241281e-02,        +4.928326730245e-03,        -1.448906171246e-01,        -1.626270664226e-01,        -3.538568918696e+00,        +1.385244098970e+01,        -1.467214787145e-02,        +2.136850079506e-02,        -9.178318385199e-03,        -5.049506656234e-02,        -2.099218981536e+01,        +1.694152561460e+01,        +3.674713052204e-02,        +4.055418288177e-02,        +4.183819801287e-01,        -6.200467725970e-02,        -7.276442031686e+01,        +1.154410978189e+01,        +2.029166015916e-02,        +1.249021614443e-02,        -6.426679377413e-03,        -5.882949633223e-03,        -3.176224169987e+02,        +4.538988571989e-01,        -4.153180593986e-02,        -2.728529378025e-03
 4.00e+00,        +3.282789331693e-04,        +2.387571567308e-04,        -1.598768977837e-04,        +1.740388731450e-04,        +1.318214127356e-03,        -9.105630825461e-04,        +1.151156328118e-04,        -2.567418391221e-05,        -1.997742460664e-03,        -1.111400799012e-03,        +1.978325685595e-03,        +5.269850558359e-05,        +5.129006150575e-04,        +1.358013611081e-03,        -5.785799238522e-03,        -7.536804335003e-03,        +2.391336357290e-03,        +1.852591192913e-03,        +2.429900792236e-03,        +1.361871791854e-03,        -2.856894276829e-03,        -2.701707675278e-02,        +1.126276160061e-04,        +5.988439531071e-03,        +3.230400514592e-06,        +4.128422186479e-03,        +3.013021390797e-02,        -6.043951438646e-02,        -7.573505968087e-03,        +9.702607327132e-03,        +1.359585218630e+00,        -1.073804226613e-02,        -1.054470617758e+01,        -9.411199065249e-03,        -4.225572021631e-02,        +7.134961217977e-03,        +2.103266362377e+01,        -1.765152008168e-02,        -1.677404768793e+02,        +7.051065248442e-03,        +4.796600599950e-01,        -4.851708916081e-04
