        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +7.020971953709e+02,        -3.478249065256e-03
 2.00e+00,        +1.985013506122e+05,        +1.291128121371e-05
 3.00e+00,        +2.395770082128e+03,        -1.081874282990e-03
 4.00e+00,        +1.024827182810e+02,        +2.552279013824e-02
 5.00e+00,        +2.206804086400e+07,        -1.216014189167e-07
 6.00e+00,        +2.806723470384e+06,        -9.561096403378e-07
