        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.10e+01,        +4.087207877788e-10,        +4.087207875441e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163170810434e-12,        +5.292539247123e-03,        +7.056940918714e-12,        +1.726592122000e-02,        +2.163170810434e-12,        +5.292539247123e-03,        +7.056940918714e-12,        +1.726592122000e-02,        +9.031963386466e-12,        +2.209812580258e-02,        +6.053035424360e-12,        +1.480970777320e-02,        +3.870737866520e-10,        +9.470371907326e-01,        +3.338580860249e-10,        +8.168365696076e-01,        +1.003648270599e-11,        +2.455584106826e-02,        +5.689424785540e-11,        +1.392007688115e-01,        +4.153842238697e-13,        +1.016303149461e-03,        +4.858477320794e-12,        +1.188703258767e-02
 1.20e+01,        +4.087207877788e-10,        +4.087207876374e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163294548300e-12,        +5.292841991367e-03,        +7.058812776870e-12,        +1.727050101286e-02,        +2.163294548300e-12,        +5.292841991367e-03,        +7.058812776870e-12,        +1.727050101286e-02,        +9.033490971196e-12,        +2.210186328004e-02,        +6.054207492029e-12,        +1.481257541860e-02,        +3.870748722875e-10,        +9.470398469113e-01,        +3.338670509879e-10,        +8.168585036201e-01,        +1.003384825675e-11,        +2.454939547185e-02,        +5.688025846599e-11,        +1.391665415277e-01,        +4.152817150637e-13,        +1.016052345467e-03,        +4.860457914601e-12,        +1.189187842071e-02
 1.30e+01,        +4.087207877788e-10,        +4.087207882282e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.861413365533e-13,        +7.000900005805e-04,        +1.207824483885e-11,        +2.955133476623e-02,        +2.861413365533e-13,        +7.000900005805e-04,        +1.207824483885e-11,        +2.955133476623e-02,        +3.533935301565e-12,        +8.646331205149e-03,        +4.689555112598e-12,        +1.147373769004e-02,        +4.040292286931e-10,        +9.885213592605e-01,        +3.629988278177e-10,        +8.881339982516e-01,        +8.415493216307e-13,        +2.058983410666e-03,        +2.752072600705e-11,        +6.733380537446e-02,        +2.993312594468e-14,        +7.323612314253e-05,        +1.433434452059e-12,        +3.507123917707e-03
 1.40e+01,        +4.087207877788e-10,        +4.087207876118e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.776212153827e-16,        +4.345783740239e-07,        +3.232114204042e-16,        +7.907878194617e-07,        +1.776212153827e-16,        +4.345783740239e-07,        +3.232114204042e-16,        +7.907878194617e-07,        +1.423355865337e-15,        +3.482465066366e-06,        +9.849167771760e-16,        +2.409754548896e-06,        +4.078680298813e-10,        +9.979135930372e-01,        +3.835955659729e-10,        +9.385271745395e-01,        +8.511306263833e-13,        +2.082425586936e-03,        +2.512375543003e-11,        +6.146923814868e-02,        +2.629400918046e-17,        +6.433244886652e-08,        +1.580807108289e-16,        +3.867694416830e-07
 1.50e+01,        +4.087207877788e-10,        +4.087207874684e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.708369941079e-16,        +4.179797045224e-07,        +3.235385774092e-16,        +7.915882610550e-07,        +1.708369941079e-16,        +4.179797045224e-07,        +3.235385774092e-16,        +7.915882610550e-07,        +1.407796464547e-15,        +3.444396533384e-06,        +9.824572493820e-16,        +2.403736926294e-06,        +4.078679029922e-10,        +9.979132825829e-01,        +3.835739640537e-10,        +9.384743223595e-01,        +8.512804498029e-13,        +2.082792153610e-03,        +2.514536132844e-11,        +6.152210041527e-02,        +2.570330775755e-17,        +6.288720448313e-08,        +1.560904670490e-16,        +3.818999958770e-07
 1.60e+01,        +4.087207877788e-10,        +4.087207885867e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.101529197921e-12,        +2.226832955423e-02,        +2.600835149077e-13,        +6.363354205863e-04,        +9.101529197921e-12,        +2.226832955423e-02,        +2.600835149077e-13,        +6.363354205863e-04,        +6.426059043513e-11,        +1.572236900021e-01,        +5.115075852145e-12,        +1.251484141492e-02,        +3.206334377314e-10,        +7.844803771149e-01,        +3.426443528823e-10,        +8.383335578969e-01,        +1.059459897485e-11,        +2.592136072262e-02,        +5.976331794084e-11,        +1.462204018237e-01,        +4.130631439468e-12,        +1.010624260615e-02,        +9.379583965212e-13,        +2.294863443977e-03
 1.70e+01,        +4.087207877788e-10,        +4.087207874207e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.582917629283e-14,        +6.319516174648e-05,        +1.969768429815e-13,        +4.819349762574e-04,        +2.582917629283e-14,        +6.319516174648e-05,        +1.969768429815e-13,        +4.819349762574e-04,        +2.367192969397e-13,        +5.791711701921e-04,        +3.375900253547e-13,        +8.259673492144e-04,        +3.949011597245e-10,        +9.661880959629e-01,        +3.455038383206e-10,        +8.453297433216e-01,        +1.355182454112e-11,        +3.315668041933e-02,        +6.256792559009e-11,        +1.530823180904e-01,        +5.255039976503e-15,        +1.285728578931e-05,        +1.144566417211e-13,        +2.800362625141e-04
 1.80e+01,        +4.087207877788e-10,        +4.087207877015e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.578612365816e-14,        +6.308982667187e-05,        +1.970594565458e-13,        +4.821371030673e-04,        +2.578612365816e-14,        +6.308982667187e-05,        +1.970594565458e-13,        +4.821371030673e-04,        +2.367588972046e-13,        +5.792680584985e-04,        +3.379281258652e-13,        +8.267945649780e-04,        +3.949261613778e-10,        +9.662492664591e-01,        +3.455964496981e-10,        +8.455563311120e-01,        +1.352682328286e-11,        +3.309551088990e-02,        +6.247469950759e-11,        +1.528542256412e-01,        +5.258097216568e-15,        +1.286476581028e-05,        +1.146509134236e-13,        +2.805115787438e-04
 1.90e+01,        +4.087207877788e-10,        +4.087207875565e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.266426589841e-17,        +2.022511904708e-07,        +5.056259804110e-15,        +1.237093868980e-05,        +8.266426589841e-17,        +2.022511904708e-07,        +5.056259804110e-15,        +1.237093868980e-05,        +2.593589234229e-15,        +6.345625942650e-06,        +1.142546068230e-14,        +2.795419521138e-05,        +3.975781038256e-10,        +9.727376627606e-01,        +3.720678648723e-10,        +9.103228321139e-01,        +1.113998476927e-11,        +2.725573325940e-02,        +3.663502831357e-11,        +8.963338648027e-02,        +2.293041606133e-17,        +5.610288673093e-08,        +1.412650177852e-15,        +3.456271911926e-06
 2.00e+01,        +4.087207877788e-10,        +4.087207879812e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.195869620996e-17,        +2.249914830849e-07,        +5.034899169724e-15,        +1.231867650919e-05,        +9.195869620996e-17,        +2.249914830849e-07,        +5.034899169724e-15,        +1.231867650919e-05,        +2.683678277042e-15,        +6.566043023226e-06,        +1.144456247031e-14,        +2.800093072544e-05,        +3.975920962787e-10,        +9.727718975085e-01,        +3.720774098010e-10,        +9.103461843445e-01,        +1.112588698528e-11,        +2.722124080290e-02,        +3.662547753206e-11,        +8.961001889079e-02,        +2.887778802985e-17,        +7.065407215225e-08,        +1.421186549210e-15,        +3.477157489909e-06
 2.10e+01,        +4.087207877788e-10,        +4.087207874924e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.560970676447e-12,        +1.115913555861e-02,        +3.430512239693e-12,        +8.393290345569e-03,        +4.560970676447e-12,        +1.115913555861e-02,        +3.430512239693e-12,        +8.393290345569e-03,        +1.237155719275e-11,        +3.026896982652e-02,        +4.106233643244e-12,        +1.004654954899e-02,        +3.898219103495e-10,        +9.537609096616e-01,        +3.793224033076e-10,        +9.280722070313e-01,        +1.165547756163e-12,        +2.851696784246e-03,        +1.840481124163e-11,        +4.503027936149e-02,        +8.008018039341e-13,        +1.959288169036e-03,        +3.456827060187e-12,        +8.457673712647e-03
 2.20e+01,        +4.087207877788e-10,        +4.087207880175e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.570722440008e-12,        +1.118299478930e-02,        +3.451454343591e-12,        +8.444528501554e-03,        +4.570722440008e-12,        +1.118299478930e-02,        +3.451454343591e-12,        +8.444528501554e-03,        +1.241021310215e-11,        +3.036354761791e-02,        +4.120816183991e-12,        +1.008222802657e-02,        +3.897653759053e-10,        +9.536225892094e-01,        +3.792636372942e-10,        +9.279284254999e-01,        +1.171579121083e-12,        +2.866453471697e-03,        +1.841753470423e-11,        +4.506140926564e-02,        +8.028972102407e-13,        +1.964414911715e-03,        +3.467345491551e-12,        +8.483408706390e-03
