        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41000000e+00,        +9.553396927584e-11,        +7.846068062300e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.224360815677e-13,        +2.328345438317e-03,        +9.301921286072e-13,        +1.185551949360e-02,        +2.224360815677e-13,        +2.328345438317e-03,        +9.301921286072e-13,        +1.185551949360e-02,        +1.344963030713e-13,        +1.407837485356e-03,        +5.657177311652e-13,        +7.210206777118e-03,        +9.508802003766e-11,        +9.953320348609e-01,        +7.636115972760e-11,        +9.732411077915e-01,        +8.901685353587e-14,        +9.317822153798e-04,        +6.036110356267e-13,        +7.693165937816e-03
 2.41000500e+00,        +9.554579303473e-11,        +7.847219086863e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.224964309757e-13,        +2.328688934476e-03,        +9.304045294599e-13,        +1.185648723657e-02,        +2.224964309757e-13,        +2.328688934476e-03,        +9.304045294599e-13,        +1.185648723657e-02,        +1.345302615059e-13,        +1.408018681231e-03,        +5.658481350017e-13,        +7.210810973138e-03,        +9.509972985447e-11,        +9.953314199811e-01,        +7.637218459542e-11,        +9.732388474188e-01,        +8.903648777311e-14,        +9.318724032229e-04,        +6.037536087520e-13,        +7.693854371451e-03
 2.41001000e+00,        +9.555762144446e-11,        +7.848370572003e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.225568060710e-13,        +2.329032501090e-03,        +9.306170121042e-13,        +1.185745504199e-02,        +2.225568060710e-13,        +2.329032501090e-03,        +9.306170121042e-13,        +1.185745504199e-02,        +1.345642339973e-13,        +1.408199910831e-03,        +5.659785892765e-13,        +7.211415211400e-03,        +9.511144427461e-11,        +9.953308049833e-01,        +7.638321388118e-11,        +9.732365868866e-01,        +8.905612978935e-14,        +9.319626047945e-04,        +6.038962374719e-13,        +7.694542859968e-03
 2.41001500e+00,        +9.556945450810e-11,        +7.849522518022e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.226172068718e-13,        +2.329376138198e-03,        +9.308295765916e-13,        +1.185842290986e-02,        +2.226172068718e-13,        +2.329376138198e-03,        +9.308295765916e-13,        +1.185842290986e-02,        +1.345982205553e-13,        +1.408381174174e-03,        +5.661090940217e-13,        +7.212019491911e-03,        +9.512316330108e-11,        +9.953301898675e-01,        +7.639424758778e-11,        +9.732343261948e-01,        +8.907577959001e-14,        +9.320528201033e-04,        +6.040389218224e-13,        +7.695231403382e-03
 2.41002000e+00,        +9.558129222869e-11,        +7.850674925224e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.226776333962e-13,        +2.329719845840e-03,        +9.310422229736e-13,        +1.185939084017e-02,        +2.226776333962e-13,        +2.329719845840e-03,        +9.310422229736e-13,        +1.185939084017e-02,        +1.346322211896e-13,        +1.408562471278e-03,        +5.662396492695e-13,        +7.212623814677e-03,        +9.513488693693e-11,        +9.953295746337e-01,        +7.640528571816e-11,        +9.732320653434e-01,        +8.909543718054e-14,        +9.321430491582e-04,        +6.041816618396e-13,        +7.695920001711e-03
 2.41002500e+00,        +9.559313460931e-11,        +7.851827793914e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.227380856623e-13,        +2.330063624052e-03,        +9.312549513017e-13,        +1.186035883293e-02,        +2.227380856623e-13,        +2.330063624052e-03,        +9.312549513017e-13,        +1.186035883293e-02,        +1.346662359100e-13,        +1.408743802161e-03,        +5.663702550522e-13,        +7.213228179701e-03,        +9.514661518517e-11,        +9.953289592818e-01,        +7.641632827522e-11,        +9.732298043324e-01,        +8.911510256638e-14,        +9.322332919680e-04,        +6.043244575599e-13,        +7.696608654973e-03
 2.41003000e+00,        +9.560498165301e-11,        +7.852981124396e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.227985636883e-13,        +2.330407472876e-03,        +9.314677616278e-13,        +1.186132688813e-02,        +2.227985636883e-13,        +2.330407472876e-03,        +9.314677616278e-13,        +1.186132688813e-02,        +1.347002647264e-13,        +1.408925166842e-03,        +5.665009114020e-13,        +7.213832586992e-03,        +9.515834804884e-11,        +9.953283438117e-01,        +7.642737526191e-11,        +9.732275431617e-01,        +8.913477575298e-14,        +9.323235485415e-04,        +6.044673090195e-13,        +7.697297363184e-03
 2.41003500e+00,        +9.561683336286e-11,        +7.854134916976e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.228590674925e-13,        +2.330751392349e-03,        +9.316806540034e-13,        +1.186229500578e-02,        +2.228590674925e-13,        +2.330751392349e-03,        +9.316806540034e-13,        +1.186229500578e-02,        +1.347343076485e-13,        +1.409106565339e-03,        +5.666316183512e-13,        +7.214437036553e-03,        +9.517008553097e-11,        +9.953277282234e-01,        +7.643842668115e-11,        +9.732252818313e-01,        +8.915445674580e-14,        +9.324138188876e-04,        +6.046102162546e-13,        +7.697986126362e-03
 2.41004000e+00,        +9.562868974194e-11,        +7.855289171959e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.229195970930e-13,        +2.331095382510e-03,        +9.318936284803e-13,        +1.186326318586e-02,        +2.229195970930e-13,        +2.331095382510e-03,        +9.318936284803e-13,        +1.186326318586e-02,        +1.347683646863e-13,        +1.409287997670e-03,        +5.667623759321e-13,        +7.215041528391e-03,        +9.518182763461e-11,        +9.953271125168e-01,        +7.644948253588e-11,        +9.732230203412e-01,        +8.917414555031e-14,        +9.325041030150e-04,        +6.047531793015e-13,        +7.698674944523e-03
 2.41004500e+00,        +9.564055079333e-11,        +7.856443889651e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.229801525080e-13,        +2.331439443400e-03,        +9.321066851103e-13,        +1.186423142840e-02,        +2.229801525080e-13,        +2.331439443400e-03,        +9.321066851103e-13,        +1.186423142840e-02,        +1.348024358494e-13,        +1.409469463854e-03,        +5.668931841771e-13,        +7.215646062512e-03,        +9.519357436280e-11,        +9.953264966918e-01,        +7.646054282903e-11,        +9.732207586914e-01,        +8.919384217199e-14,        +9.325944009328e-04,        +6.048961981966e-13,        +7.699363817686e-03
