        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.927858307047e+03,        +1.266547644152e-03
 2.00e+00,        +1.062859787225e+03,        -2.442096369476e-03
 3.00e+00,        +2.952904299968e+05,        -8.801621431653e-06
 4.00e+00,        +1.961193413175e+02,        -1.338483188110e-02
 5.00e+00,        +4.447135626154e+06,        -6.075068789322e-07
 6.00e+00,        +1.660975417753e+07,        -1.626663133655e-07
 7.00e+00,        +3.693408652114e+10,        -7.417889058686e-11
 8.00e+00,        +7.531866793662e+04,        +3.716980265913e-05
