        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +2.352805350049e+05,        -1.014634528815e-05
 2.00e+00,        +1.494053491611e+02,        +1.599582821713e-02
 3.00e+00,        +3.218113393963e+02,        +7.625151013725e-03
 4.00e+00,        +4.340507170664e+03,        -6.000570062435e-04
 5.00e+00,        +4.943882349471e+01,        +5.337002283301e-02
 6.00e+00,        +1.333817639262e+08,        +2.061833366255e-08
 7.00e+00,        +1.169538426109e+08,        -2.351791194824e-08
 8.00e+00,        +1.176341983099e+09,        +2.375758946010e-09
