        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.002488890778e+05,        +2.433127620803e-05
 2.00e+00,        +1.622606360362e+09,        -1.601080855914e-09
 3.00e+00,        +1.766906055268e+06,        +1.474621996853e-06
 4.00e+00,        +1.667060229070e+04,        -1.563377297494e-04
 5.00e+00,        +2.438525058808e+08,        -1.107747012450e-08
 6.00e+00,        +4.288748238920e+08,        -6.299050709492e-09
 7.00e+00,        +1.033683614018e+10,        -2.650292423048e-10
 8.00e+00,        +8.075545911043e+09,        -3.465742796476e-10
