        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +7.515687079091e+04,        -3.176252067029e-05
 2.00e+00,        +4.640032562696e+02,        +5.147330973047e-03
 3.00e+00,        +7.193353319009e+02,        +3.410653825646e-03
 4.00e+00,        +2.181952392122e+03,        -1.192528243340e-03
 5.00e+00,        +1.109690317375e+02,        +2.366060574670e-02
 6.00e+00,        +9.219775549030e+08,        +2.971861514296e-09
 7.00e+00,        +3.160046296005e+09,        +8.671448791983e-10
 8.00e+00,        +1.906506194332e+09,        -1.442534423486e-09
