        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +2.654974420052e-03,        +1.588946177597e-03
 2.00e+00,        +7.175419916549e-05,        +3.885358069840e-05
 3.00e+00,        -2.204640803933e-04,        +1.938377097162e-05
 4.00e+00,        -4.791533213763e-05,        -8.569429495138e-03
 5.00e+00,        +8.791389965670e-05,        +5.449051202064e-05
 6.00e+00,        +3.703158342563e-06,        +2.320543557017e-06
 7.00e+00,        +1.376579567369e-06,        +6.567491361436e-07
 8.00e+00,        -9.175816333914e-06,        -3.155496788383e-06
