        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.458867882442e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.011779422593e-12,        +8.706931109478e-03,        +3.976422006943e-12,        +1.149631076437e-02,        +3.011779422593e-12,        +8.706931109478e-03,        +3.976422006943e-12,        +1.149631076437e-02,        +1.325554137148e-12,        +3.832122786767e-03,        +2.594050834185e-12,        +7.499710663578e-03,        +3.411382749538e-10,        +9.862167981318e-01,        +3.363026973969e-10,        +9.722912491227e-01,        +4.303582069713e-13,        +1.244147971923e-03,        +3.013618006084e-12,        +8.712729449373e-03
 1.20e+01,        +3.459059667205e-10,        +3.458867838222e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.012643413466e-12,        +8.709428871751e-03,        +3.976084977449e-12,        +1.149533651882e-02,        +3.012643413466e-12,        +8.709428871751e-03,        +3.976084977449e-12,        +1.149533651882e-02,        +1.325910251339e-12,        +3.833152298326e-03,        +2.594200454672e-12,        +7.500143330152e-03,        +3.411369429873e-10,        +9.862129474711e-01,        +3.363021076897e-10,        +9.722895566387e-01,        +4.304700684199e-13,        +1.244471358795e-03,        +3.014390700404e-12,        +8.714963512320e-03
 1.30e+01,        +3.459059667205e-10,        +3.458965023982e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.580636821407e-13,        +4.569556392431e-04,        +6.470877108039e-12,        +1.870755287542e-02,        +1.580636821407e-13,        +4.569556392431e-04,        +6.470877108039e-12,        +1.870755287542e-02,        +1.589761506389e-13,        +4.595935483453e-04,        +2.775087017482e-12,        +8.022882562390e-03,        +3.455679833288e-10,        +9.990229038404e-01,        +3.357616651515e-10,        +9.706997984182e-01,        +2.094355889443e-14,        +6.054697203693e-05,        +8.888731211853e-13,        +2.569766143984e-03
 1.40e+01,        +3.459059667205e-10,        +3.458937266648e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385036982983e-11,        +4.004085260841e-02,        +3.605765776566e-13,        +1.042449023674e-03,        +1.385036982983e-11,        +4.004085260841e-02,        +3.605765776566e-13,        +1.042449023674e-03,        +6.814422567828e-12,        +1.970021688968e-02,        +4.424246743953e-13,        +1.279076896425e-03,        +3.200113046590e-10,        +9.251395912393e-01,        +3.449545724428e-10,        +9.972848474848e-01,        +5.229869663793e-12,        +1.511933926257e-02,        +1.361529699043e-13,        +3.936265951311e-04
 1.50e+01,        +3.459059667205e-10,        +3.458912618212e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.016458321917e-16,        +2.317525308372e-06,        +2.262119570044e-16,        +6.539973164207e-07,        +8.016458321917e-16,        +2.317525308372e-06,        +2.262119570044e-16,        +6.539973164207e-07,        +1.484338268225e-15,        +4.291161214414e-06,        +6.510893258658e-16,        +1.882352628504e-06,        +3.459035746791e-10,        +9.999930847063e-01,        +3.458902143150e-10,        +9.999969715736e-01,        +1.060572600318e-16,        +3.066072003247e-07,        +1.702049290082e-16,        +4.920764060706e-07
 1.60e+01,        +3.459059667205e-10,        +3.458912615680e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.016233747892e-16,        +2.317460384940e-06,        +2.262906166411e-16,        +6.542247283591e-07,        +8.016233747892e-16,        +2.317460384940e-06,        +2.262906166411e-16,        +6.542247283591e-07,        +1.485059831888e-15,        +4.293247225446e-06,        +6.513357765544e-16,        +1.883065139032e-06,        +3.459035739897e-10,        +9.999930827133e-01,        +3.458902137039e-10,        +9.999969705389e-01,        +1.060475340786e-16,        +3.065790829919e-07,        +1.702377318908e-16,        +4.921712422543e-07
 1.70e+01,        +3.459059667205e-10,        +3.458883623586e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.619162870203e-14,        +1.913572909123e-04,        +1.231997320948e-13,        +3.561835132432e-04,        +6.619162870203e-14,        +1.913572909123e-04,        +1.231997320948e-13,        +3.561835132432e-04,        +6.924328842312e-14,        +2.001795143334e-04,        +1.937157968617e-13,        +5.600529475485e-04,        +3.457610261246e-10,        +9.995809826664e-01,        +3.454779801132e-10,        +9.988135413327e-01,        +9.505678731925e-15,        +2.748052837032e-05,        +9.346671647547e-14,        +2.702222064892e-04
 1.80e+01,        +3.459059667205e-10,        +3.458883625210e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.617014678844e-14,        +1.912951875789e-04,        +1.231918038234e-13,        +3.561605916009e-04,        +6.617014678844e-14,        +1.912951875789e-04,        +1.231918038234e-13,        +3.561605916009e-04,        +6.922840018459e-14,        +2.001364730448e-04,        +1.937247758171e-13,        +5.600789063996e-04,        +3.457610577958e-10,        +9.995810742266e-01,        +3.454779611662e-10,        +9.988134860859e-01,        +9.510377665714e-15,        +2.749411279569e-05,        +9.348477523223e-14,        +2.702744161465e-04
 1.90e+01,        +3.459059667205e-10,        +3.458945720981e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.336076720911e-17,        +1.253542042660e-07,        +3.571403876933e-15,        +1.032512263858e-05,        +4.336076720911e-17,        +1.253542042660e-07,        +3.571403876933e-15,        +1.032512263858e-05,        +1.495162220771e-16,        +4.322452818454e-07,        +7.953403317307e-15,        +2.299372108983e-05,        +3.459057580568e-10,        +9.999993967618e-01,        +3.458816986174e-10,        +9.999627820680e-01,        +1.578669428047e-17,        +4.563868738705e-08,        +1.348673471260e-15,        +3.899088277331e-06
 2.00e+01,        +3.459059667205e-10,        +3.458945692494e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.180669012320e-17,        +1.208614309824e-07,        +3.572640985963e-15,        +1.032869927306e-05,        +4.180669012320e-17,        +1.208614309824e-07,        +3.572640985963e-15,        +1.032869927306e-05,        +1.489471263138e-16,        +4.306000492734e-07,        +7.956561046264e-15,        +2.300285044524e-05,        +3.459057603786e-10,        +9.999994034741e-01,        +3.458816912846e-10,        +9.999627691037e-01,        +1.558803981472e-17,        +4.506438545281e-08,        +1.348762806510e-15,        +3.899346582507e-06
 2.10e+01,        +3.459059667205e-10,        +3.458916943980e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.180348999185e-16,        +1.208521795336e-06,        +1.012263574549e-16,        +2.926533336716e-07,        +4.180348999185e-16,        +1.208521795336e-06,        +1.012263574549e-16,        +2.926533336716e-07,        +1.976560317184e-16,        +5.714155022890e-07,        +7.768872715635e-17,        +2.246041995647e-07,        +3.459052969879e-10,        +9.999980638304e-01,        +3.458914483807e-10,        +9.999992887445e-01,        +5.404169175599e-17,        +1.562323202122e-07,        +6.710228027942e-17,        +1.939979518624e-07
 2.20e+01,        +3.459059667205e-10,        +3.458887856641e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.645446254893e-12,        +2.210267237475e-02,        +2.824161889928e-13,        +8.164942047792e-04,        +7.645446254893e-12,        +2.210267237475e-02,        +2.824161889928e-13,        +8.164942047792e-04,        +4.853422041791e-12,        +1.403104458650e-02,        +4.423812105104e-13,        +1.278969509408e-03,        +3.276912457039e-10,        +9.473419866409e-01,        +3.449497252932e-10,        +9.972850800320e-01,        +5.715852719879e-12,        +1.652429639786e-02,        +2.142629714036e-13,        +6.194562538135e-04
