        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106472372276e+00,        +1.752759430844e-05,        +3.156372611506e+04,        +6.829273247506e-13,        +8.662517411580e-09
 2.00e+00,        +1.763007726711e+00,        +2.214047874606e-05,        +3.981412839060e+04,        +7.751001019107e-13,        +9.834959943305e-09
 3.00e+00,        +1.763010719767e+00,        +2.213011260114e-05,        +3.983284567234e+04,        +3.306369637495e-13,        +4.195330760923e-09
 4.00e+00,        +1.893310755202e+00,        +2.632812493993e-05,        +3.595605003594e+04,        +3.610852007916e-13,        +4.582064470336e-09
 5.00e+00,        +1.893311493051e+00,        +2.632556375450e-05,        +3.595956217481e+04,        +5.672128275825e-13,        +7.197763131735e-09
 6.00e+00,        +2.022690487211e+00,        +3.649210597785e-05,        +2.771408272200e+04,        +2.676317242094e-14,        +3.396472701277e-10
 7.00e+00,        +2.200480187586e+00,        +2.900033931896e-05,        +3.793886967279e+04,        +1.775878096477e-13,        +2.254039494458e-09
 8.00e+00,        +2.200481458943e+00,        +2.900146128199e-05,        +3.793742387216e+04,        +1.913391517943e-13,        +2.428578888742e-09
 9.00e+00,        +2.363022563002e+00,        +2.563601309455e-05,        +4.608794968284e+04,        +7.523343505526e-13,        +9.550286274626e-09
 1.00e+01,        +2.363035487347e+00,        +2.563727793347e-05,        +4.608592795262e+04,        +1.916184211030e-14,        +2.432443494707e-10
 1.10e+01,        +2.444403222469e+00,        +4.008695709611e-05,        +3.048875993427e+04,        +1.333884594363e-13,        +1.693377883379e-09
 1.20e+01,        +2.444417705496e+00,        +4.008694275748e-05,        +3.048895148494e+04,        +7.803715259638e-13,        +9.906883287058e-09
 1.30e+01,        +2.444500418568e+00,        +1.979747533283e-05,        +6.173768062725e+04,        +2.263632230518e-13,        +2.873700689271e-09
 1.40e+01,        +2.540042188823e+00,        +2.658901521044e-05,        +4.776487900847e+04,        +4.759239675658e-13,        +6.042406108683e-09
