        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40025000e+00,        +5.862022799796e-11,        +1.724836951662e-10,        +6.763857188555e-11,        +1.572079554098e-10,        -1.065008933104e-07,        -1.133823852352e-07,        +2.447302931311e-11,        +1.278125965076e-10,        +6.625098241334e-11,        +1.558354430055e-10,        -1.061072079841e-07,        -1.133286940177e-07,        -2.188888025589e-11,        +6.013668326011e-11,        +5.958196482187e-11,        +1.469544614547e-10,        -1.035514510344e-07,        -1.125588936106e-07,        -1.903589921102e-10,        -2.040213160804e-10,        +1.810774160988e-10,        +2.191836129543e-10,        -4.521986545235e-08,        -5.003412756869e-08
 2.40027500e+00,        +5.865043637831e-11,        +1.725430752994e-10,        +6.767936081700e-11,        +1.572734718296e-10,        -1.065766275743e-07,        -1.134591683911e-07,        +2.447844743548e-11,        +1.278415799695e-10,        +6.628975737850e-11,        +1.558992392112e-10,        -1.061822770728e-07,        -1.134051482857e-07,        -2.191521013682e-11,        +6.012419018870e-11,        +5.961687842938e-11,        +1.470147840489e-10,        -1.036239387507e-07,        -1.126342192192e-07,        -1.902791104138e-10,        -2.039314041451e-10,        +1.811799786364e-10,        +2.192994350324e-10,        -4.524109291211e-08,        -5.005604021135e-08
 2.40030000e+00,        +5.868059206067e-11,        +1.726023699127e-10,        +6.772013458515e-11,        +1.573389531757e-10,        -1.066524618453e-07,        -1.135360501931e-07,        +2.448377851443e-11,        +1.278704378310e-10,        +6.632851792236e-11,        +1.559630022023e-10,        -1.062574452746e-07,        -1.134817009257e-07,        -2.194166394449e-11,        +6.011152559904e-11,        +5.965178082347e-11,        +1.470750789557e-10,        -1.036965221777e-07,        -1.127096420116e-07,        -1.901990597797e-10,        -2.038413358895e-10,        +1.812826950854e-10,        +2.194154129357e-10,        -4.526234686458e-08,        -5.007797971390e-08
 2.40032500e+00,        +5.871069503444e-11,        +1.726615790311e-10,        +6.776089322932e-11,        +1.574043995194e-10,        -1.067283963204e-07,        -1.136130308306e-07,        +2.448902247389e-11,        +1.278991700422e-10,        +6.636726407701e-11,        +1.560267320423e-10,        -1.063327127850e-07,        -1.135583521263e-07,        -2.196824183838e-11,        +6.009868933356e-11,        +5.968667202207e-11,        +1.471353462231e-10,        -1.037692015041e-07,        -1.127851621737e-07,        -1.901188399183e-10,        -2.037511110469e-10,        +1.813855656645e-10,        +2.195315468749e-10,        -4.528362736209e-08,        -5.009994612817e-08
 2.40035000e+00,        +5.874074528883e-11,        +1.727207026790e-10,        +6.780163678849e-11,        +1.574698109323e-10,        -1.068044311972e-07,        -1.136901104934e-07,        +2.449417923735e-11,        +1.279277765519e-10,        +6.640599587358e-11,        +1.560904287942e-10,        -1.064080797998e-07,        -1.136351020768e-07,        -2.199494397606e-11,        +6.008568124228e-11,        +5.972155204550e-11,        +1.471955859006e-10,        -1.038419769189e-07,        -1.128607798921e-07,        -1.900384505393e-10,        -2.036607293495e-10,        +1.814885905936e-10,        +2.196478370618e-10,        -4.530493445709e-08,        -5.012193950617e-08
 2.40037500e+00,        +5.877074281281e-11,        +1.727797408809e-10,        +6.784236530213e-11,        +1.575351874849e-10,        -1.068805666740e-07,        -1.137672893719e-07,        +2.449924872782e-11,        +1.279562573082e-10,        +6.644471334347e-11,        +1.561540925204e-10,        -1.064835465154e-07,        -1.137119509667e-07,        -2.202177051539e-11,        +6.007250117018e-11,        +5.975642091241e-11,        +1.472557980367e-10,        -1.039148486118e-07,        -1.129364953538e-07,        -1.899578913517e-10,        -2.035701905292e-10,        +1.815917700931e-10,        +2.197642837086e-10,        -4.532626820219e-08,        -5.014395989999e-08
 2.40040000e+00,        +5.880068759503e-11,        +1.728386936606e-10,        +6.788307880909e-11,        +1.576005292485e-10,        -1.069568029494e-07,        -1.138445676571e-07,        +2.450423086795e-11,        +1.279846122593e-10,        +6.648341651808e-11,        +1.562177232843e-10,        -1.065591131286e-07,        -1.137888989862e-07,        -2.204872161664e-11,        +6.005914896140e-11,        +5.979127864224e-11,        +1.473159826801e-10,        -1.039878167728e-07,        -1.130123087462e-07,        -1.898771620627e-10,        -2.034794943168e-10,        +1.816951043842e-10,        +2.198808870284e-10,        -4.534762865011e-08,        -5.016600736189e-08
 2.40042500e+00,        +5.883057962401e-11,        +1.728975610416e-10,        +6.792377734837e-11,        +1.576658362933e-10,        -1.070331402225e-07,        -1.139219455401e-07,        +2.450912558021e-11,        +1.280128413525e-10,        +6.652210542890e-11,        +1.562813211479e-10,        -1.066347798368e-07,        -1.138659463259e-07,        -2.207579744063e-11,        +6.004562446034e-11,        +5.982612525342e-11,        +1.473761398788e-10,        -1.040608815926e-07,        -1.130882202573e-07,        -1.897962623794e-10,        -2.033886404421e-10,        +1.817985936888e-10,        +2.199976472352e-10,        -4.536901585373e-08,        -5.018808194424e-08
 2.40045000e+00,        +5.886041888790e-11,        +1.729563430470e-10,        +6.796446095908e-11,        +1.577311086908e-10,        -1.071095786932e-07,        -1.139994232130e-07,        +2.451393278595e-11,        +1.280409445341e-10,        +6.656078010706e-11,        +1.563448861737e-10,        -1.067105468380e-07,        -1.139430931768e-07,        -2.210299814624e-11,        +6.003192751013e-11,        +5.986096076561e-11,        +1.474362696820e-10,        -1.041340432622e-07,        -1.131642300755e-07,        -1.897151920081e-10,        -2.032976286346e-10,        +1.819022382299e-10,        +2.201145645438e-10,        -4.539042986606e-08,        -5.021018369956e-08
 2.40047500e+00,        +5.889020537480e-11,        +1.730150396997e-10,        +6.800512967988e-11,        +1.577963465111e-10,        -1.071861185615e-07,        -1.140770008680e-07,        +2.451865240734e-11,        +1.280689217508e-10,        +6.659944058394e-11,        +1.564084184248e-10,        -1.067864143306e-07,        -1.140203397306e-07,        -2.213032389679e-11,        +6.001805795369e-11,        +5.989578519717e-11,        +1.474963721374e-10,        -1.042073019733e-07,        -1.132403383898e-07,        -1.896339506530e-10,        -2.032064586222e-10,        +1.820060382310e-10,        +2.202316391695e-10,        -4.541187074025e-08,        -5.023231268050e-08
 2.40050000e+00,        +5.891993907244e-11,        +1.730736510221e-10,        +6.804578354964e-11,        +1.578615498242e-10,        -1.072627600283e-07,        -1.141546786980e-07,        +2.452328436491e-11,        +1.280967729479e-10,        +6.663808689071e-11,        +1.564719179629e-10,        -1.068623825136e-07,        -1.140976861794e-07,        -2.215777485223e-11,        +6.000401563225e-11,        +5.993059856767e-11,        +1.475564472942e-10,        -1.042806579180e-07,        -1.133165453896e-07,        -1.895525380189e-10,        -2.031151301329e-10,        +1.821099939164e-10,        +2.203488713288e-10,        -4.543333852959e-08,        -5.025446893983e-08
 2.40052500e+00,        +5.894961996833e-11,        +1.731321770362e-10,        +6.808642260731e-11,        +1.579267187014e-10,        -1.073395032949e-07,        -1.142324568963e-07,        +2.452782857942e-11,        +1.281244980706e-10,        +6.667671905878e-11,        +1.565353848505e-10,        -1.069384515865e-07,        -1.141751327157e-07,        -2.218535117652e-11,        +5.998980038619e-11,        +5.996540089606e-11,        +1.476164951999e-10,        -1.043541112889e-07,        -1.133928512647e-07,        -1.894709538092e-10,        -2.030236428930e-10,        +1.822141055113e-10,        +2.204662612387e-10,        -4.545483328750e-08,        -5.027665253047e-08
 2.40055000e+00,        +5.897924804981e-11,        +1.731906177637e-10,        +6.812704689203e-11,        +1.579918532119e-10,        -1.074163485631e-07,        -1.143103356567e-07,        +2.453228497102e-11,        +1.281520970633e-10,        +6.671533711889e-11,        +1.565988191495e-10,        -1.070146217494e-07,        -1.142526795325e-07,        -2.221305303165e-11,        +5.997541205572e-11,        +6.000019220162e-11,        +1.476765159025e-10,        -1.044276622791e-07,        -1.134692562056e-07,        -1.893891977254e-10,        -2.029319966291e-10,        +1.823183732416e-10,        +2.205838091171e-10,        -4.547635506757e-08,        -5.029886350547e-08
 2.40057500e+00,        +5.900882330402e-11,        +1.732489732259e-10,        +6.816765644177e-11,        +1.580569534267e-10,        -1.074932960353e-07,        -1.143883151736e-07,        +2.453665345958e-11,        +1.281795698697e-10,        +6.675394110254e-11,        +1.566622209217e-10,        -1.070908932027e-07,        -1.143303268236e-07,        -2.224088058226e-11,        +5.996085048088e-11,        +6.003497250255e-11,        +1.477365094500e-10,        -1.045013110822e-07,        -1.135457604031e-07,        -1.893072694697e-10,        -2.028401910657e-10,        +1.824227973340e-10,        +2.207015151827e-10,        -4.549790392348e-08,        -5.032110191801e-08
 2.40060000e+00,        +5.903834571767e-11,        +1.733072434439e-10,        +6.820825129586e-11,        +1.581220194148e-10,        -1.075703459144e-07,        -1.144663956418e-07,        +2.454093396430e-11,        +1.282069164336e-10,        +6.679253104040e-11,        +1.567255902297e-10,        -1.071672661475e-07,        -1.144080747829e-07,        -2.226883399232e-11,        +5.994611549983e-11,        +6.006974181809e-11,        +1.477964758917e-10,        -1.045750578926e-07,        -1.136223640486e-07,        -1.892251687426e-10,        -2.027482259269e-10,        +1.825273780162e-10,        +2.208193796551e-10,        -4.551947990911e-08,        -5.034336782142e-08
 2.40062500e+00,        +5.906781527744e-11,        +1.733654284382e-10,        +6.824883149271e-11,        +1.581870512464e-10,        -1.076474984038e-07,        -1.145445772566e-07,        +2.454512640406e-11,        +1.282341366972e-10,        +6.683110696377e-11,        +1.567889271342e-10,        -1.072437407855e-07,        -1.144859236051e-07,        -2.229691342670e-11,        +5.993120694982e-11,        +6.010450016728e-11,        +1.478564152741e-10,        -1.046489029047e-07,        -1.136990673340e-07,        -1.891428952430e-10,        -2.026561009364e-10,        +1.826321155163e-10,        +2.209374027544e-10,        -4.554108307843e-08,        -5.036566126915e-08
