        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106434472050e+00,        +5.542490154126e-05,        +9.981384203401e+03,        +2.400168878776e-13,        +3.044468077373e-09
 2.00e+00,        +1.762959877690e+00,        +6.997948167120e-05,        +1.259626276858e+04,        +1.215310591037e-14,        +1.542062837345e-10
 3.00e+00,        +1.762962867866e+00,        +6.998048946015e-05,        +1.259610273417e+04,        +1.638405675218e-13,        +2.078912606874e-09
 4.00e+00,        +1.893253832140e+00,        +8.324827937524e-05,        +1.137112891809e+04,        +3.026431586162e-13,        +3.840452082294e-09
 5.00e+00,        +1.893254569246e+00,        +8.324676291005e-05,        +1.137134048757e+04,        +1.150641775659e-13,        +1.460130348129e-09
 6.00e+00,        +2.022611580177e+00,        +1.153949583864e-04,        +8.763864607913e+03,        +2.830374447197e-14,        +3.591984107429e-10
 7.00e+00,        +2.200417477204e+00,        +9.171033988250e-05,        +1.199656157602e+04,        +2.027361798958e-13,        +2.573235938780e-09
 8.00e+00,        +2.200418749372e+00,        +9.170911224043e-05,        +1.199672910100e+04,        +2.701962889040e-13,        +3.429475696841e-09
 9.00e+00,        +2.362967118532e+00,        +8.106030486342e-05,        +1.457536536473e+04,        +6.461612132615e-13,        +8.202502351445e-09
 1.00e+01,        +2.362980052281e+00,        +8.107290800458e-05,        +1.457317932606e+04,        +7.255225477287e-14,        +9.209931432181e-10
 1.10e+01,        +2.444316536644e+00,        +1.268101054183e-04,        +9.637704076782e+03,        +5.311384727245e-14,        +6.742847761661e-10
 1.20e+01,        +2.444331003821e+00,        +1.268250736708e-04,        +9.636623643744e+03,        +5.699211753487e-13,        +7.235197537098e-09
 1.30e+01,        +2.444457621948e+00,        +6.251694279935e-05,        +1.955036117643e+04,        +1.316997480587e-13,        +1.671939627075e-09
 1.40e+01,        +2.539984689999e+00,        +8.407482960587e-05,        +1.510550008425e+04,        +4.052126251357e-14,        +5.144643433616e-10
