        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.407688295469e+00,        +3.978461638046e-05,        +3.025903621607e+04,        +3.397526273545e-13,        +6.162507279646e-09
 2.00e+00,        +2.407728615491e+00,        +3.978467258847e-05,        +3.025950019402e+04,        +3.256488281860e-13,        +5.906689648779e-09
 3.00e+00,        +2.450116915161e+00,        +5.575169334190e-05,        +2.197347532361e+04,        +5.261639615502e-13,        +9.543943466549e-09
 4.00e+00,        +2.450291003290e+00,        +5.581830943496e-05,        +2.194881060291e+04,        +1.086779783965e-13,        +1.971280204757e-09
 5.00e+00,        +2.451177958516e+00,        +2.651616375734e-05,        +4.622044842329e+04,        +4.002258456563e-14,        +7.259591719557e-10
 6.00e+00,        +2.566405937845e+00,        +5.715216852729e-05,        +2.245239336156e+04,        +1.310253535111e-14,        +2.376820872313e-10
 7.00e+00,        +2.642643906221e+00,        +5.468800653202e-05,        +2.416109193192e+04,        +6.839489441595e-15,        +1.240761131866e-10
 8.00e+00,        +2.642840107999e+00,        +5.470597363105e-05,        +2.415494993645e+04,        +5.394834261779e-15,        +9.786843978884e-11
