        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667448e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.201339111918e-12,        +1.792781769772e-02,        +3.021970257864e-14,        +8.736392396764e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059659919e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261740117708e-13,        +3.647639066972e-04,        +5.074527120830e-12,        +1.467025035628e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059666224e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.263273843001e-13,        +3.652073004053e-04,        +5.078119161973e-12,        +1.468063477354e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667195e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.287272665723e-12,        +1.239432989945e-02,        +2.211957319761e-12,        +6.394678128101e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059668099e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.287023128830e-12,        +1.239360849850e-02,        +2.210793943316e-12,        +6.391314852719e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059665409e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.471678900666e-12,        +4.254563500650e-03,        +2.356192148201e-14,        +6.811655120505e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059664874e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.879465445913e-14,        +1.699729409601e-04,        +2.266520205252e-14,        +6.552417202478e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059671415e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.902979739416e-14,        +1.706527295664e-04,        +2.260547712683e-14,        +6.535150958407e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667666e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.355952223960e-15,        +6.810961505801e-06,        +1.575509871309e-13,        +4.554734588813e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059679789e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.353025276065e-15,        +6.802499819169e-06,        +1.574432708180e-13,        +4.551620538321e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059672884e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.041994022993e-12,        +8.794280283263e-03,        +3.990387489862e-12,        +1.153604698162e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059665177e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.971132596872e-12,        +8.589422799037e-03,        +4.048986962180e-12,        +1.170545568480e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059665006e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.258461590163e-13,        +6.529120071490e-04,        +6.473930795959e-12,        +1.871586911742e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059752014e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386042298593e-11,        +4.006991587146e-02,        +3.613153714531e-13,        +1.044547933127e-03
 1.50e+01,        +3.459059667205e-10,        +3.459059670145e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.909703078215e-16,        +2.575758713470e-06,        +4.150491677310e-16,        +1.199890164698e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059653834e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.224237185001e-15,        +9.321137809706e-06,        +3.301786038213e-16,        +9.545328408991e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059668356e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.751287976381e-14,        +1.951769736842e-04,        +1.244012398206e-13,        +3.596388953874e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059673975e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.806892790283e-14,        +1.967844861082e-04,        +1.240495772733e-13,        +3.586222527660e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059671575e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.083019045870e-16,        +1.758575922683e-06,        +3.907809468115e-15,        +1.129731730339e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059663854e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.171743776600e-16,        +1.495129970042e-06,        +3.688453402318e-15,        +1.066316791486e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059652212e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.416076558179e-13,        +4.093819403015e-04,        +3.533065639568e-14,        +1.021394828305e-04
 2.20e+01,        +3.459059667205e-10,        +3.459059669563e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.233616486923e-13,        +1.513017117496e-03,        +1.257721592424e-13,        +3.636021672279e-04
 2.30e+01,        +3.459059667205e-10,        +3.459059669599e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.014807223579e-12,        +2.317047982597e-02,        +1.917363582482e-12,        +5.543019680560e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059657954e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.353213898156e-12,        +2.414879967915e-02,        +2.000080134537e-12,        +5.782149868210e-03
