        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.459059665980e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.008386388628e-12,        +8.697121987084e-03,        +3.979510529842e-12,        +1.150460215815e-02,        +3.008386388628e-12,        +8.697121987084e-03,        +3.979510529842e-12,        +1.150460215815e-02,        +1.324153876850e-12,        +3.828074691526e-03,        +2.594361777359e-12,        +7.500193774842e-03,        +3.411435926891e-10,        +9.862321714871e-01,        +3.363208573076e-10,        +9.722898411245e-01,        +4.298337659036e-13,        +1.242631834249e-03,        +3.011236983227e-12,        +8.705362942543e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059666916e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009398727371e-12,        +8.700048616978e-03,        +3.979043908996e-12,        +1.150325317327e-02,        +3.009398727371e-12,        +8.700048616978e-03,        +3.979043908996e-12,        +1.150325317327e-02,        +1.324570668172e-12,        +3.829279618188e-03,        +2.594502032044e-12,        +7.500599243370e-03,        +3.411420303112e-10,        +9.862276547164e-01,        +3.363203006516e-10,        +9.722882315920e-01,        +4.299670137737e-13,        +1.243017048391e-03,        +3.012120098866e-12,        +8.707915991377e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059669609e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.645881242026e-13,        +4.758175343521e-04,        +6.465254041751e-12,        +1.869078495105e-02,        +1.645881242026e-13,        +4.758175343521e-04,        +6.465254041751e-12,        +1.869078495105e-02,        +1.616460610631e-13,        +4.673121501652e-04,        +2.774693406949e-12,        +8.021525131025e-03,        +3.455578538527e-10,        +9.989936199393e-01,        +3.357723197284e-10,        +9.707040404029e-01,        +2.187868252856e-14,        +6.325037621059e-05,        +8.936997837784e-13,        +2.583649515012e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059731508e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385070589273e-11,        +4.004182415251e-02,        +3.605981794217e-13,        +1.042474566533e-03,        +1.385070589273e-11,        +4.004182415251e-02,        +3.605981794217e-13,        +1.042474566533e-03,        +6.814520080301e-12,        +1.970049879425e-02,        +4.424471142564e-13,        +1.279096484592e-03,        +3.200109109090e-10,        +9.251384529241e-01,        +3.449667710713e-10,        +9.972848052583e-01,        +5.229829838443e-12,        +1.511922412911e-02,        +1.361567857528e-13,        +3.936236906018e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059668342e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017309406394e-16,        +2.317771353413e-06,        +2.262535513860e-16,        +6.540897616097e-07,        +8.017309406394e-16,        +2.317771353413e-06,        +2.262535513860e-16,        +6.540897616097e-07,        +1.484487282349e-15,        +4.291592008151e-06,        +6.512075502905e-16,        +1.882614388675e-06,        +3.459035744389e-10,        +9.999930840119e-01,        +3.459049191375e-10,        +9.999969711517e-01,        +1.060633364446e-16,        +3.066247669857e-07,        +1.702355909854e-16,        +4.921441296414e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059665866e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017087675009e-16,        +2.317707251777e-06,        +2.263322508197e-16,        +6.543172789217e-07,        +8.017087675009e-16,        +2.317707251777e-06,        +2.263322508197e-16,        +6.543172789217e-07,        +1.485209084474e-15,        +4.293678708568e-06,        +6.514541189375e-16,        +1.883327209895e-06,        +3.459035737489e-10,        +9.999930820169e-01,        +3.459049185318e-10,        +9.999969701165e-01,        +1.060537678336e-16,        +3.065971045227e-07,        +1.702684015605e-16,        +4.922389840244e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059665322e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.619119896586e-14,        +1.913560485626e-04,        +1.232074653332e-13,        +3.561877424906e-04,        +6.619119896586e-14,        +1.913560485626e-04,        +1.232074653332e-13,        +3.561877424906e-04,        +6.924194830764e-14,        +2.001756401143e-04,        +1.937268762868e-13,        +5.600564749691e-04,        +3.457610290422e-10,        +9.995809911011e-01,        +3.454955606953e-10,        +9.988135335131e-01,        +9.504530979622e-15,        +2.747721026536e-05,        +9.347149529485e-14,        +2.702222694564e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667342e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616972081675e-14,        +1.912939561121e-04,        +1.231995432729e-13,        +3.561648399305e-04,        +6.616972081675e-14,        +1.912939561121e-04,        +1.231995432729e-13,        +3.561648399305e-04,        +6.922706336497e-14,        +2.001326083540e-04,        +1.937358578616e-13,        +5.600824400075e-04,        +3.457610607065e-10,        +9.995810826411e-01,        +3.454955417822e-10,        +9.988134782530e-01,        +9.509229841494e-15,        +2.749079448282e-05,        +9.348955081664e-14,        +2.702744670736e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667038e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.336567048702e-17,        +1.253683794419e-07,        +3.571667989461e-15,        +1.032554605373e-05,        +4.336567048702e-17,        +1.253683794419e-07,        +3.571667989461e-15,        +1.032554605373e-05,        +1.495259642763e-16,        +4.322734461448e-07,        +7.953901483689e-15,        +2.299440382449e-05,        +3.459057580415e-10,        +9.999993967175e-01,        +3.458930924145e-10,        +9.999627809564e-01,        +1.578739866472e-17,        +4.564072373310e-08,        +1.348719798754e-15,        +3.899093767032e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059668851e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.180999261947e-17,        +1.208709783641e-07,        +3.572904682935e-15,        +1.032912127856e-05,        +4.180999261947e-17,        +1.208709783641e-07,        +3.572904682935e-15,        +1.032912127856e-05,        +1.489562620055e-16,        +4.306264601843e-07,        +7.957059239162e-15,        +2.300353275433e-05,        +3.459057603656e-10,        +9.999994034365e-01,        +3.458930881122e-10,        +9.999627679942e-01,        +1.558860425848e-17,        +4.506601723662e-08,        +1.348809028444e-15,        +3.899351724371e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059666582e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.226818982889e-16,        +1.221956077533e-06,        +1.023542495821e-16,        +2.959019486450e-07,        +4.226818982889e-16,        +1.221956077533e-06,        +1.023542495821e-16,        +2.959019486450e-07,        +1.995461263680e-16,        +5.768796886042e-07,        +7.845784645745e-17,        +2.268184247165e-07,        +3.459052898459e-10,        +9.999980431832e-01,        +3.459057179912e-10,        +9.999992811141e-01,        +5.464657098065e-17,        +1.579810013072e-07,        +6.785483104674e-17,        +1.961655408905e-07
 2.20e+01,        +3.459059667205e-10,        +3.459059666739e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.711728717055e-16,        +7.839496793780e-07,        +6.491536040947e-17,        +1.876676515114e-07,        +2.711728717055e-16,        +7.839496793780e-07,        +6.491536040947e-17,        +1.876676515114e-07,        +1.383768593480e-16,        +4.000418398675e-07,        +5.329001865724e-17,        +1.540592640528e-07,        +3.459055209262e-10,        +9.999987112271e-01,        +3.459058050554e-10,        +9.999995327678e-01,        +3.624452121657e-17,        +1.047814282020e-07,        +4.341302874020e-17,        +1.255052902315e-07
 2.30e+01,        +3.459059667205e-10,        +3.459059665861e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477144013943e-12,        +2.450707657435e-02,        +2.038789691759e-12,        +5.894057601495e-03,        +8.477144013943e-12,        +2.450707657435e-02,        +2.038789691759e-12,        +5.894057601495e-03,        +3.447296728840e-12,        +9.965993826367e-03,        +1.393460447917e-12,        +4.028437154958e-03,        +3.328609762565e-10,        +9.622874661930e-01,        +3.411011813362e-10,        +9.861095623839e-01,        +1.120549721208e-12,        +3.239463406290e-03,        +1.372535110217e-12,        +3.967942859623e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059664972e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477472270834e-12,        +2.450802555159e-02,        +2.038862748190e-12,        +5.894268806162e-03,        +8.477472270834e-12,        +2.450802555159e-02,        +2.038862748190e-12,        +5.894268806162e-03,        +3.447446725158e-12,        +9.966427459586e-03,        +1.393479082576e-12,        +4.028491028031e-03,        +3.328603512887e-10,        +9.622856594367e-01,        +3.411011714356e-10,        +9.861095340150e-01,        +1.120696435766e-12,        +3.239887552075e-03,        +1.372453230858e-12,        +3.967706150768e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059637049e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.645646764432e-12,        +2.210325203962e-02,        +2.824376748514e-13,        +8.165157715880e-04,        +7.645646764432e-12,        +2.210325203962e-02,        +2.824376748514e-13,        +8.165157715880e-04,        +4.853514261788e-12,        +1.403131119074e-02,        +4.424121852669e-13,        +1.278995541240e-03,        +3.276908786072e-10,        +9.473409253791e-01,        +3.449668372829e-10,        +9.972850239066e-01,        +5.715927087112e-12,        +1.652451139049e-02,        +2.142765618974e-13,        +6.194647805500e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059672263e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334342265403e-13,        +2.120328346730e-03,        +8.633085783851e-12,        +2.495789781563e-02,        +7.334342265403e-13,        +2.120328346730e-03,        +8.633085783851e-12,        +2.495789781563e-02,        +8.844891614119e-13,        +2.557021984321e-03,        +4.062702751345e-12,        +1.174510744617e-02,        +3.440110850959e-10,        +9.945219747361e-01,        +3.299500686328e-10,        +9.538721499329e-01,        +2.769582366776e-13,        +8.006749328538e-04,        +3.260110058335e-12,        +9.424844805301e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059666637e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334347905445e-13,        +2.120329977243e-03,        +8.632965505755e-12,        +2.495755013717e-02,        +7.334347905445e-13,        +2.120329977243e-03,        +8.632965505755e-12,        +2.495755013717e-02,        +8.845347214107e-13,        +2.557153696413e-03,        +4.062759048993e-12,        +1.174527021947e-02,        +3.440109864410e-10,        +9.945216895289e-01,        +3.299497958202e-10,        +9.538713627943e-01,        +2.770107675391e-13,        +8.008267974254e-04,        +3.260446288784e-12,        +9.425816849103e-03
