        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.303806382841e+00,        +3.105570756275e-05,        +2.099141326239e+04,        +5.414163079910e-14,        +5.492057214878e-09
 2.00e+00,        +1.638046714778e+00,        +3.442021784118e-05,        +2.379483364542e+04,        +3.005042125859e-14,        +3.048335387258e-09
 3.00e+00,        +1.638047273573e+00,        +3.442025784170e-05,        +2.379481411016e+04,        +3.080174972055e-14,        +3.124550662969e-09
 4.00e+00,        +1.840271260061e+00,        +5.257221213110e-05,        +1.750231905995e+04,        +1.043003832374e-14,        +1.058045005808e-09
 5.00e+00,        +2.077463417432e+00,        +3.888000049664e-05,        +2.671635019622e+04,        +2.474247177399e-14,        +2.509974555175e-09
 6.00e+00,        +2.077470838448e+00,        +3.888022170403e-05,        +2.671629362902e+04,        +4.878022288030e-14,        +4.948459451364e-09
 7.00e+00,        +2.104511662865e+00,        +4.328663400336e-05,        +2.430902415683e+04,        +1.006783522636e-14,        +1.021323460417e-09
 8.00e+00,        +2.104524450061e+00,        +4.328843621689e-05,        +2.430815980464e+04,        +1.926414574703e-14,        +1.954235798954e-09
 9.00e+00,        +2.450023189224e+00,        +6.057562055014e-05,        +2.022284846381e+04,        +1.136919278056e-13,        +1.153374600721e-08
 1.00e+01,        +2.450025084267e+00,        +6.055981092100e-05,        +2.022814344823e+04,        +2.317451494800e-14,        +2.350993377090e-09
 1.10e+01,        +2.450125701142e+00,        +2.755593881204e-05,        +4.445730769707e+04,        +7.320198545541e-14,        +7.426148295364e-09
 1.20e+01,        +2.622210702276e+00,        +5.374755584697e-05,        +2.439376694907e+04,        +6.260585021958e-15,        +6.351308193649e-10
 1.30e+01,        +2.622225439659e+00,        +5.375068761828e-05,        +2.439248274210e+04,        +3.774127649014e-14,        +3.828819162059e-09
 1.40e+01,        +2.782968682569e+00,        +4.824303486266e-05,        +2.884321737749e+04,        +2.707577254529e-14,        +2.746860502071e-09
 1.50e+01,        +2.782978236490e+00,        +4.825096816963e-05,        +2.883857404814e+04,        +9.272054198478e-14,        +9.406579049627e-09
 1.60e+01,        +2.784542752243e+00,        +4.502946092859e-05,        +3.091912156158e+04,        +8.259610154749e-15,        +8.379447271074e-10
 1.70e+01,        +2.784553025284e+00,        +4.503565497717e-05,        +3.091498310683e+04,        +4.640520944848e-14,        +4.707849387952e-09
 1.80e+01,        +2.906762394246e+00,        +6.603231772844e-05,        +2.201014968875e+04,        +3.201979806528e-15,        +3.248481500755e-10
 1.90e+01,        +2.993238506005e+00,        +4.808129630207e-05,        +3.112684907231e+04,        +1.022306820322e-14,        +1.037164058071e-09
 2.00e+01,        +3.072507603497e+00,        +6.774757649417e-05,        +2.267614402788e+04,        +7.160995081839e-14,        +7.265135414631e-09
 2.10e+01,        +3.072580195069e+00,        +6.775741404890e-05,        +2.267338739933e+04,        +9.299857997915e-16,        +9.435103294551e-11
 2.20e+01,        +3.080960327872e+00,        +5.713621990056e-05,        +2.696153450267e+04,        +1.412769174373e-15,        +1.433316155520e-10
