        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.30e+01,        +2.935514697210e-10,        +2.935394356838e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.669309076492e-15,        +5.686597577175e-06,        +2.763506753457e-16,        +9.414430967409e-07,        +1.669309076492e-15,        +5.686597577175e-06,        +2.763506753457e-16,        +9.414430967409e-07,        +3.342440701139e-15,        +1.138621688495e-05,        +8.481445974865e-16,        +2.889371901635e-06,        +2.935460773011e-10,        +9.999816304111e-01,        +2.935380740047e-10,        +9.999953611715e-01,        +3.806700550932e-16,        +1.296774482019e-06,        +2.371838127946e-16,        +8.080134522372e-07
 1.40e+01,        +2.935514697210e-10,        +2.935413669361e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.464255866905e-12,        +1.180118726777e-02,        +3.671327879011e-12,        +1.250702044939e-02,        +3.464255866905e-12,        +1.180118726777e-02,        +3.671327879011e-12,        +1.250702044939e-02,        +2.164819622788e-12,        +7.374582811135e-03,        +1.891552094604e-12,        +6.443902998570e-03,        +2.856880644307e-10,        +9.732128566832e-01,        +2.866787342641e-10,        +9.766212416884e-01,        +2.234329800592e-12,        +7.611373237940e-03,        +1.299752698429e-12,        +4.427834863601e-03
 1.50e+01,        +2.935514697210e-10,        +2.935413669141e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.464246602364e-12,        +1.180115570757e-02,        +3.671509976359e-12,        +1.250764079678e-02,        +3.464246602364e-12,        +1.180115570757e-02,        +3.671509976359e-12,        +1.250764079678e-02,        +2.164844181741e-12,        +7.374666472623e-03,        +1.891665514745e-12,        +6.444289384597e-03,        +2.856879715602e-10,        +9.732125403144e-01,        +2.866783119267e-10,        +9.766198029956e-01,        +2.234407376693e-12,        +7.611637505398e-03,        +1.299879496279e-12,        +4.428266822984e-03
 1.60e+01,        +2.935514697210e-10,        +2.935419759626e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.003631819603e-15,        +1.704516017024e-05,        +2.360852135947e-13,        +8.042638972518e-04,        +5.003631819603e-15,        +1.704516017024e-05,        +2.360852135947e-13,        +8.042638972518e-04,        +1.183616893264e-14,        +4.032059162877e-05,        +3.105028228699e-13,        +1.057779971166e-03,        +2.935321838416e-10,        +9.999343015403e-01,        +2.928808239897e-10,        +9.977476748570e-01,        +2.446078641951e-15,        +8.332707869852e-06,        +1.145639365075e-13,        +3.902812745327e-04
 1.70e+01,        +2.935514697210e-10,        +2.935419740841e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.974770090276e-15,        +1.694684102588e-05,        +2.360839515115e-13,        +8.042596029004e-04,        +4.974770090276e-15,        +1.694684102588e-05,        +2.360839515115e-13,        +8.042596029004e-04,        +1.181942747595e-14,        +4.026356089165e-05,        +3.105124678802e-13,        +1.057812835282e-03,        +2.935322467544e-10,        +9.999345158565e-01,        +2.928808244183e-10,        +9.977476827026e-01,        +2.428768993241e-15,        +8.273741553906e-06,        +1.145532463603e-13,        +3.902448592495e-04
 1.80e+01,        +2.935514697210e-10,        +2.935381609691e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.523231985995e-12,        +5.188977549465e-03,        +5.017570402924e-14,        +1.709341772245e-04,        +1.523231985995e-12,        +5.188977549465e-03,        +5.017570402924e-14,        +1.709341772245e-04,        +8.097979063411e-13,        +2.758623239430e-03,        +6.175537193357e-14,        +2.103827717994e-04,        +2.906698065972e-10,        +9.901834484886e-01,        +2.934084738800e-10,        +9.995581934266e-01,        +5.486332314323e-13,        +1.868950722522e-03,        +1.775601308901e-14,        +6.048962434864e-05
 1.90e+01,        +2.935514697210e-10,        +2.935423065102e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.484203263656e-11,        +5.056023957455e-02,        +5.401326102638e-13,        +1.840050303771e-03,        +1.484203263656e-11,        +5.056023957455e-02,        +5.401326102638e-13,        +1.840050303771e-03,        +7.646147550725e-12,        +2.604704230571e-02,        +7.068303181724e-13,        +2.407933379606e-03,        +2.638594098856e-10,        +8.988522869139e-01,        +2.920331794872e-10,        +9.948589113407e-01,        +7.203879648069e-12,        +2.454043120587e-02,        +2.621640945798e-13,        +8.931049758944e-04
 2.00e+01,        +2.935514697210e-10,        +2.935385244109e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.410205975374e-14,        +1.843017846416e-04,        +1.862781238352e-13,        +6.345951496794e-04,        +5.410205975374e-14,        +1.843017846416e-04,        +1.862781238352e-13,        +6.345951496794e-04,        +6.517879768816e-14,        +2.220353308062e-04,        +3.104169256859e-13,        +1.057499782384e-03,        +2.934176477494e-10,        +9.995441277413e-01,        +2.928776489845e-10,        +9.977485904867e-01,        +1.454111409544e-14,        +4.953514322126e-05,        +1.641803768573e-13,        +5.593145812353e-04
 2.10e+01,        +2.935514697210e-10,        +2.935385250398e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.418673689862e-14,        +1.845902422159e-04,        +1.865618821376e-13,        +6.355618299584e-04,        +5.418673689862e-14,        +1.845902422159e-04,        +1.865618821376e-13,        +6.355618299584e-04,        +6.517558020830e-14,        +2.220243702757e-04,        +3.104724814552e-13,        +1.057689042394e-03,        +2.934176544748e-10,        +9.995441506516e-01,        +2.928775306948e-10,        +9.977481853706e-01,        +1.445292909967e-14,        +4.923473595077e-05,        +1.639599813843e-13,        +5.585637570472e-04
 2.20e+01,        +2.935514697210e-10,        +2.935405853679e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.611660618773e-14,        +2.252300295092e-04,        +5.726765879684e-14,        +1.950928139121e-04,        +6.611660618773e-14,        +2.252300295092e-04,        +5.726765879684e-14,        +1.950928139121e-04,        +9.841763633017e-14,        +3.352653503105e-04,        +7.034733630856e-14,        +2.396511413248e-04,        +2.933443046402e-10,        +9.992942802126e-01,        +2.933926947866e-10,        +9.994961835306e-01,        +4.263083827620e-14,        +1.452244075518e-04,        +2.027558624778e-14,        +6.907251418867e-05
