        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.387165518500e+00,        +8.950197473950e-05,        +1.333582598108e+04,        +1.205319070620e-13,        +6.334182044874e-09
 2.00e+00,        +2.391215479237e+00,        +9.764536772718e-05,        +1.224438771080e+04,        +1.350474408251e-13,        +7.097011329798e-09
 3.00e+00,        +2.454648998716e+00,        +3.434543989909e-05,        +3.573471480010e+04,        +1.154566843941e-13,        +6.067617313312e-09
 4.00e+00,        +2.602846616822e+00,        +6.376285104010e-05,        +2.041036885228e+04,        +1.148667312845e-13,        +6.036950967086e-09
 5.00e+00,        +2.633056671198e+00,        +9.032763157535e-05,        +1.457503438774e+04,        +1.162346421433e-13,        +6.108915159295e-09
 6.00e+00,        +2.739964737595e+00,        +7.380785076181e-05,        +1.856147218967e+04,        +1.239136709467e-13,        +6.512779055337e-09
 7.00e+00,        +2.740255392243e+00,        +7.373931154692e-05,        +1.858069553234e+04,        +1.552824088945e-13,        +8.161489630307e-09
 8.00e+00,        +2.794623149402e+00,        +1.267831184763e-04,        +1.102127470070e+04,        +1.595760182978e-13,        +8.387345772561e-09
