        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +1.546433890170e-04,        +5.641807250723e-04
 2.00e+00,        +5.466313677279e-08,        +1.836469858871e-07
 3.00e+00,        +6.041538501216e-06,        +1.844071618578e-05
 4.00e+00,        -9.803113793941e-04,        -1.107861078284e-03
 5.00e+00,        -4.867307405639e-06,        -1.521263643457e-05
 6.00e+00,        +2.145031074084e-07,        +6.556141242853e-07
 7.00e+00,        +4.856704349258e-07,        +1.471985199216e-06
 8.00e+00,        +3.521766523410e-07,        +1.017463698739e-06
