        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +2.935514708646e-10,        +2.935376166259e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.750283922319e-12,        +2.299523113422e-02,        +4.572817745359e-14,        +1.557830235839e-04,        +6.750283922319e-12,        +2.299523113422e-02,        +4.572817745359e-14,        +1.557830235839e-04,        +3.779105166152e-12,        +1.287373950136e-02,        +6.174319319002e-14,        +2.103416723885e-04,        +5.594676989870e-11,        +1.905858953250e-01,        +5.868001595312e-11,        +1.999062901294e-01,        +5.594971171051e-11,        +1.905959167765e-01,        +5.868180224329e-11,        +1.999123755170e-01,        +5.594995863086e-11,        +1.905967579249e-01,        +5.868199048849e-11,        +1.999130168154e-01,        +5.595141431620e-11,        +1.906017168009e-01,        +5.868301412197e-11,        +1.999165040464e-01,        +5.594863123084e-11,        +1.905922360602e-01,        +5.868113272020e-11,        +1.999100946404e-01,        +3.275595988968e-12,        +1.115850647697e-02,        +2.218972819789e-14,        +7.559415536908e-05
 2.00e+00,        +2.935514708646e-10,        +2.935392049039e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.636013544924e-12,        +1.579284726890e-02,        +1.918439254776e-12,        +6.535546948162e-03,        +4.636013544924e-12,        +1.579284726890e-02,        +1.918439254776e-12,        +6.535546948162e-03,        +2.162829343167e-12,        +7.367802780198e-03,        +1.374869309729e-12,        +4.683767233677e-03,        +5.875856269320e-11,        +2.001644294956e-01,        +5.718557556735e-11,        +1.948140984645e-01,        +6.592072327064e-11,        +2.245627421879e-01,        +5.482992194419e-11,        +1.867890933415e-01,        +4.131404262617e-11,        +1.407386667302e-01,        +6.291312496798e-11,        +2.143261408253e-01,        +7.396062278900e-11,        +2.519511231580e-01,        +5.218216127520e-11,        +1.777689671548e-01,        +4.574147118360e-11,        +1.558209572205e-01,        +6.145795760988e-11,        +2.093688222328e-01,        +1.057205413846e-12,        +3.601431158673e-03,        +1.677154974824e-12,        +5.713563799332e-03
 3.00e+00,        +2.935514708646e-10,        +2.935392042741e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.635958169431e-12,        +1.579265862909e-02,        +1.918302887510e-12,        +6.535082399824e-03,        +4.635958169431e-12,        +1.579265862909e-02,        +1.918302887510e-12,        +6.535082399824e-03,        +2.162780895681e-12,        +7.367637741045e-03,        +1.374697596509e-12,        +4.683182268306e-03,        +5.552405545457e-11,        +1.891458942142e-01,        +5.824820170779e-11,        +1.984341473291e-01,        +4.835212301782e-11,        +1.647142931201e-01,        +6.059371466171e-11,        +2.064246062517e-01,        +7.296578709463e-11,        +2.485621580425e-01,        +5.251385044845e-11,        +1.788989330345e-01,        +4.031214027390e-11,        +1.373256286374e-01,        +6.323914685792e-11,        +2.154368000496e-01,        +6.854148783734e-11,        +2.334905276934e-01,        +5.397445336427e-11,        +1.838747689520e-01,        +1.057138121182e-12,        +3.601201922336e-03,        +1.676836749981e-12,        +5.712479715027e-03
 4.00e+00,        +2.935514708646e-10,        +2.935347620541e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.705211865587e-12,        +9.215460095020e-03,        +3.613658675011e-14,        +1.231083722324e-04,        +2.705211865587e-12,        +9.215460095020e-03,        +3.613658675011e-14,        +1.231083722324e-04,        +1.926976852045e-12,        +6.564357679318e-03,        +6.172037562143e-14,        +2.102659841360e-04,        +5.731117599576e-11,        +1.952338233120e-01,        +5.867920249365e-11,        +1.999054629272e-01,        +5.730633492089e-11,        +1.952173319115e-01,        +5.867601334762e-11,        +1.998945982991e-01,        +5.731424218457e-11,        +1.952442684609e-01,        +5.868371076307e-11,        +1.999208214809e-01,        +5.731677232994e-11,        +1.952528875469e-01,        +5.868640818633e-11,        +1.999300109317e-01,        +5.731147930581e-11,        +1.952348565552e-01,        +5.867981516735e-11,        +1.999075501542e-01,        +2.359277409954e-12,        +8.037014439088e-03,        +3.175513374065e-14,        +1.081818504849e-04
 5.00e+00,        +2.935514708646e-10,        +2.935404794181e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902817275253e-13,        +6.482056688897e-04,        +5.493727524955e-12,        +1.871540012419e-02,        +1.902817275253e-13,        +6.482056688897e-04,        +5.493727524955e-12,        +1.871540012419e-02,        +2.540610316494e-13,        +8.654735433659e-04,        +2.987418854614e-12,        +1.017719552866e-02,        +1.539773695199e-11,        +5.245327814793e-02,        +4.360357936572e-11,        +1.485436674770e-01,        +9.946879354762e-11,        +3.388461766336e-01,        +6.865974845374e-11,        +2.339021472945e-01,        +3.568847084915e-11,        +1.215748323251e-01,        +4.964589768742e-11,        +1.691279437365e-01,        +5.481481770172e-11,        +1.867298349427e-01,        +5.535374009231e-11,        +1.885727658483e-01,        +8.764497268748e-11,        +2.985676495824e-01,        +6.513061387462e-11,        +2.218794968372e-01,        +9.233636741545e-14,        +3.145491560424e-04,        +2.665753564699e-12,        +9.081383153639e-03
 6.00e+00,        +2.935514708646e-10,        +2.935404779235e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902742401502e-13,        +6.481801627150e-04,        +5.492845828306e-12,        +1.871239655656e-02,        +1.902742401502e-13,        +6.481801627150e-04,        +5.492845828306e-12,        +1.871239655656e-02,        +2.540675695729e-13,        +8.654958151791e-04,        +2.987365800009e-12,        +1.017701484014e-02,        +1.018008839141e-10,        +3.467905768427e-01,        +6.934179089839e-11,        +2.362256523833e-01,        +1.775698845697e-11,        +6.049020434023e-02,        +4.431290481369e-11,        +1.509601167347e-01,        +8.149868649198e-11,        +2.776299715071e-01,        +6.330483744822e-11,        +2.156596524474e-01,        +6.242796471987e-11,        +2.126644589312e-01,        +5.762892256497e-11,        +1.963235972519e-01,        +2.953025391744e-11,        +1.005965115094e-01,        +4.780530420256e-11,        +1.628576220245e-01,        +9.235155443043e-14,        +3.146008914840e-04,        +2.666506367339e-12,        +9.083947761488e-03
 7.00e+00,        +2.935514708646e-10,        +2.935393884465e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.854029883021e-14,        +3.016176296765e-04,        +2.242524530007e-14,        +7.639603468126e-05,        +8.854029883021e-14,        +3.016176296765e-04,        +2.242524530007e-14,        +7.639603468126e-05,        +9.841373988363e-14,        +3.352520755348e-04,        +3.826502012767e-14,        +1.303573613415e-04,        +5.189088987446e-11,        +1.767693063218e-01,        +6.399636406805e-11,        +2.180162751130e-01,        +5.395582768195e-11,        +1.838036359452e-01,        +6.236352451663e-11,        +2.124536841433e-01,        +6.254216962189e-11,        +2.130535045105e-01,        +5.566339931768e-11,        +1.896283821135e-01,        +6.577670429023e-11,        +2.240721332328e-01,        +5.314912854687e-11,        +1.810630213143e-01,        +5.917872584044e-11,        +2.015957394666e-01,        +5.828682637568e-11,        +1.985656054002e-01,        +2.019951686371e-14,        +6.881081809682e-05,        +1.945535611816e-14,        +6.627851962603e-05
 8.00e+00,        +2.935514708646e-10,        +2.935393853483e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.845685784743e-14,        +3.013333831608e-04,        +2.242415802738e-14,        +7.639233147803e-05,        +8.845685784743e-14,        +3.013333831608e-04,        +2.242415802738e-14,        +7.639233147803e-05,        +9.830567155355e-14,        +3.348839345414e-04,        +3.824584935708e-14,        +1.302920536939e-04,        +6.545362152585e-11,        +2.229715331798e-01,        +5.339530777799e-11,        +1.819016814886e-01,        +6.337484428976e-11,        +2.158900587454e-01,        +5.501541830973e-11,        +1.874209085928e-01,        +5.479085069466e-11,        +1.866481899521e-01,        +6.171741997824e-11,        +2.102526034284e-01,        +5.157416237450e-11,        +1.756903558432e-01,        +6.424515590157e-11,        +2.188638360244e-01,        +5.815106590484e-11,        +1.980949566820e-01,        +5.908597593810e-11,        +2.012880686113e-01,        +2.016354555507e-14,        +6.868827976124e-05,        +1.943743524831e-14,        +6.621746933634e-05
 9.00e+00,        +2.935514708646e-10,        +2.935370177789e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.968402986573e-12,        +6.705478193570e-03,        +4.367729522738e-12,        +1.487965489255e-02,        +1.968402986573e-12,        +6.705478193570e-03,        +4.367729522738e-12,        +1.487965489255e-02,        +1.019176299240e-12,        +3.471882788522e-03,        +2.994117738591e-12,        +1.020013680471e-02,        +3.628863048249e-11,        +1.236193106974e-01,        +5.011040217256e-11,        +1.707123774430e-01,        +9.259232113559e-11,        +3.154210771382e-01,        +6.913351456432e-11,        +2.355188966878e-01,        +2.315067669935e-11,        +7.886411412337e-02,        +4.172406981632e-11,        +1.421424464009e-01,        +7.338789664406e-11,        +2.500000985446e-01,        +6.123725511244e-11,        +2.086185094330e-01,        +6.462531457344e-11,        +2.201498578192e-01,        +6.016041939124e-11,        +2.049500258824e-01,        +5.190520438122e-13,        +1.768180695139e-03,        +3.809509460701e-12,        +1.297795245563e-02
 1.00e+01,        +2.935514708646e-10,        +2.935448078720e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.448233003971e-13,        +8.340046795747e-04,        +9.575345047344e-12,        +3.261970503502e-02,        +2.448233003971e-13,        +8.340046795747e-04,        +9.575345047344e-12,        +3.261970503502e-02,        +2.609080363772e-13,        +8.887982594971e-04,        +4.364145839680e-12,        +1.486705171629e-02,        +5.705264684541e-11,        +1.943531288649e-01,        +5.381399113514e-11,        +1.833246226539e-01,        +6.137369560016e-11,        +2.090730304277e-01,        +5.825641978992e-11,        +1.984583553436e-01,        +6.190688174263e-11,        +2.108893597443e-01,        +5.888768233045e-11,        +2.006088363727e-01,        +5.817784800642e-11,        +1.981861914542e-01,        +5.488235352202e-11,        +1.869641432934e-01,        +5.447825446350e-11,        +1.855833128788e-01,        +5.153115388865e-11,        +1.755478295195e-01,        +5.641286965685e-14,        +1.921736910079e-04,        +2.233716318770e-12,        +7.609456065544e-03
