        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +1.658742142873e-03,        +1.931765779958e-03
 2.00e+00,        +1.051365543945e-05,        +4.520441203582e-06
 3.00e+00,        +3.249986032236e-06,        -1.347765420756e-06
 4.00e+00,        +2.549456766934e-03,        +6.314061280434e-03
 5.00e+00,        -6.707593461873e-05,        -3.142567802488e-05
 6.00e+00,        -3.124671900236e-05,        -1.404791319335e-05
 7.00e+00,        +1.139169758057e-06,        +4.962814010358e-07
 8.00e+00,        -8.079683548352e-07,        -3.525110121671e-07
