        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17],             E_elec[18] (J),                 p_elec[18],              E_mag[18] (J),                  p_mag[18]
 1.00e+00,        +2.935514708646e-10,        +2.935369796089e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.961812565841e-12,        +6.683027545606e-03,        +4.212019101448e-12,        +1.434919411878e-02,        +1.961812565841e-12,        +6.683027545606e-03,        +4.212019101448e-12,        +1.434919411878e-02,        +1.031957478982e-12,        +3.515422613769e-03,        +2.995624617448e-12,        +1.020527165415e-02,        +2.926846181694e-11,        +9.970470163456e-02,        +4.589160341708e-11,        +1.563401091005e-01,        +6.910901636026e-11,        +2.354238463078e-01,        +6.065749600963e-11,        +2.066434562706e-01,        +6.894150759731e-11,        +2.348532180550e-01,        +6.045968098443e-11,        +2.059695547218e-01,        +2.893327776996e-11,        +9.856287786515e-02,        +4.557374013005e-11,        +1.552572360415e-01,        +9.374288164031e-11,        +3.193405277931e-01,        +6.976456708591e-11,        +2.376687502163e-01,        +5.178137206215e-13,        +1.763962275837e-03,        +3.822301069552e-12,        +1.302153164703e-02,        +4.474191433583e-14,        +1.524159092239e-04,        +1.599471933721e-13,        +5.448962293786e-04
 2.00e+00,        +2.935514708646e-10,        +2.935369886752e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.960042858060e-12,        +6.676998934079e-03,        +4.217082669312e-12,        +1.436644386231e-02,        +1.960042858060e-12,        +6.676998934079e-03,        +4.217082669312e-12,        +1.436644386231e-02,        +1.031264367830e-12,        +3.513061490690e-03,        +2.997110543747e-12,        +1.021033348224e-02,        +8.718062048030e-11,        +2.969858070326e-01,        +6.751191027866e-11,        +2.299945590617e-01,        +4.608331653862e-11,        +1.569854731196e-01,        +5.147178330525e-11,        +1.753502464462e-01,        +4.605422653683e-11,        +1.568863763523e-01,        +5.146718936298e-11,        +1.753345961450e-01,        +8.723836691248e-11,        +2.971825235811e-01,        +6.755714288495e-11,        +2.301486541436e-01,        +2.344135501130e-11,        +7.985432654198e-02,        +4.433361164381e-11,        +1.510324536744e-01,        +5.175682913879e-13,        +1.763126207011e-03,        +3.820822998046e-12,        +1.301649586068e-02,        +4.470986774760e-14,        +1.523067406745e-04,        +1.603349884103e-13,        +5.462173238675e-04
 3.00e+00,        +2.935514708646e-10,        +2.935448623388e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.317590763928e-13,        +7.895006477407e-04,        +9.072140371990e-12,        +3.090546466972e-02,        +2.317590763928e-13,        +7.895006477407e-04,        +9.072140371990e-12,        +3.090546466972e-02,        +2.555328432590e-13,        +8.704873544200e-04,        +4.374981820385e-12,        +1.490396318139e-02,        +5.811928587602e-11,        +1.979866961826e-01,        +5.496958713339e-11,        +1.872612816161e-01,        +5.939046939232e-11,        +2.023170560768e-01,        +5.625940381360e-11,        +1.916552153744e-01,        +5.959692512214e-11,        +2.030203594164e-01,        +5.647420557779e-11,        +1.923869664345e-01,        +5.846430327331e-11,        +1.991620178265e-01,        +5.531057514256e-11,        +1.884229030679e-01,        +5.743956391386e-11,        +1.956711841528e-01,        +5.431866981881e-11,        +1.850438443583e-01,        +5.309423613227e-14,        +1.808685746861e-04,        +2.222895592273e-12,        +7.572592395458e-03,        +5.371311246977e-16,        +1.829768125895e-06,        +5.424030680173e-13,        +1.847768902156e-03
 4.00e+00,        +2.935514708646e-10,        +2.935394187691e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.679438955938e-15,        +5.721105573042e-06,        +2.777277569653e-16,        +9.461344514816e-07,        +1.679438955938e-15,        +5.721105573042e-06,        +2.777277569653e-16,        +9.461344514816e-07,        +3.362523987655e-15,        +1.145463171331e-05,        +8.499679124842e-16,        +2.895583550749e-06,        +5.953797615670e-11,        +2.028195463690e-01,        +5.783488923974e-11,        +1.970259717835e-01,        +5.369543467443e-11,        +1.829165921611e-01,        +6.364023098314e-11,        +2.168030149069e-01,        +5.476253308820e-11,        +1.865517243941e-01,        +6.262471601007e-11,        +2.133434626010e-01,        +6.129083009253e-11,        +2.087907443012e-01,        +5.618616005842e-11,        +1.914092502262e-01,        +6.425927038243e-11,        +2.189029071909e-01,        +5.325205673909e-11,        +1.814136478242e-01,        +3.843230144837e-16,        +1.309218493615e-06,        +2.379637087610e-16,        +8.106703684257e-07,        +1.843031711360e-19,        +6.278393720637e-10,        +7.922906166931e-20,        +2.699094452171e-10
