        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +7.146585250009e-02,        +6.575038050503e-01
 2.00e+00,        -1.371345000618e-01,        +1.306355712372e-02
 3.00e+00,        +1.056538006014e-02,        +6.316341765763e-01
 4.00e+00,        -1.135982366820e-01,        -4.812061989796e-01
 5.00e+00,        -3.299660706789e-01,        +1.582134767302e+00
 6.00e+00,        +1.056231597954e-04,        -5.712653984593e-04
 7.00e+00,        -3.029932902404e-05,        +1.670396853461e-04
 8.00e+00,        +2.853942051890e-06,        -1.735191115092e-05
