        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +3.292540468113e-10,        +3.292466401794e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.607508459626e-13,        +1.095661084370e-03,        +1.515273589192e-11,        +4.602244652721e-02,        +3.607508459626e-13,        +1.095661084370e-03,        +1.515273589192e-11,        +4.602244652721e-02,        +4.045228372636e-12,        +1.228603994943e-02,        +6.862958174998e-12,        +2.084442887939e-02,        +6.484187821237e-11,        +1.969357061526e-01,        +6.069269988435e-11,        +1.843380993995e-01,        +6.500290557049e-11,        +1.974247733628e-01,        +6.091499529895e-11,        +1.850132632052e-01,        +6.497088171030e-11,        +1.973275115052e-01,        +6.087411007052e-11,        +1.848890850863e-01,        +6.498768042505e-11,        +1.973785320315e-01,        +6.089108759443e-11,        +1.849406498461e-01,        +6.498048041812e-11,        +1.973566643977e-01,        +6.088616626959e-11,        +1.849257026174e-01,        +6.424125636481e-14,        +1.951115164323e-04,        +2.971886994668e-12,        +9.026324438871e-03
 2.00e+00,        +3.292540468113e-10,        +3.292363078538e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.215542809801e-11,        +3.691808260441e-02,        +3.256663924922e-13,        +9.891569815465e-04,        +1.215542809801e-11,        +3.691808260441e-02,        +3.256663924922e-13,        +9.891569815465e-04,        +7.571383265263e-11,        +2.299556630690e-01,        +4.818626916110e-12,        +1.463577011758e-02,        +4.707142300758e-11,        +1.429638404249e-01,        +6.473469530752e-11,        +1.966207667967e-01,        +4.697469559044e-11,        +1.426700629662e-01,        +6.463399225178e-11,        +1.963148981749e-01,        +4.690501287980e-11,        +1.424584248366e-01,        +6.457000748913e-11,        +1.961205552026e-01,        +4.705590643026e-11,        +1.429167139660e-01,        +6.470196819513e-11,        +1.965213636883e-01,        +4.692653474397e-11,        +1.425237903632e-01,        +6.458590807475e-11,        +1.961688505614e-01,        +6.451213408585e-12,        +1.959342176979e-02,        +8.654432268720e-13,        +2.628638477067e-03
 3.00e+00,        +3.292540468113e-10,        +3.292383419468e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.584543769763e-15,        +4.812526330683e-06,        +3.392180884295e-16,        +1.030311616878e-06,        +1.584543769763e-15,        +4.812526330683e-06,        +3.392180884295e-16,        +1.030311616878e-06,        +8.905264615926e-15,        +2.704678864898e-05,        +1.379867955266e-15,        +4.191091314294e-06,        +5.939748866238e-11,        +1.804001780316e-01,        +7.217462900674e-11,        +2.192169617304e-01,        +6.375074207050e-11,        +1.936217418978e-01,        +6.771921886860e-11,        +2.056844851914e-01,        +7.090340004340e-11,        +2.153455689614e-01,        +6.093632648504e-11,        +1.850827158365e-01,        +7.106178777894e-11,        +2.158266191931e-01,        +6.078128536047e-11,        +1.846118073644e-01,        +6.412965896574e-11,        +1.947725763337e-01,        +6.762492021688e-11,        +2.053980706409e-01,        +4.794819291120e-16,        +1.456267383061e-06,        +2.429230376519e-16,        +7.378333769254e-07
 4.00e+00,        +3.292540468113e-10,        +3.292379535892e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.273364540877e-16,        +1.297892791983e-06,        +5.241403957409e-16,        +1.591980481068e-06,        +4.273364540877e-16,        +1.297892791983e-06,        +5.241403957409e-16,        +1.591980481068e-06,        +2.941461391535e-15,        +8.933713708373e-06,        +1.106806364229e-15,        +3.361721673224e-06,        +7.200393440485e-11,        +2.186880771920e-01,        +5.965157381817e-11,        +1.811807331684e-01,        +6.803382790161e-11,        +2.066301950135e-01,        +6.377545034391e-11,        +1.937062530266e-01,        +6.084343337757e-11,        +1.847917556878e-01,        +7.087314043638e-11,        +2.152641870834e-01,        +6.063449370886e-11,        +1.841571707200e-01,        +7.096060656513e-11,        +2.155298494343e-01,        +6.773489206884e-11,        +2.057222765364e-01,        +6.397533808640e-11,        +1.943133754446e-01,        +9.655170373268e-17,        +2.932437874880e-07,        +2.133924952619e-16,        +6.481406318305e-07
 5.00e+00,        +3.292540468113e-10,        +3.292388717945e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.715448788463e-12,        +8.247275363085e-03,        +6.427576988662e-12,        +1.952253375681e-02,        +2.715448788463e-12,        +8.247275363085e-03,        +6.427576988662e-12,        +1.952253375681e-02,        +9.718116945400e-12,        +2.951555809114e-02,        +4.997575154301e-12,        +1.517917713380e-02,        +7.153061355029e-11,        +2.172505220301e-01,        +6.586751827429e-11,        +2.000599683606e-01,        +6.923633047199e-11,        +2.102823978704e-01,        +6.503322562131e-11,        +1.975259642546e-01,        +4.419007480271e-11,        +1.342127005899e-01,        +5.661690794595e-11,        +1.719630116497e-01,        +8.733802368119e-11,        +2.652602892114e-01,        +7.139174597503e-11,        +2.168387517121e-01,        +4.285947938055e-11,        +1.301714581662e-01,        +5.619751266619e-11,        +1.706891788320e-01,        +1.665959190685e-12,        +5.059798677707e-03,        +2.706809168802e-12,        +8.221414300350e-03
 6.00e+00,        +3.292540468113e-10,        +3.292389023936e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.715344659966e-12,        +8.246959107301e-03,        +6.432428853986e-12,        +1.953726855247e-02,        +2.715344659966e-12,        +8.246959107301e-03,        +6.432428853986e-12,        +1.953726855247e-02,        +9.723444466568e-12,        +2.953173867030e-02,        +5.000510088196e-12,        +1.518809002169e-02,        +5.449482828355e-11,        +1.655099726528e-01,        +6.015000120294e-11,        +1.826940885954e-01,        +5.676422827656e-11,        +1.724025226912e-01,        +6.094116544419e-11,        +1.850970981896e-01,        +8.185834936705e-11,        +2.486175953183e-01,        +6.940854393486e-11,        +2.108151358489e-01,        +3.888997544947e-11,        +1.181154061009e-01,        +5.481614243477e-11,        +1.664935159127e-01,        +8.313991247962e-11,        +2.525099183588e-01,        +6.978153012231e-11,        +2.119480098341e-01,        +1.667963828491e-12,        +5.065887100387e-03,        +2.708580312398e-12,        +8.226793045130e-03
 7.00e+00,        +3.292540468113e-10,        +3.292363605927e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.231444181049e-15,        +1.892594560765e-05,        +2.912535780708e-13,        +8.846336946091e-04,        +6.231444181049e-15,        +1.892594560765e-05,        +2.912535780708e-13,        +8.846336946091e-04,        +1.416475103751e-13,        +4.302073482373e-04,        +3.983957759827e-13,        +1.210060077403e-03,        +6.422583207217e-11,        +1.950646702574e-01,        +6.556466095572e-11,        +1.991416161863e-01,        +5.079166042130e-11,        +1.542628280904e-01,        +6.519363797371e-11,        +1.980146963609e-01,        +5.800522508907e-11,        +1.761716390454e-01,        +6.541095270950e-11,        +1.986747532738e-01,        +7.604394916162e-11,        +2.309582825119e-01,        +6.603643038029e-11,        +2.005745363647e-01,        +8.003735649922e-11,        +2.430869332491e-01,        +6.624357570035e-11,        +2.012037053900e-01,        +2.144613341318e-15,        +6.513551958094e-06,        +9.745351903721e-14,        +2.959986523414e-04
 8.00e+00,        +3.292540468113e-10,        +3.292319718252e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.498844124737e-13,        +1.366374739599e-03,        +1.258194222308e-14,        +3.821604005627e-05,        +4.498844124737e-13,        +1.366374739599e-03,        +1.258194222308e-14,        +3.821604005627e-05,        +1.589978286966e-11,        +4.829031874823e-02,        +1.501296609974e-12,        +4.559996411196e-03,        +6.203742891864e-11,        +1.884181212637e-01,        +6.546844899894e-11,        +1.988520392961e-01,        +6.215119852111e-11,        +1.887636587098e-01,        +6.556455720951e-11,        +1.991439556919e-01,        +6.194073206046e-11,        +1.881244366177e-01,        +6.536583257104e-11,        +1.985403550228e-01,        +6.210226816957e-11,        +1.886150489903e-01,        +6.550714956287e-11,        +1.989695873086e-01,        +6.197982228533e-11,        +1.882431602150e-01,        +6.540706677929e-11,        +1.986655986558e-01,        +2.692929574028e-12,        +8.178880715691e-03,        +4.050381514042e-13,        +1.230251573560e-03
