        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m),           Re{E_x[9]} (V/m),           Im{E_x[9]} (V/m),           Re{E_y[9]} (V/m),           Im{E_y[9]} (V/m),           Re{E_z[9]} (V/m),           Im{E_z[9]} (V/m),          Re{E_x[10]} (V/m),          Im{E_x[10]} (V/m),          Re{E_y[10]} (V/m),          Im{E_y[10]} (V/m),          Re{E_z[10]} (V/m),          Im{E_z[10]} (V/m),          Re{E_x[11]} (V/m),          Im{E_x[11]} (V/m),          Re{E_y[11]} (V/m),          Im{E_y[11]} (V/m),          Re{E_z[11]} (V/m),          Im{E_z[11]} (V/m),          Re{E_x[12]} (V/m),          Im{E_x[12]} (V/m),          Re{E_y[12]} (V/m),          Im{E_y[12]} (V/m),          Re{E_z[12]} (V/m),          Im{E_z[12]} (V/m)
 1.00e+00,        -1.300212203328e+00,        -4.280974345173e-03,        +3.367371823683e+02,        +2.310146247045e+00,        -1.055592669371e-01,        -7.637634012539e-04,        -2.117961249217e+02,        -1.440045218758e+00,        +2.529118437371e+02,        +1.713071561714e+00,        -5.303409480919e-01,        -3.620985255638e-03,        -3.228470119624e+02,        -2.216784252592e+00,        +5.753726588968e+01,        +3.978705904546e-01,        -1.542418723787e+00,        -1.054291750042e-02,        +3.368525829335e-01,        -4.250622333892e-03,        +2.507737798211e+02,        +1.723342840690e+00,        +1.309523110375e-01,        +8.920935296681e-04,        -1.605352621913e+02,        -1.101089712612e+00,        +1.912825002940e+02,        +1.312236360838e+00,        -9.383981855779e-02,        -5.722285504448e-04,        -2.456695350618e+02,        -1.686394059940e+00,        +4.385286959020e+01,        +3.108016793934e-01,        -2.778584806381e-01,        -1.840501015936e-03,        +4.148920471482e-02,        -2.180181839034e-04,        +1.230025998532e+02,        +8.467437024258e-01,        -8.073439060823e-02,        -5.845267697355e-04,        +1.164150164679e-01,        -3.263080406887e-03,        +6.214238847927e+01,        +4.300893183907e-01,        -6.398589390666e-02,        -4.420032367067e-04,        +4.184866240367e+00,        -7.269104569020e-01,        +3.737815877415e+01,        -9.232998997082e-01,        -1.479206682131e+00,        +4.087970670094e-02,        -2.809024889972e+01,        +9.257695947707e-01,        -1.988551639530e+01,        +6.562533450424e-01,        +2.910490375122e+00,        -9.630385707591e-02,        -8.787773012634e+00,        -2.122765477154e-01,        +9.792662967717e+00,        +1.241768331437e-01,        -5.288920394606e-02,        -2.452035536524e-03,        -2.744332904162e+01,        -1.135616742424e+02,        +3.811084744113e+01,        +1.562795615530e+02,        -2.369002459592e+02,        +2.731650461804e+01
 2.00e+00,        -1.646030735648e+01,        -3.049299278432e-04,        +7.515600505397e+00,        +6.913521548233e-03,        +7.495390755399e+01,        +2.970779646507e-02,        -2.346748729925e+00,        +7.967950102633e-03,        -9.188983349410e+00,        +5.910308510368e-03,        +7.699614030298e+01,        +2.897272249401e-02,        +3.025063904641e-01,        +4.085736281522e-03,        -1.515290640373e+01,        -3.382496671316e-03,        +7.826568785292e+01,        +3.025310087390e-02,        -3.962702561985e+01,        -3.437550767892e-05,        +1.486056561972e+00,        +2.426970570963e-03,        -1.872574991146e+02,        +1.104648620159e-02,        -3.022976328629e+01,        +2.794893298276e-03,        -2.553499833810e+01,        +1.736569220124e-03,        -1.853714333056e+02,        +1.079054247165e-02,        -5.936866914035e+00,        +1.521856235446e-03,        -4.184641442141e+01,        -1.158537608112e-03,        -1.860597504062e+02,        +1.096340455678e-02,        -1.502492011200e+00,        -8.065426741814e-05,        -1.198064906889e+00,        +5.118121857724e-07,        -4.283531208053e+02,        -9.041366486378e-03,        -7.640350430828e+00,        -1.424382589276e-04,        -3.298580992524e-01,        -1.012437213102e-04,        -4.477291927099e+02,        -1.113149955472e-02,        +2.428193782463e+01,        +1.557747859138e-02,        +2.062221526869e+01,        +1.776803963283e-02,        +1.319732149052e+01,        -3.457271352260e-03,        -5.361605211740e-01,        +8.081491250423e-04,        -3.419679515876e-01,        +5.163112610671e-04,        +3.646360954540e-01,        -5.749513448436e-04,        +1.017787950876e+01,        +6.336110677838e-03,        -1.405307445567e+00,        -4.514504260029e-04,        +3.060655378821e+00,        -1.506989000553e-03,        +3.434767967593e-01,        +6.288010204219e-02,        +2.620440523468e-01,        +8.365978687274e-02,        -6.411095952883e-01,        +2.526180037029e-01
 3.00e+00,        -6.362767460209e+01,        -3.251723332076e-02,        +1.626554377673e+02,        -6.528207384449e-02,        -1.779935919442e+00,        -2.647096109614e-03,        +1.789699270890e+02,        -7.291763796111e-02,        +1.004338553535e+02,        +1.121389627538e-02,        -4.798767109235e-01,        -2.907333111568e-03,        +9.746730103126e+01,        +6.709027070388e-03,        -1.572449510070e+02,        +8.343600483435e-02,        -2.131158272833e-01,        -2.788877506421e-03,        -2.022360439455e+01,        -9.773790959177e-03,        +6.137568047925e+01,        -2.360520819363e-02,        +2.589200434105e+00,        +5.562780267017e-03,        +5.916521895459e+01,        -2.358633010695e-02,        +3.052230813936e+01,        +7.113774686021e-03,        +2.898358857437e+00,        +5.425939310291e-03,        +4.093200223287e+01,        +1.667714646348e-03,        -5.715407080441e+01,        +2.932415861867e-02,        +3.084549144706e+00,        +5.558186464928e-03,        -1.405372574595e-01,        -4.862620554637e-05,        +4.656958537549e+00,        -1.762445060910e-03,        +6.497349554356e+00,        +1.310169846575e-02,        -8.000161056563e-02,        +4.511883803696e-05,        +1.164108335700e+00,        -5.713727440707e-04,        +6.812071804417e+00,        +1.371480831591e-02,        +3.864914693901e+02,        -1.215392422588e-01,        +3.252325598194e+02,        -2.374844420932e-03,        -2.826901925562e-01,        -1.399662720079e-02,        -3.946765957860e+00,        -2.599219998989e-02,        -2.692671752116e+00,        -1.955710582884e-02,        +1.999279737661e-01,        -2.888997986727e-05,        +1.553366800838e+02,        -4.956262357249e-02,        -2.539103152612e+01,        +2.413987787949e-02,        +2.895913329369e+00,        -8.863269940844e-04,        +6.155558832860e+00,        +2.908010156261e+00,        +3.417525498523e+00,        -1.215939231815e+00,        -6.489647971983e+00,        +3.276642746653e+00
 4.00e+00,        -1.954900145532e+02,        -9.198477370567e+00,        -5.350194740694e+01,        -2.493645259107e+00,        -3.962084408341e-01,        -1.853549157481e-02,        -7.220283766443e+01,        -3.463802666537e+00,        +1.537683810333e+02,        +7.218445091088e+00,        -6.395747006517e-02,        -3.022130052895e-03,        +1.353132336734e+02,        +6.282694070485e+00,        +1.308832005739e+02,        +6.244853974490e+00,        +9.213396832769e-01,        +4.344985274242e-02,        -6.432623530984e+01,        -3.054793768123e+00,        -2.006453018996e+01,        -8.987747520520e-01,        -3.797617531300e-03,        -9.288139324431e-04,        -2.874857549483e+01,        -1.409066071439e+00,        +5.667793562737e+01,        +2.711665331972e+00,        +7.315077756026e-03,        -1.219669776610e-04,        +4.846864658949e+01,        +2.219552727095e+00,        +4.207540824568e+01,        +2.045638420798e+00,        +4.299837392394e-01,        +1.985540187287e-02,        -5.510784180320e-01,        -2.786495563436e-02,        -1.534145699555e+00,        -3.266100692311e-02,        +1.553244199987e-01,        +5.515161268867e-03,        -1.322945217852e+00,        -7.821139187150e-02,        -5.499893324982e-01,        +4.063400377851e-03,        +1.812572978159e-01,        +6.858291712661e-03,        +6.391351637099e+01,        +5.267971166145e-01,        +1.086567273881e+02,        +1.342547929415e+00,        -3.013969876307e+00,        +1.710060256551e-02,        -6.868153677819e+01,        +2.626805471941e-01,        -4.864734029044e+01,        +1.888910560189e-01,        +7.090596650778e+00,        -2.852697536624e-02,        +3.185092116878e+01,        +9.720415521187e-01,        +1.342699673298e+01,        +8.349585426364e-01,        +6.291256715240e-01,        +2.221323381990e-02,        -6.656269761098e+01,        -2.955855652681e+02,        +9.250755810568e+01,        +4.067551918531e+02,        -5.793129893894e+02,        +5.380486221824e+01
 5.00e+00,        -2.802610067170e-01,        +2.318123539488e-03,        -7.593423263064e+00,        +1.036194260010e-02,        -1.623361661140e-01,        -2.749420278537e-03,        +3.909103143908e+00,        -1.183191209823e-04,        -6.963302653810e+00,        +5.025068331735e-03,        -7.291383146765e-01,        +1.591727657260e-02,        +2.212607963375e+00,        +2.263501825298e-03,        -1.859868456522e+00,        +1.066206555992e-03,        -5.697794330284e+00,        +3.155388532493e-02,        +4.109455271428e-01,        +1.484230875971e-03,        -7.068206901921e+00,        +7.519821347992e-03,        -3.239769331727e+00,        -1.343690285064e-02,        +4.219840035552e+00,        -1.623028094548e-03,        -3.626933803635e+00,        +1.259024178547e-03,        +1.291157989453e+01,        -1.176514320998e-02,        +2.805685489795e+00,        +1.104459383393e-03,        -2.901250967379e+00,        +2.114824839288e-03,        +2.360555670614e+01,        -5.387782136876e-03,        -4.487163203859e-02,        +3.971813725487e-04,        -7.998180443824e+00,        +7.828062728129e-03,        -8.411286991735e+00,        -2.590291250525e-02,        +9.125886679930e-01,        +2.629622731451e-03,        -6.838633446981e+00,        +6.893539877190e-03,        -3.848194266845e+00,        -1.347113360358e-02,        +3.457509304245e-01,        +2.448047849943e-02,        -4.973582305337e-01,        +3.877958682060e-02,        +6.254890246948e-01,        +2.248416295475e-03,        +6.086344656837e-01,        -3.722487157820e-02,        +4.394439760689e-01,        -2.640415217070e-02,        -6.397952948910e-02,        +4.294298257145e-03,        +6.076618664003e-01,        +4.222222268435e-03,        -2.473578687499e-01,        -2.054994817750e-03,        -8.654535523637e-02,        +2.611041728627e-03,        +8.191129457622e-01,        +2.797331670075e+00,        -1.128576741663e+00,        -3.847484996129e+00,        +5.343229997532e+00,        -8.122131134626e-01
 6.00e+00,        +1.077355649128e+00,        +1.851782051938e-03,        +6.684128329863e+00,        +1.086281132361e-02,        +2.203690941822e+00,        -2.318590627583e-02,        +5.662227169366e+00,        +4.809940296410e-03,        -1.966922290066e+00,        +1.492708241125e-04,        +3.515353575630e+00,        -1.779325260970e-02,        +8.817211474815e+00,        +7.913696605724e-03,        +4.302823237071e-01,        +5.686849728273e-04,        +2.248073357526e+00,        -3.603643600467e-03,        +1.826479323495e+00,        +1.732381296931e-03,        +2.088652212569e+00,        +5.551956138434e-03,        -2.534121449492e+01,        -4.646483253215e-02,        +2.708028112118e+00,        +4.748007871776e-04,        -3.477913958252e+00,        -2.707198901739e-03,        -2.051966609441e+01,        -4.687842831155e-02,        +6.720212441329e+00,        +5.490164568872e-03,        -1.285226423726e+00,        -4.722590988593e-04,        -6.755823853478e+00,        -2.673856194529e-02,        +6.165779184637e-01,        +6.956515865922e-04,        +9.364288442676e-01,        +4.906139502068e-03,        -6.163529989351e+01,        -7.150347237853e-02,        +6.263146799497e+00,        +6.111073346705e-03,        +1.002924139503e+00,        +4.443510254895e-03,        -3.127183938503e+01,        -3.650624085340e-02,        -8.749198064375e-01,        +1.458806596859e-02,        -1.101469950886e+00,        +2.341027230030e-02,        -1.136482420683e+00,        -1.177309517339e-02,        +4.452409363313e-01,        -2.338918160292e-02,        +2.969470262870e-01,        -1.663491212264e-02,        -3.843478052751e-02,        +1.614910804226e-03,        -5.675233502205e-01,        +2.137087331231e-03,        -4.034539877495e-02,        -1.267679495248e-03,        +9.663575595691e-02,        -3.963758049929e-03,        +5.093029137690e-01,        +1.773711744174e+00,        -7.217940985030e-01,        -2.443367167991e+00,        +3.411930650583e+00,        -5.211118219976e-01
 7.00e+00,        -3.205231096593e+01,        -6.135553666703e-03,        +9.606332612872e+00,        +6.121426298419e-03,        +1.369754899088e+02,        +8.196391392154e-02,        -2.803207307142e+01,        -7.529678773259e-03,        -1.568666366505e+01,        +3.020341912832e-04,        +1.344468110786e+02,        +7.919670123906e-02,        -4.563266086930e+00,        -9.623978336719e-04,        -3.219670448059e+01,        -6.919301230657e-03,        +1.398916950238e+02,        +8.304332893424e-02,        -6.134362754700e+01,        -1.730623524992e-02,        +1.499749898181e+00,        +1.339156441431e-03,        +1.238057286500e+02,        +1.179521540591e-01,        -4.554299025425e+01,        -1.188751114536e-02,        -3.678718620802e+01,        -9.154318556738e-03,        +1.226081790132e+02,        +1.161997942787e-01,        -8.973055374983e+00,        -2.538177125704e-03,        -6.143519754558e+01,        -1.622982247341e-02,        +1.236137523232e+02,        +1.170896787336e-01,        -2.252906503056e+00,        -7.813952586035e-04,        +2.350966883691e-01,        +3.780598488254e-04,        +9.170372955753e+01,        +1.372096139388e-01,        -1.102990066434e+01,        -3.462045673770e-03,        -3.194467046287e-01,        -1.463042274107e-04,        +8.784341863059e+01,        +1.378778459848e-01,        +2.526849572459e+01,        +1.121562079852e-02,        +2.142594345689e+01,        +1.435783471078e-02,        +5.706935263225e+00,        -1.087189162062e-02,        -6.960269036731e-01,        +1.387916293921e-03,        -5.058848619326e-01,        +9.241207490671e-04,        +2.044384827695e-01,        -1.216066464912e-03,        +1.030823904984e+01,        +4.588892741680e-03,        -1.400098455412e+00,        -4.196126249756e-05,        +1.829981021881e+00,        -4.834000110610e-03,        +3.470763283096e-01,        +1.691313210974e-02,        +2.830838776963e-01,        +1.038174372285e-01,        -7.016703815426e-01,        +2.918600653009e-01
 8.00e+00,        -1.069903533101e+02,        +6.641429863193e-03,        +4.528372071144e-01,        +1.861901446091e-03,        -5.690231608288e+01,        +2.012088336395e-02,        -8.401531434092e+01,        +6.288330651749e-03,        -7.302623618838e+01,        +5.271785918741e-03,        -5.739755195599e+01,        +2.022483119519e-02,        -1.503058447831e+01,        +2.000973723565e-03,        -1.050492339727e+02,        +6.835109426617e-03,        -5.824187896663e+01,        +2.056083350548e-02,        -1.845060752114e+02,        -4.066704574236e-03,        -3.110586083456e+00,        +6.494082688630e-04,        +6.762310144752e+00,        +3.314988471669e-03,        -1.420813799757e+02,        -2.723535027204e-03,        -1.166666182534e+02,        -1.948339959221e-03,        +9.373546165504e+00,        +3.540990937100e-03,        -2.534057476296e+01,        -2.385250695137e-04,        -1.916202977997e+02,        -3.931828495151e-03,        +9.963420719892e+00,        +3.510678796122e-03,        -6.643431481689e+00,        -5.950576838110e-04,        +7.485837955410e-01,        +1.100211736245e-04,        +6.449629335604e+01,        -1.457457632941e-02,        -3.190194477070e+01,        -1.923172917053e-03,        -6.724286209504e-02,        +4.119913827233e-05,        +6.832098573653e+01,        -1.614802950875e-02,        +7.343379845720e+01,        +9.501813667370e-03,        +6.234034902221e+01,        +1.845663761441e-02,        -5.649092698308e+00,        +4.742218446567e-03,        -2.171943649207e+00,        +1.296328261247e-02,        -1.591925114251e+00,        +9.189475503467e-03,        -8.815689798888e-02,        -7.860772280874e-04,        +3.024812253623e+01,        +5.497687614064e-03,        -4.224247280930e+00,        +1.103027709323e-03,        -8.599749814190e-01,        +3.004344143363e-03,        +8.455642275414e-01,        -4.517979529860e-01,        +1.041201213203e+00,        +9.381303056187e-01,        -2.900537311653e+00,        +1.024367250520e+00
