        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +6.081337640433e-03,        -5.165073339215e-03
 2.00e+00,        +9.716861508795e-04,        +4.327276530654e-03
 3.00e+00,        +1.976084802216e-04,        +2.351231903713e-04
 4.00e+00,        +1.157732104128e-03,        +1.069384708773e-03
 5.00e+00,        +2.404917088357e-05,        +3.340663451328e-04
 6.00e+00,        +4.726858604533e-03,        -5.499157576756e-03
 7.00e+00,        +1.783169900387e-06,        -5.471170374340e-04
 8.00e+00,        +4.930614659350e-03,        +3.391933486690e-03
