        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +3.040668820216e-01,        -2.582536669607e-01
 2.00e+00,        +4.858430754397e-02,        +2.163638265327e-01
 3.00e+00,        +9.880424011080e-03,        +1.175615951857e-02
 4.00e+00,        +5.788660520638e-02,        +5.346923543867e-02
 5.00e+00,        +1.202458544179e-03,        +1.670331725664e-02
 6.00e+00,        +2.363429302267e-01,        -2.749578788378e-01
 7.00e+00,        +8.915849501933e-05,        -2.735585187170e-02
 8.00e+00,        +2.465307329675e-01,        +1.695966743345e-01
