        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106490015482e+00,        +3.124968728780e-12,        +1.770401740810e+11,        +9.863014914843e-12,        +8.754109000076e-08
 2.00e+00,        +1.763030475293e+00,        -7.705940477348e-11,        +1.143942443155e+10,        +1.299060067409e-11,        +1.153538627114e-07
 3.00e+00,        +1.763032859617e+00,        -3.170044688118e-11,        +2.780769725778e+10,        +1.651038462911e-11,        +1.466088207563e-07
 4.00e+00,        +1.893338068230e+00,        -1.204800537052e-10,        +7.857475200260e+09,        +1.651391339846e-11,        +1.466572850615e-07
 5.00e+00,        +1.893339874707e+00,        +1.624727586575e-10,        +5.826637924878e+09,        +1.370916269943e-11,        +1.217487664386e-07
 6.00e+00,        +2.022733274909e+00,        -1.231015732905e-09,        +8.215708462699e+08,        +7.465089769529e-11,        +6.630444108724e-07
 7.00e+00,        +2.200509830352e+00,        -2.004634933214e-10,        +5.488555032871e+09,        +2.150972620179e-11,        +1.910831463183e-07
 8.00e+00,        +2.200510428851e+00,        -8.466443310811e-11,        +1.299548315667e+10,        +1.900982198542e-11,        +1.688750737313e-07
 9.00e+00,        +2.363047129875e+00,        +2.054179507072e-10,        +5.751802901692e+09,        +1.928569028351e-11,        +1.713569129096e-07
 1.00e+01,        +2.363058155052e+00,        -1.044226610957e-10,        +1.131487231917e+10,        +1.206038936104e-11,        +1.071587838133e-07
 1.10e+01,        +2.444449274241e+00,        +1.252561941997e-10,        +9.757797967040e+09,        +1.657221659617e-11,        +1.472613185580e-07
 1.20e+01,        +2.444458302235e+00,        +9.942063291721e-11,        +1.229351609676e+10,        +1.550159343581e-11,        +1.377477237608e-07
 1.30e+01,        +2.444533872936e+00,        +1.031435519231e-10,        +1.185015363229e+10,        +2.683458559035e-11,        +2.384531263217e-07
 1.40e+01,        +2.540068325780e+00,        -3.132582872948e-09,        +4.054271552901e+08,        +1.492864603369e-10,        +1.326719815864e-06
 1.50e+01,        +2.569937750783e+00,        +1.660861068452e-10,        +7.736763175436e+09,        +4.741572814043e-11,        +4.214028396891e-07
 1.60e+01,        +2.569956544647e+00,        +1.340243543162e-09,        +9.587647550172e+08,        +1.117768441666e-10,        +9.934062494711e-07
 1.70e+01,        +2.907098472289e+00,        +7.133496059697e-11,        +2.037639362215e+10,        +2.848218166142e-11,        +2.532472290499e-07
 1.80e+01,        +2.907104252379e+00,        -3.522182127412e-10,        +4.126851121289e+09,        +3.488598218025e-11,        +3.101861541912e-07
 1.90e+01,        +2.935802645795e+00,        +1.233327183178e-10,        +1.190196196855e+10,        +4.825315044175e-11,        +4.290569668300e-07
 2.00e+01,        +2.935851893977e+00,        +1.159644909657e-10,        +1.265840892125e+10,        +4.092250419466e-11,        +3.638744124945e-07
 2.10e+01,        +2.975813183733e+00,        +1.698237760225e-10,        +8.761473962689e+09,        +2.599343462486e-11,        +2.311415938417e-07
 2.20e+01,        +2.975821579982e+00,        -4.518112612083e-11,        +3.293213157219e+10,        +2.466573947191e-11,        +2.193353239715e-07
 2.30e+01,        +2.981058354081e+00,        -3.751058917385e-10,        +3.973622408681e+09,        +4.541138659902e-11,        +4.038150680702e-07
 2.40e+01,        +2.981116324225e+00,        -1.852200425146e-10,        +8.047499298005e+09,        +2.754785409122e-11,        +2.449658631788e-07
 2.50e+01,        +3.052742126256e+00,        -5.478929513463e-09,        +2.785892863519e+08,        +2.039457512989e-10,        +1.813754099896e-06
 2.60e+01,        +3.228629917366e+00,        +1.265249280143e-09,        +1.275886881754e+09,        +4.085431260864e-11,        +3.634285974025e-07
 2.70e+01,        +3.228653373090e+00,        -1.150544909403e-10,        +1.403097500455e+10,        +4.615939470139e-11,        +4.106211468007e-07
