        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.459059666879e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.014276481243e-12,        +8.714150003890e-03,        +3.974369565985e-12,        +1.148973983895e-02,        +3.014276481243e-12,        +8.714150003890e-03,        +3.974369565985e-12,        +1.148973983895e-02,        +1.326567903903e-12,        +3.835053544985e-03,        +2.594062832432e-12,        +7.499329535337e-03,        +3.411344340550e-10,        +9.862056942505e-01,        +3.363217165290e-10,        +9.722923248456e-01,        +4.306882803859e-13,        +1.245102200662e-03,        +3.015817760530e-12,        +8.718605780082e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059667325e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.009843322381e-12,        +8.701333922966e-03,        +3.978425711403e-12,        +1.150146598795e-02,        +3.009843322381e-12,        +8.701333922966e-03,        +3.978425711403e-12,        +1.150146598795e-02,        +1.324744426654e-12,        +3.829781946849e-03,        +2.594319065665e-12,        +7.500070294165e-03,        +3.411413558850e-10,        +9.862257049780e-01,        +3.363209502788e-10,        +9.722901095225e-01,        +4.300230864446e-13,        +1.243179152189e-03,        +3.012271676594e-12,        +8.708354195358e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059668757e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.580819479293e-13,        +4.570084448907e-04,        +6.471171118452e-12,        +1.870789098234e-02,        +1.580819479293e-13,        +4.570084448907e-04,        +6.471171118452e-12,        +1.870789098234e-02,        +1.589910120714e-13,        +4.596365121387e-04,        +2.775206141798e-12,        +8.023007428475e-03,        +3.455679482885e-10,        +9.990228025403e-01,        +3.357706936058e-10,        +9.706993395879e-01,        +2.094547196583e-14,        +6.055250264808e-05,        +8.888960096819e-13,        +2.569762001247e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059746173e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385069518016e-11,        +4.004179318292e-02,        +3.605978487151e-13,        +1.042473606055e-03,        +1.385069518016e-11,        +4.004179318292e-02,        +3.605978487151e-13,        +1.042473606055e-03,        +6.814518397352e-12,        +1.970049392891e-02,        +4.424468638822e-13,        +1.279095755347e-03,        +3.200109175876e-10,        +9.251384722317e-01,        +3.449667729437e-10,        +9.972848064431e-01,        +5.229835555353e-12,        +1.511924065646e-02,        +1.361569609845e-13,        +3.936241955206e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059669086e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.021450833609e-16,        +2.318968623080e-06,        +2.262704831326e-16,        +6.541387104561e-07,        +8.021450833609e-16,        +2.318968623080e-06,        +2.262704831326e-16,        +6.541387104561e-07,        +1.484753336392e-15,        +4.292361159506e-06,        +6.512581768277e-16,        +1.882760747518e-06,        +3.459035736067e-10,        +9.999930816060e-01,        +3.459049191606e-10,        +9.999969710035e-01,        +1.062153553815e-16,        +3.070642475137e-07,        +1.702192988519e-16,        +4.920970296441e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059676895e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017448525338e-16,        +2.317811572131e-06,        +2.263514015773e-16,        +6.543726408922e-07,        +8.017448525338e-16,        +2.317811572131e-06,        +2.263514015773e-16,        +6.543726408922e-07,        +1.485336073615e-15,        +4.294045828979e-06,        +6.514602616647e-16,        +1.883344962263e-06,        +3.459035735994e-10,        +9.999930815847e-01,        +3.459049195990e-10,        +9.999969700133e-01,        +1.060402025648e-16,        +3.065578878854e-07,        +1.702788142281e-16,        +4.922690850508e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059666364e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616385973839e-14,        +1.912770119743e-04,        +1.231897515892e-13,        +3.561365326741e-04,        +6.616385973839e-14,        +1.912770119743e-04,        +1.231897515892e-13,        +3.561365326741e-04,        +6.922081479463e-14,        +2.001145439927e-04,        +1.937190169769e-13,        +5.600337538568e-04,        +3.457610739202e-10,        +9.995811208416e-01,        +3.454955774439e-10,        +9.988135816317e-01,        +9.508125701646e-15,        +2.748760245969e-05,        +9.348042397319e-14,        +2.702480818188e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059665904e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.618767350285e-14,        +1.913458565933e-04,        +1.232134296226e-13,        +3.562049849475e-04,        +6.618767350285e-14,        +1.913458565933e-04,        +1.232134296226e-13,        +3.562049849475e-04,        +6.923850204264e-14,        +2.001656771032e-04,        +1.937370141560e-13,        +5.600857830400e-04,        +3.457610365368e-10,        +9.995810127674e-01,        +3.454955392194e-10,        +9.988134712590e-01,        +9.504008176592e-15,        +2.747569886319e-05,        +9.347692726571e-14,        +2.702379730165e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667430e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.257193929028e-17,        +1.230737350208e-07,        +3.571941869344e-15,        +1.032633782810e-05,        +4.257193929028e-17,        +1.230737350208e-07,        +3.571941869344e-15,        +1.032633782810e-05,        +1.491914165751e-16,        +4.313062824258e-07,        +7.953638545771e-15,        +2.299364367912e-05,        +3.459057592977e-10,        +9.999994003494e-01,        +3.458930930806e-10,        +9.999627827687e-01,        +1.565938158394e-17,        +4.527063158929e-08,        +1.348081946584e-15,        +3.897249762060e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059668620e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.193702210453e-17,        +1.212382154090e-07,        +3.572414819350e-15,        +1.032770510367e-05,        +4.193702210453e-17,        +1.212382154090e-07,        +3.572414819350e-15,        +1.032770510367e-05,        +1.489942569748e-16,        +4.307363020865e-07,        +7.956932806462e-15,        +2.300316724411e-05,        +3.459057602039e-10,        +9.999994029690e-01,        +3.458930882534e-10,        +9.999627684695e-01,        +1.558529244618e-17,        +4.505644292275e-08,        +1.349260938222e-15,        +3.900658177315e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059667553e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.007020966248e-16,        +2.911256419761e-07,        +2.470597116399e-17,        +7.142395199406e-08,        +1.007020966248e-16,        +2.911256419761e-07,        +2.470597116399e-17,        +7.142395199406e-08,        +6.888259321409e-17,        +1.991367592388e-07,        +2.544633183115e-17,        +7.356430439705e-08,        +3.459057839286e-10,        +9.999994715563e-01,        +3.459059010301e-10,        +9.999998099910e-01,        +1.320714272528e-17,        +3.818130936133e-08,        +1.557295073699e-17,        +4.502076354181e-08
 2.20e+01,        +3.459059667205e-10,        +3.459059667730e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.187427083345e-16,        +1.499663949867e-06,        +1.251817802594e-16,        +3.618954059315e-07,        +5.187427083345e-16,        +1.499663949867e-06,        +1.251817802594e-16,        +3.618954059315e-07,        +2.387614819258e-16,        +6.902496773604e-07,        +9.407795794696e-17,        +2.719755279871e-07,        +3.459051413932e-10,        +9.999976140126e-01,        +3.459056643432e-10,        +9.999991256881e-01,        +6.782309464426e-17,        +1.960737922138e-07,        +8.316996963917e-17,        +2.404409800013e-07
 2.30e+01,        +3.459059667205e-10,        +3.459059667467e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477643214705e-12,        +2.450851974333e-02,        +2.038886125632e-12,        +5.894336385138e-03,        +8.477643214705e-12,        +2.450851974333e-02,        +2.038886125632e-12,        +5.894336385138e-03,        +3.447494761391e-12,        +9.966566330372e-03,        +1.393437320681e-12,        +4.028370293193e-03,        +3.328601979441e-10,        +9.622852161238e-01,        +3.411013355113e-10,        +9.861100076400e-01,        +1.120630800265e-12,        +3.239697802526e-03,        +1.372307789095e-12,        +3.967285681718e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059666915e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477646221313e-12,        +2.450852843531e-02,        +2.038766566924e-12,        +5.893990746748e-03,        +8.477646221313e-12,        +2.450852843531e-02,        +2.038766566924e-12,        +5.893990746748e-03,        +3.447518781192e-12,        +9.966635770635e-03,        +1.393540738657e-12,        +4.028669270976e-03,        +3.328600690969e-10,        +9.622848436316e-01,        +3.411009451480e-10,        +9.861088792733e-01,        +1.120732621126e-12,        +3.239992162470e-03,        +1.372714237832e-12,        +3.968460709025e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059655655e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.645321493058e-12,        +2.210231169338e-02,        +2.824225347177e-13,        +8.164719976887e-04,        +7.645321493058e-12,        +2.210231169338e-02,        +2.824225347177e-13,        +8.164719976887e-04,        +4.853352198457e-12,        +1.403084267228e-02,        +4.423920661527e-13,        +1.278937370824e-03,        +3.276915021888e-10,        +9.473427281282e-01,        +3.449668823701e-10,        +9.972851488877e-01,        +5.715790840167e-12,        +1.652411750615e-02,        +2.142685945091e-13,        +6.194417438242e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059668572e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334338818375e-13,        +2.120327350208e-03,        +8.633149331610e-12,        +2.495808155623e-02,        +7.334338818375e-13,        +2.120327350208e-03,        +8.633149331610e-12,        +2.495808155623e-02,        +8.844927380101e-13,        +2.557032324120e-03,        +4.062673305689e-12,        +1.174502233252e-02,        +3.440110780908e-10,        +9.945219544848e-01,        +3.299501699723e-10,        +9.538724439190e-01,        +2.769620098143e-13,        +8.006858408374e-04,        +3.259974247662e-12,        +9.424452192256e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059667009e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334856385882e-13,        +2.120476976857e-03,        +8.633273738354e-12,        +2.495844122232e-02,        +7.334856385882e-13,        +2.120476976857e-03,        +8.633273738354e-12,        +2.495844122232e-02,        +8.845436853391e-13,        +2.557179610764e-03,        +4.062843296747e-12,        +1.174551377502e-02,        +3.440109677244e-10,        +9.945216354200e-01,        +3.299494798320e-10,        +9.538704491829e-01,        +2.769696721717e-13,        +8.007079923994e-04,        +3.260369833764e-12,        +9.425595819754e-03
