        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +9.744227599724e+02,        +2.449657040089e-03
 2.00e+00,        +3.873650532820e+04,        -6.162629326872e-05
 3.00e+00,        +1.142460042894e+03,        +2.147092093161e-03
 4.00e+00,        +1.899698802477e+03,        -1.368537854636e-03
 5.00e+00,        +1.845165938965e+02,        -1.420354473753e-02
 6.00e+00,        +2.777050967120e+08,        +9.866424295583e-09
 7.00e+00,        +4.068001569571e+11,        -6.736097800748e-12
 8.00e+00,        +6.803949656782e+08,        -4.107283688365e-09
