        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.449955225081e+00,        +3.994265227742e-04,        +3.066840980695e+03,        +7.730568512666e-15,        +7.827325232269e-11
 2.00e+00,        +2.450072604324e+00,        +3.996502327483e-04,        +3.065271124791e+03,        +7.047072021959e-15,        +7.135361253624e-11
 3.00e+00,        +2.452112577415e+00,        +6.220421375103e-04,        +1.971018125981e+03,        +1.140380154083e-14,        +1.154912776446e-10
 4.00e+00,        +2.622861635226e+00,        +5.383675519839e-05,        +2.435939560355e+04,        +1.053877258779e-14,        +1.086444297708e-10
